Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
26:45.2,adobe,7,564.3699951,,,
32:13.2,adobe,6,564.3699951,,,
37:41.0,adobe,5,564.3699951,,,
50:45.1,adobe,5,564.3699951,,,
57:22.8,adobe,5,564.3699951,,,
02:49.3,adobe,4,564.3699951,,,
08:17.7,adobe,4,564.3699951,,,
33:00.7,adobe,3,564.3699951,,,
38:29.2,adobe,2,564.3699951,,,
50:21.0,adobe,3,564.3699951,,,
55:48.5,adobe,2,564.3699951,,,
07:41.5,adobe,3,564.3699951,,,
13:09.4,adobe,2,564.3699951,,,
19:49.5,adobe,2,564.3699951,,,
29:34.2,adobe,2,564.3699951,,,
36:16.7,adobe,2,564.3699951,,,
41:47.7,adobe,1,564.3699951,,,
57:36.1,adobe,1,564.3699951,,,
04:19.4,adobe,2,564.3699951,,,
12:30.8,adobe,2,564.3699951,,,
44:44.0,adobe,4,564.3699951,,,
24:33.1,adobe,4,564.3699951,,,
30:00.5,adobe,3,564.3699951,,,
41:50.5,adobe,2,564.3699951,,,
47:17.6,adobe,6,564.3699951,,,
52:45.4,adobe,12,564.3699951,,,
58:13.9,adobe,9,564.3699951,,,
03:41.4,adobe,13,564.3699951,,,
09:10.3,adobe,15,564.3699951,,,
20:55.1,adobe,15,564.3699951,,,
26:26.2,adobe,14,564.3699951,,,
31:56.2,adobe,13,564.3699951,,,
39:53.9,adobe,15,564.3699951,,,
45:21.0,adobe,18,564.3699951,,,
50:47.9,adobe,11,564.3699951,,,
56:15.3,adobe,9,564.3699951,,,
01:45.4,adobe,9,564.3699951,,,
08:29.1,adobe,9,564.3699951,,,
15:12.0,adobe,9,564.3699951,,,
20:39.1,adobe,8,564.3699951,,,
26:07.3,adobe,8,564.3699951,,,
31:35.8,adobe,11,564.3699951,,,
43:52.5,adobe,10,564.3699951,,,
49:21.1,adobe,9,564.3699951,,,
54:51.5,adobe,10,564.3699951,,,
09:26.1,adobe,11,564.3699951,,,
45:03.6,adobe,8,564.3699951,,,
56:48.9,adobe,4,564.3699951,,,
02:16.6,adobe,6,564.3699951,,,
26:47.6,adobe,3,564.3699951,,,
32:17.9,adobe,3,564.3699951,,,
49:21.7,adobe,5,564.3699951,,,
57:16.5,adobe,4,564.3699951,,,
02:44.1,adobe,4,564.3699951,,,
