Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
01:54.2,alibaba,2,120.3799973,,,
07:11.1,alibaba,2,120.3799973,,,
13:42.9,alibaba,2,120.3799973,,,
26:45.2,alibaba,2,120.3799973,,,
32:13.2,alibaba,2,120.3799973,,,
37:41.0,alibaba,2,120.3799973,,,
50:45.1,alibaba,1,120.3799973,,,
57:22.8,alibaba,2,120.3799973,,,
02:49.3,alibaba,2,120.3799973,,,
08:17.7,alibaba,2,120.3799973,,,
33:00.7,alibaba,4,120.3799973,,,
38:29.2,alibaba,4,120.3799973,,,
50:21.0,alibaba,4,120.3799973,,,
55:48.5,alibaba,4,120.3799973,,,
07:41.5,alibaba,1,120.3799973,,,
13:09.4,alibaba,1,120.3799973,,,
19:49.5,alibaba,2,120.3799973,,,
29:34.2,alibaba,1,120.3799973,,,
36:16.7,alibaba,2,120.3799973,,,
41:47.7,alibaba,2,120.3799973,,,
57:36.1,alibaba,3,120.3799973,,,
04:19.4,alibaba,2,120.3799973,,,
12:30.8,alibaba,2,120.3799973,,,
44:44.0,alibaba,4,120.3799973,,,
24:33.1,alibaba,5,120.3799973,,,
30:00.5,alibaba,4,120.3799973,,,
41:50.5,alibaba,4,120.3799973,,,
47:17.6,alibaba,5,120.3799973,,,
52:45.4,alibaba,7,120.3799973,,,
58:13.9,alibaba,6,120.3799973,,,
03:41.4,alibaba,6,120.3799973,,,
09:10.3,alibaba,12,120.3799973,,,
20:55.1,alibaba,8,120.3799973,,,
26:26.2,alibaba,8,120.3799973,,,
31:56.2,alibaba,9,120.3799973,,,
39:53.9,alibaba,14,120.3799973,,,
45:21.0,alibaba,14,120.3799973,,,
50:47.9,alibaba,6,120.3799973,,,
56:15.3,alibaba,8,120.3799973,,,
01:45.4,alibaba,9,120.3799973,,,
08:29.1,alibaba,11,120.3799973,,,
15:12.0,alibaba,10,120.3799973,,,
20:39.1,alibaba,10,120.3799973,,,
26:07.3,alibaba,15,120.3799973,,,
31:35.8,alibaba,14,120.3799973,,,
43:52.5,alibaba,16,120.3799973,,,
49:21.1,alibaba,14,120.3799973,,,
54:51.5,alibaba,11,120.3799973,,,
00:19.3,alibaba,10,120.3799973,,,
09:26.1,alibaba,8,120.3799973,,,
38:25.8,alibaba,4,120.3799973,,,
45:03.6,alibaba,4,120.3799973,,,
56:48.9,alibaba,4,120.3799973,,,
02:16.6,alibaba,3,120.3799973,,,
26:47.6,alibaba,4,120.3799973,,,
32:17.9,alibaba,6,120.3799973,,,
49:21.7,alibaba,5,120.3799973,,,
57:16.5,alibaba,5,120.3799973,,,
02:44.1,alibaba,5,120.3799973,,,
17:35.7,alibaba,4,120.3799973,,,
24:19.1,alibaba,5,120.3799973,,,
29:45.7,alibaba,3,120.3799973,,,
42:46.5,alibaba,3,120.3799973,,,
56:57.8,alibaba,3,120.3799973,,,
02:26.0,alibaba,2,120.3799973,,,
10:53.6,alibaba,5,120.3799973,,,
17:32.8,alibaba,6,120.3799973,,,
24:50.2,alibaba,4,120.3799973,,,
36:34.5,alibaba,5,120.3799973,,,
44:33.8,alibaba,6,120.3799973,,,
51:56.8,alibaba,6,120.3799973,,,
09:35.9,alibaba,5,120.3799973,,,
23:57.9,alibaba,5,120.3799973,,,
35:42.9,alibaba,5,120.3799973,,,
41:10.0,alibaba,7,120.3799973,,,
46:38.8,alibaba,8,120.3799973,,,
52:09.7,alibaba,6,120.3799973,,,
00:09.2,alibaba,6,120.3799973,,,
21:23.5,alibaba,7,120.3799973,,,
27:56.3,alibaba,8,120.3799973,,,
34:40.6,alibaba,8,120.3799973,,,
41:27.2,alibaba,5,120.3799973,,,
46:56.5,alibaba,5,120.3799973,,,
52:28.4,alibaba,5,120.3799973,,,
57:55.9,alibaba,6,120.3799973,,,
05:55.3,alibaba,4,120.3799973,,,
13:54.7,alibaba,5,120.3799973,,,
21:05.2,alibaba,4,120.3799973,,,
35:24.5,alibaba,5,120.3799973,,,
41:56.4,alibaba,4,120.3799973,,,
48:38.4,alibaba,4,120.3799973,,,
54:09.4,alibaba,5,120.3799973,,,
59:38.3,alibaba,3,120.3799973,,,
05:08.2,alibaba,4,120.3799973,,,
12:56.4,alibaba,4,120.3799973,,,
18:26.2,alibaba,4,120.3799973,,,
23:56.0,alibaba,3,120.3799973,,,
35:58.6,alibaba,4,120.3799973,,,
42:43.4,alibaba,5,120.3799973,,,
49:28.8,alibaba,5,120.3799973,,,
54:57.9,alibaba,3,120.3799973,,,
02:59.2,alibaba,3,120.3799973,,,
08:29.0,alibaba,5,120.3799973,,,
15:15.5,alibaba,5,120.3799973,,,
30:55.2,alibaba,7,120.3799973,,,
36:24.8,alibaba,10,120.3799973,,,
43:10.1,alibaba,9,120.3799973,,,
56:07.2,alibaba,9,120.3799973,,,
01:36.8,alibaba,10,120.3799973,,,
07:10.4,alibaba,11,120.3799973,,,
12:44.3,alibaba,12,120.3799973,,,
18:13.9,alibaba,11,120.3799973,,,
23:43.8,alibaba,9,120.3799973,,,
29:15.9,alibaba,8,120.3799973,,,
34:46.8,alibaba,9,118.2300034,,,
40:16.4,alibaba,8,118.2900009,,,
52:11.4,alibaba,9,117.8949966,,,
04:07.6,alibaba,6,117.4199982,,,
17:23.6,alibaba,4,117.4800034,,,
26:41.2,alibaba,5,117.6999969,,,
32:13.4,alibaba,4,116.7720032,,,
38:59.4,alibaba,5,116.5899963,,,
44:30.4,alibaba,5,116.4850006,,,
51:14.5,alibaba,6,117.0899963,,,
59:16.3,alibaba,8,116.7399979,,,
04:46.3,alibaba,11,115.9100037,,,
10:17.1,alibaba,12,116.5599976,,,
15:48.5,alibaba,11,116.3949966,,,
21:19.5,alibaba,14,116.7099991,,,
29:21.7,alibaba,14,116.7600021,,,
36:07.9,alibaba,16,116.9400024,,,
42:54.2,alibaba,16,117.4769974,,,
49:39.9,alibaba,15,117.4598999,,,
56:24.6,alibaba,13,117.5101013,,,
03:17.2,alibaba,11,117.0899963,,,
08:50.1,alibaba,10,117.0846024,,,
15:25.6,alibaba,12,117.4000015,,,
20:56.6,alibaba,13,117.4800034,,,
27:37.5,alibaba,11,117.2525024,,,
40:28.9,alibaba,8,117.4599991,,,
47:15.4,alibaba,9,117.3300018,,,
00:21.6,alibaba,9,117.3001022,,,
05:55.3,alibaba,11,117.2699966,,,
24:09.1,alibaba,8,117.3450012,,,
29:40.7,alibaba,7,117.2203979,,,
38:51.9,alibaba,8,117.6559982,,,
44:35.2,alibaba,7,117.6900024,,,
50:05.7,alibaba,7,117.6147995,,,
58:43.3,alibaba,6,117.3450012,,,
17:03.4,alibaba,4,117.4100037,,,
29:05.1,alibaba,4,117.5,,,
35:51.6,alibaba,4,117.5400009,,,
41:21.5,alibaba,4,117.7900009,,,
46:51.6,alibaba,4,117.7699966,,,
53:36.1,alibaba,4,117.7099991,,,
00:23.2,alibaba,5,119.6500015,,,
07:41.8,alibaba,6,119.469902,,,
13:15.4,alibaba,2,119.4401016,,,
20:02.1,alibaba,2,119.7900009,,,
25:32.7,alibaba,2,120.4800034,,,
34:00.6,alibaba,2,120.1999969,,,
39:30.7,alibaba,3,120.3893967,,,
51:19.0,alibaba,4,120.1699982,,,
03:11.3,alibaba,6,119.6200027,,,
09:55.3,alibaba,6,119.6200027,,,
16:18.3,alibaba,7,119.5599976,,,
23:16.0,alibaba,8,119.5599976,,,
28:50.7,alibaba,8,119.5599976,,,
40:46.4,alibaba,10,119.5599976,,,
52:41.7,alibaba,7,119.5599976,,,
58:15.9,alibaba,6,119.5599976,,,
07:29.6,alibaba,5,119.5599976,,,
14:15.4,alibaba,6,119.5599976,,,
19:46.4,alibaba,5,119.5599976,,,
25:17.6,alibaba,5,119.5599976,,,
32:04.3,alibaba,5,119.5599976,,,
37:35.7,alibaba,5,119.5599976,,,
45:39.6,alibaba,5,119.5599976,,,
51:10.4,alibaba,5,119.5599976,,,
09:33.1,alibaba,9,119.5599976,,,
16:13.1,alibaba,8,119.5599976,,,
21:45.1,alibaba,8,119.5599976,,,
28:32.3,alibaba,9,119.5599976,,,
36:26.7,alibaba,12,119.5599976,,,
43:16.9,alibaba,13,119.5599976,,,
48:47.5,alibaba,12,119.5599976,,,
54:22.2,alibaba,9,119.5599976,,,
06:16.7,alibaba,5,119.5599976,,,
20:40.9,alibaba,5,119.5599976,,,
27:11.0,alibaba,5,119.5599976,,,
39:03.5,alibaba,5,119.5599976,,,
06:19.6,alibaba,6,119.5599976,,,
13:05.8,alibaba,6,119.5599976,,,
27:29.8,alibaba,6,119.5599976,,,
33:02.3,alibaba,5,119.5599976,,,
38:31.4,alibaba,2,119.5599976,,,
46:30.3,alibaba,3,119.5599976,,,
59:33.8,alibaba,6,119.5599976,,,
05:02.1,alibaba,5,119.5599976,,,
10:30.5,alibaba,5,119.5599976,,,
22:42.1,alibaba,9,119.5599976,,,
29:27.8,alibaba,7,119.5599976,,,
34:56.3,alibaba,8,119.5599976,,,
40:25.2,alibaba,9,119.5599976,,,
45:53.8,alibaba,8,119.5599976,,,
51:21.6,alibaba,8,119.5599976,,,
56:49.0,alibaba,8,119.5599976,,,
03:34.8,alibaba,9,119.5599976,,,
11:34.4,alibaba,7,119.5599976,,,
17:03.6,alibaba,6,119.5599976,,,
23:48.5,alibaba,9,119.5599976,,,
31:49.7,alibaba,8,119.5599976,,,
37:19.9,alibaba,9,119.5599976,,,
42:48.2,alibaba,8,119.5599976,,,
50:40.4,alibaba,8,119.5599976,,,
57:28.1,alibaba,7,119.5599976,,,
02:58.3,alibaba,7,119.5599976,,,
08:29.3,alibaba,8,119.5599976,,,
14:01.6,alibaba,9,119.5599976,,,
22:03.5,alibaba,10,119.5599976,,,
27:36.5,alibaba,9,119.5599976,,,
33:05.8,alibaba,9,119.5599976,,,
38:38.3,alibaba,9,119.5599976,,,
44:08.7,alibaba,9,119.5599976,,,
49:39.0,alibaba,9,119.5599976,,,
55:14.9,alibaba,8,119.5599976,,,
02:04.2,alibaba,9,119.5599976,,,
07:38.4,alibaba,9,119.5599976,,,
13:11.5,alibaba,7,119.5599976,,,
18:46.2,alibaba,7,119.5599976,,,
24:18.2,alibaba,8,119.5599976,,,
29:48.7,alibaba,9,119.5599976,,,
35:17.4,alibaba,10,119.5599976,,,
40:47.3,alibaba,12,119.5599976,,,
46:16.8,alibaba,7,119.5599976,,,
51:46.1,alibaba,7,119.5599976,,,
57:16.1,alibaba,10,119.5599976,,,
02:44.9,alibaba,5,119.5599976,,,
08:13.7,alibaba,6,119.5599976,,,
13:45.8,alibaba,7,119.5599976,,,
19:14.6,alibaba,8,119.5599976,,,
24:44.5,alibaba,8,119.5599976,,,
30:13.8,alibaba,7,119.5599976,,,
35:42.2,alibaba,9,119.5599976,,,
41:10.3,alibaba,7,119.5599976,,,
47:53.8,alibaba,7,119.5599976,,,
54:39.8,alibaba,10,119.5599976,,,
00:13.6,alibaba,8,119.5599976,,,
05:54.8,alibaba,9,119.5599976,,,
11:27.7,alibaba,12,119.5599976,,,
16:59.0,alibaba,11,119.5599976,,,
35:26.4,alibaba,19,119.5599976,,,
