Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
26:45.2,apple,12,182.0099945,,,
32:13.2,apple,7,182.0099945,,,
37:41.0,apple,8,182.0099945,,,
50:45.1,apple,6,182.0099945,,,
57:22.8,apple,7,182.0099945,,,
02:49.3,apple,20,182.0099945,,,
08:17.7,apple,23,182.0099945,,,
33:00.7,apple,20,182.0099945,,,
38:29.2,apple,21,182.0099945,,,
50:21.0,apple,18,182.0099945,,,
55:48.5,apple,16,182.0099945,,,
07:41.5,apple,29,182.0099945,,,
13:09.4,apple,26,182.0099945,,,
19:49.5,apple,22,182.0099945,,,
29:34.2,apple,17,182.0099945,,,
36:16.7,apple,16,182.0099945,,,
41:47.7,apple,12,182.0099945,,,
57:36.1,apple,13,182.0099945,,,
04:19.4,apple,20,182.0099945,,,
12:30.8,apple,20,182.0099945,,,
44:44.0,apple,28,182.0099945,,,
24:33.1,apple,21,182.0099945,,,
30:00.5,apple,21,182.0099945,,,
41:50.5,apple,14,182.0099945,,,
47:17.6,apple,16,182.0099945,,,
52:45.4,apple,14,182.0099945,,,
58:13.9,apple,13,182.0099945,,,
03:41.4,apple,28,182.0099945,,,
09:10.3,apple,32,182.0099945,,,
20:55.1,apple,30,182.0099945,,,
26:26.2,apple,29,182.0099945,,,
31:56.2,apple,20,182.0099945,,,
39:53.9,apple,18,182.0099945,,,
45:21.0,apple,16,182.0099945,,,
50:47.9,apple,18,182.0099945,,,
56:15.3,apple,12,182.0099945,,,
01:45.4,apple,19,182.0099945,,,
08:29.1,apple,22,182.0099945,,,
15:12.0,apple,20,182.0099945,,,
20:39.1,apple,18,182.0099945,,,
26:07.3,apple,23,182.0099945,,,
31:35.8,apple,21,182.0099945,,,
43:52.5,apple,18,182.0099945,,,
49:21.1,apple,19,182.0099945,,,
54:51.5,apple,18,182.0099945,,,
00:19.3,apple,31,182.0099945,,,
09:26.1,apple,31,182.0099945,,,
38:25.8,apple,15,182.0099945,,,
45:03.6,apple,12,182.0099945,,,
56:48.9,apple,10,182.0099945,,,
02:16.6,apple,18,182.0099945,,,
26:47.6,apple,13,182.0099945,,,
32:17.9,apple,13,182.0099945,,,
49:21.7,apple,9,182.0099945,,,
57:16.5,apple,11,182.0099945,,,
02:44.1,apple,17,182.0099945,,,
17:35.7,apple,14,182.0099945,,,
24:19.1,apple,13,182.0099945,,,
29:45.7,apple,12,182.0099945,,,
42:46.5,apple,11,182.0099945,,,
56:57.8,apple,14,182.0099945,,,
17:32.8,apple,16,182.0099945,,,
24:50.2,apple,14,182.0099945,,,
36:34.5,apple,18,182.0099945,,,
44:33.8,apple,15,182.0099945,,,
51:56.8,apple,12,182.0099945,,,
09:35.9,apple,9,182.0099945,,,
23:57.9,apple,14,182.0099945,,,
35:42.9,apple,12,182.0099945,,,
41:10.0,apple,12,182.0099945,,,
46:38.8,apple,15,182.0099945,,,
52:09.7,apple,16,182.0099945,,,
00:09.2,apple,22,182.0099945,,,
27:56.3,apple,14,182.0099945,,,
34:40.6,apple,18,182.0099945,,,
41:27.2,apple,15,182.0099945,,,
46:56.5,apple,15,182.0099945,,,
52:28.4,apple,15,182.0099945,,,
57:55.9,apple,14,182.0099945,,,
05:55.3,apple,18,182.0099945,,,
13:54.7,apple,14,182.0099945,,,
21:05.2,apple,15,182.0099945,,,
41:56.4,apple,20,182.0099945,,,
48:38.4,apple,21,182.0099945,,,
54:09.4,apple,21,182.0099945,,,
59:38.3,apple,20,182.0099945,,,
05:08.2,apple,32,182.0099945,,,
12:56.4,apple,32,182.0099945,,,
18:26.2,apple,31,182.0099945,,,
23:56.0,apple,30,182.0099945,,,
35:58.6,apple,23,182.0099945,,,
42:43.4,apple,28,182.0099945,,,
49:28.8,apple,28,182.0099945,,,
54:57.9,apple,24,182.0099945,,,
02:59.2,apple,39,182.0099945,,,
08:29.0,apple,33,182.0099945,,,
15:15.5,apple,36,182.0099945,,,
30:55.2,apple,31,182.0099945,,,
36:24.8,apple,31,182.0099945,,,
43:10.1,apple,26,182.0099945,,,
56:07.2,apple,21,182.0099945,,,
01:36.8,apple,36,182.0099945,,,
07:10.4,apple,34,182.0099945,,,
12:44.3,apple,32,182.0099945,,,
18:13.9,apple,30,182.0099945,,,
23:43.8,apple,22,182.0099945,,,
29:15.9,apple,19,182.0099945,,,
34:46.8,apple,21,181.9799957,,,
40:16.4,apple,28,182.4199982,,,
52:11.4,apple,24,182.4049988,,,
04:07.6,apple,25,181.7949982,,,
17:23.6,apple,25,181.8300018,,,
26:41.2,apple,21,182.0700073,,,
