Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
49:05.4,berkshire,14,454300,,,
01:54.2,berkshire,15,454300,,,
07:11.1,berkshire,13,454300,,,
13:42.9,berkshire,15,454300,,,
26:45.2,berkshire,18,454300,,,
32:13.2,berkshire,19,454300,,,
37:41.0,berkshire,22,454300,,,
50:45.1,berkshire,18,454300,,,
57:22.8,berkshire,15,454300,,,
02:49.3,berkshire,16,454300,,,
08:17.7,berkshire,14,454300,,,
20:09.1,berkshire,9,454300,,,
33:00.7,berkshire,5,454300,,,
38:29.2,berkshire,5,454300,,,
50:21.0,berkshire,4,454300,,,
55:48.5,berkshire,3,454300,,,
07:41.5,berkshire,3,454300,,,
13:09.4,berkshire,6,454300,,,
19:49.5,berkshire,6,454300,,,
29:34.2,berkshire,5,454300,,,
36:16.7,berkshire,4,454300,,,
41:47.7,berkshire,6,454300,,,
47:15.2,berkshire,7,454300,,,
57:36.1,berkshire,8,454300,,,
04:19.4,berkshire,5,454300,,,
12:30.8,berkshire,6,454300,,,
44:44.0,berkshire,5,454300,,,
04:12.0,berkshire,3,454300,,,
24:33.1,berkshire,3,454300,,,
30:00.5,berkshire,4,454300,,,
41:50.5,berkshire,6,454300,,,
47:17.6,berkshire,7,454300,,,
52:45.4,berkshire,8,454300,,,
58:13.9,berkshire,7,454300,,,
03:41.4,berkshire,6,454300,,,
09:10.3,berkshire,5,454300,,,
20:55.1,berkshire,4,454300,,,
26:26.2,berkshire,5,454300,,,
31:56.2,berkshire,4,454300,,,
39:53.9,berkshire,6,454300,,,
45:21.0,berkshire,7,454300,,,
50:47.9,berkshire,6,454300,,,
56:15.3,berkshire,5,454300,,,
01:45.4,berkshire,8,454300,,,
08:29.1,berkshire,8,454300,,,
15:12.0,berkshire,11,454300,,,
20:39.1,berkshire,13,454300,,,
26:07.3,berkshire,13,454300,,,
31:35.8,berkshire,15,454300,,,
43:52.5,berkshire,17,454300,,,
49:21.1,berkshire,15,454300,,,
54:51.5,berkshire,14,454300,,,
00:19.3,berkshire,14,454300,,,
09:26.1,berkshire,12,454300,,,
38:25.8,berkshire,10,454300,,,
45:03.6,berkshire,11,454300,,,
56:48.9,berkshire,9,454300,,,
02:16.6,berkshire,6,454300,,,
26:47.6,berkshire,6,454300,,,
32:17.9,berkshire,3,454300,,,
49:21.7,berkshire,6,454300,,,
57:16.5,berkshire,7,454300,,,
02:44.1,berkshire,7,454300,,,
17:35.7,berkshire,5,454300,,,
24:19.1,berkshire,6,454300,,,
29:45.7,berkshire,6,454300,,,
42:46.5,berkshire,9,454300,,,
56:57.8,berkshire,9,454300,,,
02:26.0,berkshire,10,454300,,,
10:53.6,berkshire,8,454300,,,
17:32.8,berkshire,8,454300,,,
24:50.2,berkshire,8,454300,,,
36:34.5,berkshire,9,454300,,,
44:33.8,berkshire,9,454300,,,
51:56.8,berkshire,7,454300,,,
09:35.9,berkshire,12,454300,,,
17:28.5,berkshire,12,454300,,,
23:57.9,berkshire,12,454300,,,
35:42.9,berkshire,9,454300,,,
41:10.0,berkshire,9,454300,,,
46:38.8,berkshire,9,454300,,,
52:09.7,berkshire,8,454300,,,
00:09.2,berkshire,5,454300,,,
21:23.5,berkshire,17,454300,,,
27:56.3,berkshire,18,454300,,,
34:40.6,berkshire,18,454300,,,
41:27.2,berkshire,17,454300,,,
46:56.5,berkshire,17,454300,,,
52:28.4,berkshire,16,454300,,,
57:55.9,berkshire,17,454300,,,
05:55.3,berkshire,9,454300,,,
13:54.7,berkshire,7,454300,,,
21:05.2,berkshire,8,454300,,,
35:24.5,berkshire,13,454300,,,
41:56.4,berkshire,17,454300,,,
48:38.4,berkshire,18,454300,,,
54:09.4,berkshire,18,454300,,,
59:38.3,berkshire,17,454300,,,
05:08.2,berkshire,15,454300,,,
12:56.4,berkshire,18,454300,,,
18:26.2,berkshire,18,454300,,,
23:56.0,berkshire,17,454300,,,
35:58.6,berkshire,13,454300,,,
42:43.4,berkshire,8,454300,,,
49:28.8,berkshire,9,454300,,,
54:57.9,berkshire,12,454300,,,
02:59.2,berkshire,10,454300,,,
08:29.0,berkshire,10,454300,,,
15:15.5,berkshire,11,454300,,,
30:55.2,berkshire,16,454300,,,
36:24.8,berkshire,20,454300,,,
43:10.1,berkshire,17,454300,,,
56:07.2,berkshire,12,454300,,,
01:36.8,berkshire,16,454300,,,
07:10.4,berkshire,14,454300,,,
12:44.3,berkshire,14,454300,,,
18:13.9,berkshire,14,454300,,,
23:43.8,berkshire,12,454300,,,
29:15.9,berkshire,13,454300,,,
34:46.8,berkshire,12,457160.8438,,,
40:16.4,berkshire,12,457413.375,,,
52:11.4,berkshire,10,458606.125,,,
04:07.6,berkshire,13,460798.625,,,
17:23.6,berkshire,12,462104.6563,,,
26:41.2,berkshire,12,462514.125,,,
32:13.4,berkshire,15,463207.4063,,,
38:59.4,berkshire,13,464205.875,,,
44:30.4,berkshire,15,464578.625,,,
51:14.5,berkshire,13,464294,,,
59:16.3,berkshire,14,464599.375,,,
04:46.3,berkshire,16,464863.625,,,
10:17.1,berkshire,17,464821.5,,,
15:48.5,berkshire,17,464115.625,,,
21:19.5,berkshire,18,463478,,,
29:21.7,berkshire,17,464240.4688,,,
36:07.9,berkshire,15,464105.5,,,
42:54.2,berkshire,14,463481.25,,,
49:39.9,berkshire,15,463399.7188,,,
56:24.6,berkshire,14,464346.7188,,,
03:17.2,berkshire,20,464600.1563,,,
08:50.1,berkshire,18,465088.125,,,
15:25.6,berkshire,18,465333.75,,,
20:56.6,berkshire,22,465330.125,,,
27:37.5,berkshire,17,465048.75,,,
40:28.9,berkshire,15,465794.5,,,
47:15.4,berkshire,17,465936.125,,,
00:21.6,berkshire,21,464908.875,,,
05:55.3,berkshire,20,465075.5,,,
24:09.1,berkshire,18,464416.875,,,
29:40.7,berkshire,15,464209.5,,,
38:51.9,berkshire,14,464264.5,,,
44:35.2,berkshire,12,464499.6563,,,
50:05.7,berkshire,11,464512,,,
58:43.3,berkshire,12,464766.625,,,
17:03.4,berkshire,12,464240.625,,,
29:05.1,berkshire,11,464580.1563,,,
35:51.6,berkshire,12,464835,,,
41:21.5,berkshire,12,465006.6875,,,
46:51.6,berkshire,15,465244.4375,,,
53:36.1,berkshire,15,465344.375,,,
00:23.2,berkshire,12,465254.5,,,
07:41.8,berkshire,10,465264,,,
13:15.4,berkshire,12,465166.375,,,
20:02.1,berkshire,12,464742.4375,,,
25:32.7,berkshire,13,464658.5313,,,
34:00.6,berkshire,12,464873.125,,,
39:30.7,berkshire,10,465183.125,,,
51:19.0,berkshire,10,465821.375,,,
03:11.3,berkshire,9,465520.7188,,,
09:55.3,berkshire,8,465520.7188,,,
16:18.3,berkshire,8,465815,,,
23:16.0,berkshire,8,465725,,,
28:50.7,berkshire,8,465725,,,
40:46.4,berkshire,11,465725,,,
52:41.7,berkshire,13,465725,,,
58:15.9,berkshire,13,465725,,,
07:29.6,berkshire,14,465725,,,
14:15.4,berkshire,15,465725,,,
19:46.4,berkshire,11,465725,,,
25:17.6,berkshire,14,465725,,,
32:04.3,berkshire,13,465725,,,
37:35.7,berkshire,14,465725,,,
45:39.6,berkshire,13,465725,,,
51:10.4,berkshire,13,465725,,,
09:33.1,berkshire,12,465725,,,
16:13.1,berkshire,12,465725,,,
21:45.1,berkshire,12,465725,,,
28:32.3,berkshire,10,465725,,,
36:26.7,berkshire,11,465725,,,
43:16.9,berkshire,9,465725,,,
48:47.5,berkshire,10,465725,,,
54:22.2,berkshire,9,465725,,,
06:16.7,berkshire,12,465725,,,
20:40.9,berkshire,9,465725,,,
27:11.0,berkshire,8,465725,,,
39:03.5,berkshire,6,465725,,,
06:19.6,berkshire,4,465725,,,
13:05.8,berkshire,4,465725,,,
27:29.8,berkshire,4,465725,,,
33:02.3,berkshire,2,465725,,,
38:31.4,berkshire,2,465725,,,
46:30.3,berkshire,4,465725,,,
59:33.8,berkshire,4,465725,,,
05:02.1,berkshire,4,465725,,,
10:30.5,berkshire,5,465725,,,
22:42.1,berkshire,4,465725,,,
29:27.8,berkshire,5,465725,,,
34:56.3,berkshire,6,465725,,,
40:25.2,berkshire,7,465725,,,
45:53.8,berkshire,7,465725,,,
51:21.6,berkshire,9,465725,,,
56:49.0,berkshire,8,465725,,,
03:34.8,berkshire,8,465725,,,
11:34.4,berkshire,5,465725,,,
17:03.6,berkshire,5,465725,,,
23:48.5,berkshire,4,465725,,,
31:49.7,berkshire,3,465725,,,
37:19.9,berkshire,4,465725,,,
42:48.2,berkshire,6,465725,,,
50:40.4,berkshire,4,465725,,,
57:28.1,berkshire,4,465725,,,
02:58.3,berkshire,3,465725,,,
08:29.3,berkshire,4,465725,,,
14:01.6,berkshire,5,465725,,,
22:03.5,berkshire,8,465725,,,
27:36.5,berkshire,8,465725,,,
33:05.8,berkshire,6,465725,,,
38:38.3,berkshire,7,465725,,,
