Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
28:26.3,bitcoin,28,98.58499908,,,
33:36.3,bitcoin,22,98.58499908,,,
38:45.8,bitcoin,23,98.58499908,,,
43:56.1,bitcoin,25,98.58499908,,,
49:05.4,bitcoin,24,98.58499908,,,
01:54.2,bitcoin,21,98.58499908,,,
07:11.1,bitcoin,25,98.58499908,,,
13:42.9,bitcoin,27,98.58499908,,,
20:17.2,bitcoin,25,98.58499908,,,
26:45.2,bitcoin,24,98.58499908,,,
32:13.2,bitcoin,26,98.58499908,,,
37:41.0,bitcoin,23,98.58499908,,,
50:45.1,bitcoin,23,98.58499908,,,
57:22.8,bitcoin,21,98.58499908,,,
02:49.3,bitcoin,26,98.58499908,,,
08:17.7,bitcoin,24,98.58499908,,,
20:09.1,bitcoin,24,98.58499908,,,
33:00.7,bitcoin,19,98.58499908,,,
38:29.2,bitcoin,21,98.58499908,,,
43:57.0,bitcoin,19,98.58499908,,,
50:21.0,bitcoin,17,98.58499908,,,
55:48.5,bitcoin,18,98.58499908,,,
07:41.5,bitcoin,19,98.58499908,,,
13:09.4,bitcoin,19,98.58499908,,,
19:49.5,bitcoin,18,98.58499908,,,
29:34.2,bitcoin,15,98.58499908,,,
36:16.7,bitcoin,13,98.58499908,,,
41:47.7,bitcoin,15,98.58499908,,,
47:15.2,bitcoin,14,98.58499908,,,
57:36.1,bitcoin,14,98.58499908,,,
04:19.4,bitcoin,17,98.58499908,,,
12:30.8,bitcoin,17,98.58499908,,,
38:19.6,bitcoin,12,98.58499908,,,
44:44.0,bitcoin,14,98.58499908,,,
57:44.4,bitcoin,19,98.58499908,,,
04:12.0,bitcoin,21,98.58499908,,,
24:33.1,bitcoin,14,98.58499908,,,
30:00.5,bitcoin,16,98.58499908,,,
41:50.5,bitcoin,14,98.58499908,,,
47:17.6,bitcoin,14,98.58499908,,,
52:45.4,bitcoin,12,98.58499908,,,
58:13.9,bitcoin,13,98.58499908,,,
03:41.4,bitcoin,15,98.58499908,,,
09:10.3,bitcoin,13,98.58499908,,,
20:55.1,bitcoin,13,98.58499908,,,
26:26.2,bitcoin,14,98.58499908,,,
31:56.2,bitcoin,13,98.58499908,,,
39:53.9,bitcoin,15,98.58499908,,,
45:21.0,bitcoin,15,98.58499908,,,
50:47.9,bitcoin,14,98.58499908,,,
56:15.3,bitcoin,13,98.58499908,,,
01:45.4,bitcoin,16,98.58499908,,,
08:29.1,bitcoin,14,98.58499908,,,
15:12.0,bitcoin,15,98.58499908,,,
20:39.1,bitcoin,17,98.58499908,,,
26:07.3,bitcoin,16,98.58499908,,,
31:35.8,bitcoin,18,98.58499908,,,
37:08.6,bitcoin,16,98.58499908,,,
43:52.5,bitcoin,17,98.58499908,,,
49:21.1,bitcoin,19,98.58499908,,,
54:51.5,bitcoin,21,98.58499908,,,
00:19.3,bitcoin,17,98.58499908,,,
09:26.1,bitcoin,14,98.58499908,,,
17:47.6,bitcoin,9,98.58499908,,,
25:31.3,bitcoin,9,98.58499908,,,
32:01.3,bitcoin,12,98.58499908,,,
38:25.8,bitcoin,13,98.58499908,,,
45:03.6,bitcoin,13,98.58499908,,,
56:48.9,bitcoin,12,98.58499908,,,
02:16.6,bitcoin,15,98.58499908,,,
07:45.3,bitcoin,13,98.58499908,,,
26:47.6,bitcoin,13,98.58499908,,,
32:17.9,bitcoin,13,98.58499908,,,
49:21.7,bitcoin,20,98.58499908,,,
