Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
26:45.2,cisco,10,63.15999985,,,
32:13.2,cisco,11,63.15999985,,,
37:41.0,cisco,7,63.15999985,,,
50:45.1,cisco,8,63.15999985,,,
57:22.8,cisco,8,63.15999985,,,
02:49.3,cisco,5,63.15999985,,,
08:17.7,cisco,7,63.15999985,,,
33:00.7,cisco,9,63.15999985,,,
38:29.2,cisco,7,63.15999985,,,
50:21.0,cisco,7,63.15999985,,,
55:48.5,cisco,7,63.15999985,,,
07:41.5,cisco,5,63.15999985,,,
13:09.4,cisco,4,63.15999985,,,
19:49.5,cisco,4,63.15999985,,,
29:34.2,cisco,6,63.15999985,,,
36:16.7,cisco,7,63.15999985,,,
41:47.7,cisco,8,63.15999985,,,
57:36.1,cisco,9,63.15999985,,,
04:19.4,cisco,10,63.15999985,,,
12:30.8,cisco,10,63.15999985,,,
44:44.0,cisco,9,63.15999985,,,
24:33.1,cisco,22,63.15999985,,,
30:00.5,cisco,22,63.15999985,,,
41:50.5,cisco,34,63.15999985,,,
47:17.6,cisco,30,63.15999985,,,
52:45.4,cisco,35,63.15999985,,,
58:13.9,cisco,30,63.15999985,,,
03:41.4,cisco,27,63.15999985,,,
09:10.3,cisco,41,63.15999985,,,
20:55.1,cisco,32,63.15999985,,,
26:26.2,cisco,30,63.15999985,,,
31:56.2,cisco,25,63.15999985,,,
39:53.9,cisco,23,63.15999985,,,
45:21.0,cisco,26,63.15999985,,,
50:47.9,cisco,26,63.15999985,,,
56:15.3,cisco,15,63.15999985,,,
01:45.4,cisco,28,63.15999985,,,
08:29.1,cisco,19,63.15999985,,,
15:12.0,cisco,20,63.15999985,,,
20:39.1,cisco,19,63.15999985,,,
26:07.3,cisco,31,63.15999985,,,
31:35.8,cisco,24,63.15999985,,,
43:52.5,cisco,33,63.15999985,,,
49:21.1,cisco,28,63.15999985,,,
54:51.5,cisco,21,63.15999985,,,
09:26.1,cisco,32,63.15999985,,,
45:03.6,cisco,16,63.15999985,,,
56:48.9,cisco,13,63.15999985,,,
02:16.6,cisco,18,63.15999985,,,
26:47.6,cisco,8,63.15999985,,,
32:17.9,cisco,6,63.15999985,,,
49:21.7,cisco,3,63.15999985,,,
57:16.5,cisco,2,63.15999985,,,
02:44.1,cisco,4,63.15999985,,,
17:35.7,cisco,3,63.15999985,,,
24:19.1,cisco,3,63.15999985,,,
29:45.7,cisco,2,63.15999985,,,
56:57.8,cisco,9,63.15999985,,,
17:32.8,cisco,19,63.15999985,,,
24:50.2,cisco,21,63.15999985,,,
36:34.5,cisco,23,63.15999985,,,
44:33.8,cisco,13,63.15999985,,,
51:56.8,cisco,23,63.15999985,,,
09:35.9,cisco,20,63.15999985,,,
23:57.9,cisco,12,63.15999985,,,
35:42.9,cisco,8,63.15999985,,,
41:10.0,cisco,7,63.15999985,,,
46:38.8,cisco,6,63.15999985,,,
52:09.7,cisco,2,63.15999985,,,
00:09.2,cisco,5,63.15999985,,,
27:56.3,cisco,7,63.15999985,,,
34:40.6,cisco,7,63.15999985,,,
41:27.2,cisco,9,63.15999985,,,
46:56.5,cisco,10,63.15999985,,,
52:28.4,cisco,12,63.15999985,,,
57:55.9,cisco,18,63.15999985,,,
05:55.3,cisco,12,63.15999985,,,
13:54.7,cisco,13,63.15999985,,,
21:05.2,cisco,16,63.15999985,,,
41:56.4,cisco,14,63.15999985,,,
48:38.4,cisco,13,63.15999985,,,
54:09.4,cisco,17,63.15999985,,,
59:38.3,cisco,14,63.15999985,,,
12:56.4,cisco,16,63.15999985,,,
18:26.2,cisco,13,63.15999985,,,
23:56.0,cisco,11,63.15999985,,,
35:58.6,cisco,15,63.15999985,,,
42:43.4,cisco,16,63.15999985,,,
49:28.8,cisco,16,63.15999985,,,
54:57.9,cisco,17,63.15999985,,,
02:59.2,cisco,31,63.15999985,,,
08:29.0,cisco,26,63.15999985,,,
15:15.5,cisco,24,63.15999985,,,
30:55.2,cisco,13,63.15999985,,,
36:24.8,cisco,17,63.15999985,,,
56:07.2,cisco,20,63.15999985,,,
01:36.8,cisco,37,63.15999985,,,
07:10.4,cisco,30,63.15999985,,,
12:44.3,cisco,30,63.15999985,,,
18:13.9,cisco,27,63.15999985,,,
23:43.8,cisco,32,63.15999985,,,
29:15.9,cisco,26,63.15999985,,,
34:46.8,cisco,25,62.72999954,,,
40:16.4,cisco,26,62.36000061,,,
52:11.4,cisco,19,62.41500092,,,
04:07.6,cisco,25,62.44499969,,,
17:23.6,cisco,18,62.65000153,,,
26:41.2,cisco,15,62.54000092,,,
32:13.4,cisco,19,62.52999878,,,
38:59.4,cisco,24,62.43500137,,,
44:30.4,cisco,23,62.5,,,
51:14.5,cisco,19,62.43000031,,,
59:16.3,cisco,18,62.38499832,,,
04:46.3,cisco,22,62.44499969,,,
10:17.1,cisco,27,62.29999924,,,
15:48.5,cisco,25,62.31499863,,,
21:19.5,cisco,27,62.18199921,,,
29:21.7,cisco,26,62.20000076,,,
36:07.9,cisco,20,62.09500122,,,
42:54.2,cisco,16,61.95000076,,,
49:39.9,cisco,19,61.99499893,,,
56:24.6,cisco,18,61.98040009,,,
03:17.2,cisco,21,61.85499954,,,
15:25.6,cisco,19,61.875,,,
20:56.6,cisco,20,61.81499863,,,
40:28.9,cisco,18,61.82379913,,,
47:15.4,cisco,15,61.81999969,,,
00:21.6,cisco,23,61.75,,,
05:55.3,cisco,20,61.75,,,
24:09.1,cisco,18,61.59500122,,,
29:40.7,cisco,23,61.56999969,,,
38:51.9,cisco,14,61.56499863,,,
44:35.2,cisco,31,61.59000015,,,
50:05.7,cisco,34,61.49010086,,,
58:43.3,cisco,38,61.47999954,,,
17:03.4,cisco,18,61.47999954,,,
29:05.1,cisco,15,61.53499985,,,
35:51.6,cisco,15,61.65000153,,,
41:21.5,cisco,17,61.58000183,,,
46:51.6,cisco,16,61.50500107,,,
53:36.1,cisco,36,61.50500107,,,
00:23.2,cisco,34,61.43500137,,,
07:41.8,cisco,15,61.28499985,,,
13:15.4,cisco,18,61.25,,,
20:02.1,cisco,25,61.24499893,,,
25:32.7,cisco,29,61.27030182,,,
34:00.6,cisco,28,61.27500153,,,
39:30.7,cisco,23,61.44499969,,,
51:19.0,cisco,17,61.25500107,,,
03:11.3,cisco,18,61.25,,,
09:55.3,cisco,16,61.25,,,
16:18.3,cisco,17,61.25,,,
23:16.0,cisco,14,61.25,,,
28:50.7,cisco,19,61.25,,,
40:46.4,cisco,20,61.25,,,
52:41.7,cisco,21,61.25,,,
58:15.9,cisco,25,61.25,,,
07:29.6,cisco,28,61.25,,,
14:15.4,cisco,29,61.25,,,
19:46.4,cisco,27,61.25,,,
25:17.6,cisco,24,61.25,,,
32:04.3,cisco,27,61.25,,,
37:35.7,cisco,25,61.25,,,
45:39.6,cisco,26,61.25,,,
51:10.4,cisco,22,61.25,,,
16:13.1,cisco,19,61.25,,,
21:45.1,cisco,14,61.25,,,
36:26.7,cisco,19,61.25,,,
43:16.9,cisco,15,61.25,,,
48:47.5,cisco,16,61.25,,,
54:22.2,cisco,17,61.25,,,
06:16.7,cisco,28,61.25,,,
20:40.9,cisco,25,61.25,,,
27:11.0,cisco,29,61.25,,,
39:03.5,cisco,20,61.25,,,
06:19.6,cisco,25,61.25,,,
13:05.8,cisco,24,61.25,,,
27:29.8,cisco,13,61.25,,,
33:02.3,cisco,12,61.25,,,
38:31.4,cisco,20,61.25,,,
46:30.3,cisco,14,61.25,,,
59:33.8,cisco,19,61.25,,,
05:02.1,cisco,20,61.25,,,
10:30.5,cisco,19,61.25,,,
22:42.1,cisco,20,61.25,,,
29:27.8,cisco,19,61.25,,,
34:56.3,cisco,16,61.25,,,
40:25.2,cisco,17,61.25,,,
45:53.8,cisco,16,61.25,,,
51:21.6,cisco,15,61.25,,,
56:49.0,cisco,22,61.25,,,
03:34.8,cisco,26,61.25,,,
11:34.4,cisco,22,61.25,,,
17:03.6,cisco,23,61.25,,,
23:48.5,cisco,31,61.25,,,
31:49.7,cisco,35,61.25,,,
37:19.9,cisco,33,61.25,,,
50:40.4,cisco,23,61.25,,,
57:28.1,cisco,24,61.25,,,
02:58.3,cisco,29,61.25,,,
08:29.3,cisco,31,61.25,,,
14:01.6,cisco,23,61.25,,,
22:03.5,cisco,18,61.25,,,
27:36.5,cisco,16,61.25,,,
33:05.8,cisco,15,61.25,,,
38:38.3,cisco,12,61.25,,,
44:08.7,cisco,11,61.25,,,
49:39.0,cisco,10,61.25,,,
55:14.9,cisco,12,61.25,,,
02:04.2,cisco,15,61.25,,,
07:38.4,cisco,23,61.25,,,
13:11.5,cisco,24,61.25,,,
18:46.2,cisco,19,61.25,,,
24:18.2,cisco,18,61.25,,,
29:48.7,cisco,20,61.25,,,
35:17.4,cisco,31,61.25,,,
40:47.3,cisco,33,61.25,,,
46:16.8,cisco,25,61.25,,,
51:46.1,cisco,22,61.25,,,
57:16.1,cisco,24,61.25,,,
02:44.9,cisco,16,61.25,,,
08:13.7,cisco,19,61.25,,,
13:45.8,cisco,23,61.25,,,
19:14.6,cisco,14,61.25,,,
24:44.5,cisco,22,61.25,,,
30:13.8,cisco,15,61.25,,,
35:42.2,cisco,11,61.25,,,
41:10.3,cisco,12,61.25,,,
47:53.8,cisco,25,61.25,,,
54:39.8,cisco,30,61.25,,,
00:13.6,cisco,19,61.25,,,
05:54.8,cisco,16,61.25,,,
11:27.7,cisco,24,61.25,,,
16:59.0,cisco,17,61.25,,,
35:26.4,cisco,33,61.25,,,
40:55.1,cisco,30,61.25,,,
46:24.6,cisco,26,61.25,,,
53:09.6,cisco,23,61.25,,,
06:19.0,cisco,39,61.25,,,
14:21.2,cisco,34,61.25,,,
19:50.2,cisco,30,61.25,,,
25:19.3,cisco,25,61.25,,,
30:48.7,cisco,27,61.25,,,
39:23.3,cisco,32,61.25,,,
44:51.6,cisco,25,61.25,,,
03:08.7,cisco,26,61.25,,,
08:40.3,cisco,36,61.25,,,
15:25.4,cisco,28,61.25,,,
22:11.1,cisco,26,61.25,,,
27:40.6,cisco,27,61.25,,,
33:09.6,cisco,20,61.25,,,
38:38.4,cisco,25,61.25,,,
46:52.4,cisco,30,61.25,,,
00:12.5,cisco,27,61.25,,,
13:16.3,cisco,16,61.25,,,
18:45.8,cisco,14,61.25,,,
24:18.6,cisco,12,61.25,,,
31:03.0,cisco,10,61.25,,,
36:33.2,cisco,9,61.25,,,
48:33.0,cisco,6,61.25,,,
54:04.0,cisco,4,61.25,,,
00:47.7,cisco,5,61.25,,,
07:34.1,cisco,6,61.25,,,
14:21.0,cisco,6,61.25,,,
19:50.1,cisco,16,61.25,,,
25:20.6,cisco,25,61.25,,,
30:51.1,cisco,30,61.25,,,
37:36.7,cisco,34,61.25,,,
43:06.2,cisco,46,61.25,,,
48:36.4,cisco,51,61.25,,,
54:08.4,cisco,40,61.25,,,
59:38.3,cisco,59,61.25,,,
05:09.2,cisco,64,61.25,,,
10:40.3,cisco,59,61.25,,,
16:12.2,cisco,59,61.25,,,
21:43.4,cisco,47,61.25,,,
28:30.0,cisco,48,61.25,,,
34:02.8,cisco,41,61.25,,,
39:35.2,cisco,53,61.25,,,
45:04.8,cisco,41,61.25,,,
50:35.7,cisco,45,61.25,,,
59:52.8,cisco,50,61.25,,,
05:25.5,cisco,55,61.25,,,
