Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
26:45.2,coca+cola,7,59.29999924,,,
32:13.2,coca+cola,8,59.29999924,,,
37:41.0,coca+cola,8,59.29999924,,,
57:22.8,coca+cola,9,59.29999924,,,
02:49.3,coca+cola,7,59.29999924,,,
08:17.7,coca+cola,8,59.29999924,,,
33:00.7,coca+cola,9,59.29999924,,,
38:29.2,coca+cola,8,59.29999924,,,
50:21.0,coca+cola,7,59.29999924,,,
55:48.5,coca+cola,7,59.29999924,,,
07:41.5,coca+cola,9,59.29999924,,,
13:09.4,coca+cola,9,59.29999924,,,
19:49.5,coca+cola,9,59.29999924,,,
29:34.2,coca+cola,7,59.29999924,,,
36:16.7,coca+cola,6,59.29999924,,,
41:47.7,coca+cola,6,59.29999924,,,
57:36.1,coca+cola,7,59.29999924,,,
04:19.4,coca+cola,6,59.29999924,,,
12:30.8,coca+cola,8,59.29999924,,,
44:44.0,coca+cola,4,59.29999924,,,
24:33.1,coca+cola,3,59.29999924,,,
30:00.5,coca+cola,3,59.29999924,,,
41:50.5,coca+cola,5,59.29999924,,,
47:17.6,coca+cola,5,59.29999924,,,
52:45.4,coca+cola,6,59.29999924,,,
58:13.9,coca+cola,7,59.29999924,,,
03:41.4,coca+cola,7,59.29999924,,,
09:10.3,coca+cola,5,59.29999924,,,
20:55.1,coca+cola,10,59.29999924,,,
26:26.2,coca+cola,10,59.29999924,,,
31:56.2,coca+cola,7,59.29999924,,,
39:53.9,coca+cola,7,59.29999924,,,
45:21.0,coca+cola,7,59.29999924,,,
50:47.9,coca+cola,8,59.29999924,,,
56:15.3,coca+cola,7,59.29999924,,,
01:45.4,coca+cola,7,59.29999924,,,
08:29.1,coca+cola,10,59.29999924,,,
15:12.0,coca+cola,8,59.29999924,,,
20:39.1,coca+cola,8,59.29999924,,,
26:07.3,coca+cola,8,59.29999924,,,
31:35.8,coca+cola,7,59.29999924,,,
43:52.5,coca+cola,8,59.29999924,,,
49:21.1,coca+cola,9,59.29999924,,,
54:51.5,coca+cola,9,59.29999924,,,
09:26.1,coca+cola,8,59.29999924,,,
45:03.6,coca+cola,6,59.29999924,,,
56:48.9,coca+cola,5,59.29999924,,,
02:16.6,coca+cola,4,59.29999924,,,
26:47.6,coca+cola,2,59.29999924,,,
32:17.9,coca+cola,2,59.29999924,,,
49:21.7,coca+cola,1,59.29999924,,,
57:16.5,coca+cola,1,59.29999924,,,
02:44.1,coca+cola,0,59.29999924,,,
17:35.7,coca+cola,0,59.29999924,,,
24:19.1,coca+cola,1,59.29999924,,,
29:45.7,coca+cola,2,59.29999924,,,
56:57.8,coca+cola,6,59.29999924,,,
17:32.8,coca+cola,10,59.29999924,,,
24:50.2,coca+cola,9,59.29999924,,,
36:34.5,coca+cola,9,59.29999924,,,
44:33.8,coca+cola,10,59.29999924,,,
51:56.8,coca+cola,9,59.29999924,,,
09:35.9,coca+cola,6,59.29999924,,,
23:57.9,coca+cola,7,59.29999924,,,
35:42.9,coca+cola,6,59.29999924,,,
41:10.0,coca+cola,8,59.29999924,,,
46:38.8,coca+cola,7,59.29999924,,,
52:09.7,coca+cola,9,59.29999924,,,
00:09.2,coca+cola,7,59.29999924,,,
27:56.3,coca+cola,6,59.29999924,,,
34:40.6,coca+cola,7,59.29999924,,,
41:27.2,coca+cola,7,59.29999924,,,
46:56.5,coca+cola,8,59.29999924,,,
52:28.4,coca+cola,4,59.29999924,,,
57:55.9,coca+cola,5,59.29999924,,,
05:55.3,coca+cola,7,59.29999924,,,
13:54.7,coca+cola,9,59.29999924,,,
21:05.2,coca+cola,10,59.29999924,,,
41:56.4,coca+cola,16,59.29999924,,,
48:38.4,coca+cola,16,59.29999924,,,
54:09.4,coca+cola,16,59.29999924,,,
59:38.3,coca+cola,17,59.29999924,,,
12:56.4,coca+cola,14,59.29999924,,,
18:26.2,coca+cola,15,59.29999924,,,
23:56.0,coca+cola,12,59.29999924,,,
35:58.6,coca+cola,11,59.29999924,,,
42:43.4,coca+cola,10,59.29999924,,,
49:28.8,coca+cola,8,59.29999924,,,
54:57.9,coca+cola,9,59.29999924,,,
02:59.2,coca+cola,10,59.29999924,,,
08:29.0,coca+cola,12,59.29999924,,,
15:15.5,coca+cola,9,59.29999924,,,
30:55.2,coca+cola,8,59.29999924,,,
36:24.8,coca+cola,8,59.29999924,,,
56:07.2,coca+cola,10,59.29999924,,,
01:36.8,coca+cola,16,59.29999924,,,
07:10.4,coca+cola,24,59.29999924,,,
12:44.3,coca+cola,24,59.29999924,,,
18:13.9,coca+cola,24,59.29999924,,,
23:43.8,coca+cola,34,59.29999924,,,
29:15.9,coca+cola,36,59.29999924,,,
34:46.8,coca+cola,38,59.97000122,,,
40:16.4,coca+cola,37,60.00500107,,,
52:11.4,coca+cola,37,60.36999893,,,
04:07.6,coca+cola,19,60.45500183,,,
17:23.6,coca+cola,18,60.29999924,,,
26:41.2,coca+cola,19,60.15999985,,,
32:13.4,coca+cola,17,60.15000153,,,
38:59.4,coca+cola,18,60.25500107,,,
44:30.4,coca+cola,18,60.26499939,,,
51:14.5,coca+cola,17,60.22499847,,,
59:16.3,coca+cola,16,60.31010056,,,
04:46.3,coca+cola,18,60.35749817,,,
10:17.1,coca+cola,17,60.25999832,,,
15:48.5,coca+cola,15,60.22000122,,,
21:19.5,coca+cola,11,60.28530121,,,
29:21.7,coca+cola,9,60.35599899,,,
36:07.9,coca+cola,9,60.20999908,,,
42:54.2,coca+cola,8,60.34999847,,,
49:39.9,coca+cola,8,60.43500137,,,
56:24.6,coca+cola,10,60.44499969,,,
03:17.2,coca+cola,15,60.40999985,,,
15:25.6,coca+cola,15,60.47370148,,,
40:28.9,coca+cola,12,60.33610153,,,
47:15.4,coca+cola,12,60.27500153,,,
00:21.6,coca+cola,9,60.22499847,,,
05:55.3,coca+cola,8,60.27500153,,,
24:09.1,coca+cola,8,60.25999832,,,
29:40.7,coca+cola,8,60.27999878,,,
38:51.9,coca+cola,9,60.15999985,,,
44:35.2,coca+cola,11,60.17499924,,,
50:05.7,coca+cola,11,60.23500061,,,
58:43.3,coca+cola,13,60.22990036,,,
17:03.4,coca+cola,13,60.39500046,,,
29:05.1,coca+cola,12,60.42990112,,,
35:51.6,coca+cola,9,60.375,,,
41:21.5,coca+cola,7,60.36500168,,,
46:51.6,coca+cola,8,60.38999939,,,
53:36.1,coca+cola,8,60.40000153,,,
00:23.2,coca+cola,5,60.43000031,,,
07:41.8,coca+cola,4,60.40499878,,,
13:15.4,coca+cola,6,60.39199829,,,
20:02.1,coca+cola,6,60.375,,,
25:32.7,coca+cola,5,60.39500046,,,
34:00.6,coca+cola,6,60.32500076,,,
39:30.7,coca+cola,7,60.32500076,,,
51:19.0,coca+cola,7,60.39500046,,,
03:11.3,coca+cola,6,60.2867012,,,
09:55.3,coca+cola,6,60.27999878,,,
16:18.3,coca+cola,8,60.29000092,,,
23:16.0,coca+cola,6,60.29000092,,,
28:50.7,coca+cola,8,60.29000092,,,
40:46.4,coca+cola,8,60.29000092,,,
52:41.7,coca+cola,9,60.29000092,,,
58:15.9,coca+cola,10,60.29000092,,,
07:29.6,coca+cola,10,60.29000092,,,
14:15.4,coca+cola,12,60.29000092,,,
19:46.4,coca+cola,14,60.29000092,,,
25:17.6,coca+cola,15,60.29000092,,,
32:04.3,coca+cola,14,60.29000092,,,
37:35.7,coca+cola,12,60.29000092,,,
45:39.6,coca+cola,10,60.29000092,,,
51:10.4,coca+cola,11,60.29000092,,,
16:13.1,coca+cola,8,60.29000092,,,
21:45.1,coca+cola,6,60.29000092,,,
36:26.7,coca+cola,10,60.29000092,,,
43:16.9,coca+cola,10,60.29000092,,,
48:47.5,coca+cola,9,60.29000092,,,
54:22.2,coca+cola,9,60.29000092,,,
06:16.7,coca+cola,7,60.29000092,,,
20:40.9,coca+cola,5,60.29000092,,,
27:11.0,coca+cola,4,60.29000092,,,
39:03.5,coca+cola,5,60.29000092,,,
06:19.6,coca+cola,6,60.29000092,,,
13:05.8,coca+cola,5,60.29000092,,,
27:29.8,coca+cola,7,60.29000092,,,
33:02.3,coca+cola,6,60.29000092,,,
38:31.4,coca+cola,5,60.29000092,,,
46:30.3,coca+cola,4,60.29000092,,,
59:33.8,coca+cola,5,60.29000092,,,
05:02.1,coca+cola,5,60.29000092,,,
10:30.5,coca+cola,2,60.29000092,,,
22:42.1,coca+cola,3,60.29000092,,,
29:27.8,coca+cola,4,60.29000092,,,
34:56.3,coca+cola,4,60.29000092,,,
40:25.2,coca+cola,4,60.29000092,,,
45:53.8,coca+cola,3,60.29000092,,,
51:21.6,coca+cola,2,60.29000092,,,
56:49.0,coca+cola,2,60.29000092,,,
03:34.8,coca+cola,2,60.29000092,,,
11:34.4,coca+cola,1,60.29000092,,,
17:03.6,coca+cola,2,60.29000092,,,
23:48.5,coca+cola,3,60.29000092,,,
31:49.7,coca+cola,4,60.29000092,,,
37:19.9,coca+cola,4,60.29000092,,,
50:40.4,coca+cola,4,60.29000092,,,
57:28.1,coca+cola,6,60.29000092,,,
02:58.3,coca+cola,7,60.29000092,,,
08:29.3,coca+cola,8,60.29000092,,,
14:01.6,coca+cola,7,60.29000092,,,
22:03.5,coca+cola,5,60.29000092,,,
27:36.5,coca+cola,4,60.29000092,,,
33:05.8,coca+cola,6,60.29000092,,,
38:38.3,coca+cola,6,60.29000092,,,
44:08.7,coca+cola,8,60.29000092,,,
49:39.0,coca+cola,8,60.29000092,,,
55:14.9,coca+cola,5,60.29000092,,,
02:04.2,coca+cola,5,60.29000092,,,
07:38.4,coca+cola,7,60.29000092,,,
13:11.5,coca+cola,6,60.29000092,,,
18:46.2,coca+cola,5,60.29000092,,,
24:18.2,coca+cola,5,60.29000092,,,
29:48.7,coca+cola,4,60.29000092,,,
35:17.4,coca+cola,6,60.29000092,,,
40:47.3,coca+cola,6,60.29000092,,,
46:16.8,coca+cola,7,60.29000092,,,
51:46.1,coca+cola,7,60.29000092,,,
57:16.1,coca+cola,8,60.29000092,,,
02:44.9,coca+cola,6,60.29000092,,,
08:13.7,coca+cola,7,60.29000092,,,
13:45.8,coca+cola,8,60.29000092,,,
19:14.6,coca+cola,7,60.29000092,,,
24:44.5,coca+cola,6,60.29000092,,,
30:13.8,coca+cola,6,60.29000092,,,
35:42.2,coca+cola,5,60.29000092,,,
41:10.3,coca+cola,5,60.29000092,,,
47:53.8,coca+cola,6,60.29000092,,,
54:39.8,coca+cola,5,60.29000092,,,
00:13.6,coca+cola,5,60.29000092,,,
05:54.8,coca+cola,5,60.29000092,,,
11:27.7,coca+cola,5,60.29000092,,,
16:59.0,coca+cola,5,60.29000092,,,
35:26.4,coca+cola,5,60.29000092,,,
40:55.1,coca+cola,7,60.29000092,,,
46:24.6,coca+cola,8,60.29000092,,,
53:09.6,coca+cola,9,60.29000092,,,
06:19.0,coca+cola,10,60.29000092,,,
14:21.2,coca+cola,11,60.29000092,,,
19:50.2,coca+cola,10,60.29000092,,,
25:19.3,coca+cola,9,60.29000092,,,
30:48.7,coca+cola,8,60.29000092,,,
39:23.3,coca+cola,9,60.29000092,,,
44:51.6,coca+cola,8,60.29000092,,,
03:08.7,coca+cola,6,60.29000092,,,
08:40.3,coca+cola,5,60.29000092,,,
15:25.4,coca+cola,7,60.29000092,,,
22:11.1,coca+cola,9,60.29000092,,,
27:40.6,coca+cola,10,60.29000092,,,
33:09.6,coca+cola,11,60.29000092,,,
38:38.4,coca+cola,9,60.29000092,,,
46:52.4,coca+cola,12,60.29000092,,,
00:12.5,coca+cola,11,60.29000092,,,
13:16.3,coca+cola,12,60.29000092,,,
18:45.8,coca+cola,11,60.29000092,,,
24:18.6,coca+cola,11,60.29000092,,,
31:03.0,coca+cola,9,60.29000092,,,
36:33.2,coca+cola,9,60.29000092,,,
48:33.0,coca+cola,6,60.29000092,,,
54:04.0,coca+cola,5,60.29000092,,,
00:47.7,coca+cola,2,60.29000092,,,
07:34.1,coca+cola,3,60.29000092,,,
14:21.0,coca+cola,4,60.29000092,,,
19:50.1,coca+cola,6,60.29000092,,,
25:20.6,coca+cola,8,60.29000092,,,
30:51.1,coca+cola,11,60.29000092,,,
37:36.7,coca+cola,11,60.29000092,,,
43:06.2,coca+cola,13,60.29000092,,,
48:36.4,coca+cola,13,60.29000092,,,
54:08.4,coca+cola,13,60.29000092,,,
59:38.3,coca+cola,21,60.29000092,,,
05:09.2,coca+cola,20,60.29000092,,,
