Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
26:45.2,costco,9,566.710022,,,
32:13.2,costco,8,566.710022,,,
37:41.0,costco,8,566.710022,,,
57:22.8,costco,4,566.710022,,,
02:49.3,costco,11,566.710022,,,
08:17.7,costco,8,566.710022,,,
33:00.7,costco,3,566.710022,,,
38:29.2,costco,3,566.710022,,,
50:21.0,costco,2,566.710022,,,
55:48.5,costco,2,566.710022,,,
07:41.5,costco,2,566.710022,,,
19:49.5,costco,2,566.710022,,,
29:34.2,costco,2,566.710022,,,
36:16.7,costco,1,566.710022,,,
41:47.7,costco,1,566.710022,,,
57:36.1,costco,1,566.710022,,,
04:19.4,costco,1,566.710022,,,
12:30.8,costco,1,566.710022,,,
44:44.0,costco,1,566.710022,,,
24:33.1,costco,0,566.710022,,,
30:00.5,costco,1,566.710022,,,
41:50.5,costco,3,566.710022,,,
47:17.6,costco,5,566.710022,,,
52:45.4,costco,5,566.710022,,,
58:13.9,costco,4,566.710022,,,
03:41.4,costco,4,566.710022,,,
09:10.3,costco,4,566.710022,,,
20:55.1,costco,6,566.710022,,,
26:26.2,costco,6,566.710022,,,
31:56.2,costco,6,566.710022,,,
39:53.9,costco,6,566.710022,,,
45:21.0,costco,6,566.710022,,,
50:47.9,costco,5,566.710022,,,
56:15.3,costco,5,566.710022,,,
01:45.4,costco,4,566.710022,,,
08:29.1,costco,2,566.710022,,,
15:12.0,costco,0,566.710022,,,
20:39.1,costco,0,566.710022,,,
26:07.3,costco,0,566.710022,,,
31:35.8,costco,1,566.710022,,,
43:52.5,costco,2,566.710022,,,
49:21.1,costco,3,566.710022,,,
54:51.5,costco,4,566.710022,,,
09:26.1,costco,2,566.710022,,,
45:03.6,costco,1,566.710022,,,
56:48.9,costco,2,566.710022,,,
02:16.6,costco,2,566.710022,,,
26:47.6,costco,1,566.710022,,,
49:21.7,costco,0,566.710022,,,
57:16.5,costco,0,566.710022,,,
02:44.1,costco,0,566.710022,,,
17:35.7,costco,0,566.710022,,,
24:19.1,costco,0,566.710022,,,
29:45.7,costco,0,566.710022,,,
56:57.8,costco,12,566.710022,,,
17:32.8,costco,8,566.710022,,,
24:50.2,costco,9,566.710022,,,
36:34.5,costco,9,566.710022,,,
44:33.8,costco,7,566.710022,,,
51:56.8,costco,4,566.710022,,,
09:35.9,costco,2,566.710022,,,
23:57.9,costco,1,566.710022,,,
35:42.9,costco,2,566.710022,,,
41:10.0,costco,2,566.710022,,,
46:38.8,costco,2,566.710022,,,
52:09.7,costco,1,566.710022,,,
00:09.2,costco,7,566.710022,,,
27:56.3,costco,9,566.710022,,,
34:40.6,costco,9,566.710022,,,
41:27.2,costco,8,566.710022,,,
46:56.5,costco,8,566.710022,,,
52:28.4,costco,9,566.710022,,,
57:55.9,costco,5,566.710022,,,
05:55.3,costco,3,566.710022,,,
13:54.7,costco,4,566.710022,,,
21:05.2,costco,5,566.710022,,,
48:38.4,costco,6,566.710022,,,
54:09.4,costco,6,566.710022,,,
59:38.3,costco,8,566.710022,,,
12:56.4,costco,6,566.710022,,,
18:26.2,costco,6,566.710022,,,
23:56.0,costco,6,566.710022,,,
35:58.6,costco,5,566.710022,,,
42:43.4,costco,6,566.710022,,,
49:28.8,costco,4,566.710022,,,
54:57.9,costco,4,566.710022,,,
02:59.2,costco,2,566.710022,,,
08:29.0,costco,3,566.710022,,,
15:15.5,costco,5,566.710022,,,
30:55.2,costco,6,566.710022,,,
36:24.8,costco,5,566.710022,,,
56:07.2,costco,9,566.710022,,,
01:36.8,costco,15,566.710022,,,
07:10.4,costco,13,566.710022,,,
12:44.3,costco,16,566.710022,,,
18:13.9,costco,17,566.710022,,,
23:43.8,costco,18,566.710022,,,
29:15.9,costco,19,566.710022,,,
34:46.8,costco,19,567.5900269,,,
40:16.4,costco,18,566.3900146,,,
52:11.4,costco,11,565.6300049,,,
04:07.6,costco,9,566.8400269,,,
17:23.6,costco,6,566.447998,,,
26:41.2,costco,6,566.6400146,,,
32:13.4,costco,8,566.9000244,,,
38:59.4,costco,10,565.2999878,,,
44:30.4,costco,9,565.1450195,,,
51:14.5,costco,10,564.5300293,,,
59:16.3,costco,9,564.9400024,,,
04:46.3,costco,15,566.2600098,,,
10:17.1,costco,15,564.3200073,,,
15:48.5,costco,14,565.0300293,,,
21:19.5,costco,14,564.4249878,,,
29:21.7,costco,12,565.2999878,,,
36:07.9,costco,13,565.2000122,,,
42:54.2,costco,13,563.9199829,,,
49:39.9,costco,14,564.0200195,,,
56:24.6,costco,16,563.1699829,,,
03:17.2,costco,9,563.2449951,,,
15:25.6,costco,15,564.4299927,,,
40:28.9,costco,9,563.0900269,,,
47:15.4,costco,10,562.6400146,,,
00:21.6,costco,7,561.9099731,,,
05:55.3,costco,8,563.0900269,,,
24:09.1,costco,13,563.4199829,,,
38:51.9,costco,16,563.0499878,,,
44:35.2,costco,13,563,,,
50:05.7,costco,15,562.7700195,,,
58:43.3,costco,17,562.0599976,,,
17:03.4,costco,17,563.1799927,,,
29:05.1,costco,17,563.7600098,,,
35:51.6,costco,20,563.9069824,,,
41:21.5,costco,23,564.6500244,,,
46:51.6,costco,20,563.8800049,,,
53:36.1,costco,24,564.3200073,,,
00:23.2,costco,29,564.4000244,,,
07:41.8,costco,22,564.1500244,,,
13:15.4,costco,19,564.5300293,,,
20:02.1,costco,17,564.960022,,,
25:32.7,costco,14,565.7600098,,,
34:00.6,costco,11,565.5300293,,,
39:30.7,costco,10,565.539978,,,
51:19.0,costco,12,567.2750244,,,
03:11.3,costco,13,564.2299805,,,
09:55.3,costco,12,564.2299805,,,
16:18.3,costco,13,564.2299805,,,
23:16.0,costco,13,564.2299805,,,
28:50.7,costco,10,564.2299805,,,
40:46.4,costco,11,564.2299805,,,
52:41.7,costco,13,564.2299805,,,
07:29.6,costco,10,564.2299805,,,
14:15.4,costco,15,564.2299805,,,
19:46.4,costco,16,564.2299805,,,
25:17.6,costco,19,564.2299805,,,
32:04.3,costco,20,564.2299805,,,
37:35.7,costco,23,564.2299805,,,
45:39.6,costco,22,564.2299805,,,
51:10.4,costco,20,564.2299805,,,
16:13.1,costco,11,564.2299805,,,
21:45.1,costco,10,564.2299805,,,
36:26.7,costco,10,564.2299805,,,
43:16.9,costco,11,564.2299805,,,
48:47.5,costco,12,564.2299805,,,
54:22.2,costco,9,564.2299805,,,
06:16.7,costco,10,564.2299805,,,
20:40.9,costco,18,564.2299805,,,
27:11.0,costco,16,564.2299805,,,
39:03.5,costco,8,564.2299805,,,
06:19.6,costco,9,564.2299805,,,
13:05.8,costco,13,564.2299805,,,
27:29.8,costco,12,564.2299805,,,
33:02.3,costco,13,564.2299805,,,
38:31.4,costco,15,564.2299805,,,
46:30.3,costco,11,564.2299805,,,
59:33.8,costco,8,564.2299805,,,
05:02.1,costco,9,564.2299805,,,
10:30.5,costco,10,564.2299805,,,
22:42.1,costco,10,564.2299805,,,
29:27.8,costco,10,564.2299805,,,
34:56.3,costco,7,564.2299805,,,
40:25.2,costco,9,564.2299805,,,
45:53.8,costco,10,564.2299805,,,
51:21.6,costco,10,564.2299805,,,
56:49.0,costco,12,564.2299805,,,
03:34.8,costco,8,564.2299805,,,
11:34.4,costco,10,564.2299805,,,
17:03.6,costco,12,564.2299805,,,
23:48.5,costco,9,564.2299805,,,
31:49.7,costco,10,564.2299805,,,
37:19.9,costco,11,564.2299805,,,
50:40.4,costco,10,564.2299805,,,
57:28.1,costco,10,564.2299805,,,
02:58.3,costco,6,564.2299805,,,
08:29.3,costco,8,564.2299805,,,
14:01.6,costco,9,564.2299805,,,
22:03.5,costco,9,564.2299805,,,
27:36.5,costco,9,564.2299805,,,
33:05.8,costco,8,564.2299805,,,
38:38.3,costco,7,564.2299805,,,
44:08.7,costco,7,564.2299805,,,
49:39.0,costco,7,564.2299805,,,
55:14.9,costco,6,564.2299805,,,
02:04.2,costco,5,564.2299805,,,
07:38.4,costco,6,564.2299805,,,
13:11.5,costco,5,564.2299805,,,
18:46.2,costco,5,564.2299805,,,
24:18.2,costco,6,564.2299805,,,
29:48.7,costco,6,564.2299805,,,
35:17.4,costco,7,564.2299805,,,
40:47.3,costco,8,564.2299805,,,
46:16.8,costco,6,564.2299805,,,
51:46.1,costco,4,564.2299805,,,
57:16.1,costco,3,564.2299805,,,
02:44.9,costco,3,564.2299805,,,
08:13.7,costco,1,564.2299805,,,
13:45.8,costco,1,564.2299805,,,
19:14.6,costco,0,564.2299805,,,
24:44.5,costco,0,564.2299805,,,
30:13.8,costco,0,564.2299805,,,
35:42.2,costco,0,564.2299805,,,
41:10.3,costco,2,564.2299805,,,
47:53.8,costco,2,564.2299805,,,
54:39.8,costco,2,564.2299805,,,
00:13.6,costco,1,564.2299805,,,
05:54.8,costco,1,564.2299805,,,
11:27.7,costco,0,564.2299805,,,
16:59.0,costco,0,564.2299805,,,
35:26.4,costco,0,564.2299805,,,
40:55.1,costco,0,564.2299805,,,
46:24.6,costco,0,564.2299805,,,
53:09.6,costco,0,564.2299805,,,
06:19.0,costco,0,564.2299805,,,
14:21.2,costco,0,564.2299805,,,
19:50.2,costco,0,564.2299805,,,
25:19.3,costco,0,564.2299805,,,
30:48.7,costco,0,564.2299805,,,
39:23.3,costco,0,564.2299805,,,
44:51.6,costco,0,564.2299805,,,
03:08.7,costco,1,564.2299805,,,
08:40.3,costco,3,564.2299805,,,
15:25.4,costco,3,564.2299805,,,
22:11.1,costco,3,564.2299805,,,
27:40.6,costco,3,564.2299805,,,
33:09.6,costco,3,564.2299805,,,
38:38.4,costco,2,564.2299805,,,
46:52.4,costco,2,564.2299805,,,
00:12.5,costco,3,564.2299805,,,
13:16.3,costco,2,564.2299805,,,
18:45.8,costco,2,564.2299805,,,
24:18.6,costco,3,564.2299805,,,
31:03.0,costco,3,564.2299805,,,
36:33.2,costco,4,564.2299805,,,
48:33.0,costco,4,564.2299805,,,
