Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words
52:18.4,disney,25,156.8101044,,,,,
57:24.4,disney,27,156.670105,,,,,
02:52.6,disney,37,156.7299957,,,,,
08:03.8,disney,40,156.7299957,,,,,
13:09.5,disney,39,156.7299957,,,,,
18:14.5,disney,34,156.7599945,,,,,
23:19.8,disney,33,156.7599945,,,,,
28:26.3,disney,33,156.7599945,,,,,
33:36.3,disney,31,156.7599945,,,,,
38:45.8,disney,28,156.7599945,,,,,
43:56.1,disney,27,156.7599945,,,,,
49:05.4,disney,22,156.7599945,,,,,
55:35.6,disney,24,156.7599945,,,,,
01:54.2,disney,31,156.7599945,,,,,
07:11.1,disney,32,156.7599945,,,,,
13:42.9,disney,32,156.7599945,,,,,
20:17.2,disney,28,156.7599945,,,,,
26:45.2,disney,24,156.7599945,,,,,
32:13.2,disney,22,156.7599945,,,,,
37:41.0,disney,25,156.7599945,,,,,
44:24.9,disney,22,156.7599945,,,,,
50:45.1,disney,19,156.7599945,,,,,
57:22.8,disney,15,156.7599945,,,,,
02:49.3,disney,18,156.7599945,,,,,
08:17.7,disney,21,156.7599945,,,,,
13:45.8,disney,19,156.7599945,,,,,
20:09.1,disney,15,156.7599945,,,,,
26:39.6,disney,19,156.7599945,,,,,
33:00.7,disney,22,156.7599945,,,,,
38:29.2,disney,21,156.7599945,,,,,
43:57.0,disney,18,156.7599945,,,,,
50:21.0,disney,18,156.7599945,,,,,
55:48.5,disney,16,156.7599945,,,,,
01:16.4,disney,17,156.7599945,,,,,
07:41.5,disney,19,156.7599945,,,,,
13:09.4,disney,18,156.7599945,,,,,
19:49.5,disney,16,156.7599945,,,,,
29:34.2,disney,15,156.7599945,,,,,
36:16.7,disney,17,156.7599945,,,,,
41:47.7,disney,18,156.7599945,,,,,
47:15.2,disney,19,156.7599945,,,,,
52:29.8,disney,19,156.7599945,,,,,
57:36.1,disney,18,156.7599945,,,,,
04:19.4,disney,19,156.7599945,,,,,
12:30.8,disney,11,156.7599945,,,,,
19:14.0,disney,12,156.7599945,,,,,
25:37.4,disney,10,156.7599945,,,,,
32:00.1,disney,5,156.7599945,,,,,
38:19.6,disney,7,156.7599945,,,,,
44:44.0,disney,12,156.7599945,,,,,
50:11.4,disney,13,156.7599945,,,,,
57:44.4,disney,15,156.7599945,,,,,
04:12.0,disney,18,156.7599945,,,,,
24:33.1,disney,22,156.7599945,,,,,
30:00.5,disney,22,156.7599945,,,,,
35:28.4,disney,16,156.7599945,,,,,
41:50.5,disney,14,156.7599945,,,,,
47:17.6,disney,13,156.7599945,,,,,
52:45.4,disney,13,156.7599945,,,,,
58:13.9,disney,15,156.7599945,,,,,
03:41.4,disney,17,156.7599945,,,,,
09:10.3,disney,16,156.7599945,,,,,
20:55.1,disney,14,156.7599945,,,,,
26:26.2,disney,12,156.7599945,,,,,
31:56.2,disney,12,156.7599945,,,,,
39:53.9,disney,12,156.7599945,,,,,
45:21.0,disney,9,156.7599945,,,,,
50:47.9,disney,10,156.7599945,,,,,
56:15.3,disney,10,156.7599945,,,,,
01:45.4,disney,13,156.7599945,,,,,
08:29.1,disney,12,156.7599945,,,,,
15:12.0,disney,13,156.7599945,,,,,
20:39.1,disney,13,156.7599945,,,,,
26:07.3,disney,15,156.7599945,,,,,
31:35.8,disney,12,156.7599945,,,,,
37:08.6,disney,13,156.7599945,,,,,
43:52.5,disney,13,156.7599945,,,,,
49:21.1,disney,12,156.7599945,,,,,
54:51.5,disney,13,156.7599945,,,,,
00:19.3,disney,20,156.7599945,,,,,
09:26.1,disney,18,156.7599945,,,,,
17:47.6,disney,17,156.7599945,,,,,
25:31.3,disney,14,156.7599945,,,,,
32:01.3,disney,13,156.7599945,,,,,
38:25.8,disney,12,156.7599945,,,,,
45:03.6,disney,12,156.7599945,,,,,
56:48.9,disney,13,156.7599945,,,,,
02:16.6,disney,16,156.7599945,,,,,
07:45.3,disney,10,156.7599945,,,,,
20:29.5,disney,9,156.7599945,,,,,
26:47.6,disney,9,156.7599945,,,,,
32:17.9,disney,9,156.7599945,,,,,
49:21.7,disney,8,156.7599945,,,,,
57:16.5,disney,9,156.7599945,,,,,
02:44.1,disney,10,156.7599945,,,,,
11:10.8,disney,9,156.7599945,,,,,
17:35.7,disney,10,156.7599945,,,,,
24:19.1,disney,12,156.7599945,,,,,
29:45.7,disney,13,156.7599945,,,,,
35:13.4,disney,14,156.7599945,,,,,
42:46.5,disney,15,156.7599945,,,,,
50:35.9,disney,15,156.7599945,,,,,
56:57.8,disney,13,156.7599945,,,,,
02:26.0,disney,23,156.7599945,,,,,
10:53.6,disney,25,156.7599945,,,,,
17:32.8,disney,28,156.7599945,,,,,
24:50.2,disney,25,156.7599945,,,,,
36:34.5,disney,20,156.7599945,,,,,
44:33.8,disney,16,156.7599945,,,,,
51:56.8,disney,16,156.7599945,,,,,
02:00.0,disney,13,156.7599945,,,,,
09:35.9,disney,8,156.7599945,,,,,
17:28.5,disney,8,156.7599945,,,,,
23:57.9,disney,7,156.7599945,,,,,
29:25.0,disney,10,156.7599945,,,,,
35:42.9,disney,12,156.7599945,,,,,
41:10.0,disney,14,156.7599945,,,,,
46:38.8,disney,14,156.7599945,,,,,
52:09.7,disney,14,156.7599945,,,,,
00:09.2,disney,13,156.7599945,,,,,
08:34.9,disney,16,156.7599945,,,,,
14:59.2,disney,15,156.7599945,,,,,
21:23.5,disney,14,156.7599945,,,,,
27:56.3,disney,10,156.7599945,,,,,
34:40.6,disney,9,156.7599945,,,,,
41:27.2,disney,10,156.7599945,,,,,
46:56.5,disney,7,156.7599945,,,,,
52:28.4,disney,9,156.7599945,,,,,
57:55.9,disney,8,156.7599945,,,,,
05:55.3,disney,15,156.7599945,,,,,
13:54.7,disney,16,156.7599945,,,,,
21:05.2,disney,20,156.7599945,,,,,
29:05.9,disney,25,156.7599945,,,,,
35:24.5,disney,25,156.7599945,,,,,
41:56.4,disney,22,156.7599945,,,,,
48:38.4,disney,23,156.7599945,,,,,
54:09.4,disney,20,156.7599945,,,,,
59:38.3,disney,25,156.7599945,,,,,
05:08.2,disney,34,156.7599945,,,,,
12:56.4,disney,28,156.7599945,,,,,
18:26.2,disney,26,156.7599945,,,,,
23:56.0,disney,23,156.7599945,,,,,
29:31.4,disney,18,156.7599945,,,,,
35:58.6,disney,15,156.7599945,,,,,
42:43.4,disney,16,156.7599945,,,,,
49:28.8,disney,13,156.7599945,,,,,
54:57.9,disney,13,156.7599945,,,,,
02:59.2,disney,14,156.7599945,,,,,
08:29.0,disney,11,156.7599945,,,,,
15:15.5,disney,11,156.7599945,,,,,
22:00.4,disney,14,156.7599945,,,,,
30:55.2,disney,14,156.7599945,,,,,
36:24.8,disney,18,156.7599945,,,,,
43:10.1,disney,15,156.7599945,,,,,
49:46.8,disney,16,156.7599945,,,,,
56:07.2,disney,14,156.7599945,,,,,
01:36.8,disney,24,156.7599945,,,,,
07:10.4,disney,35,156.7599945,,,,,
12:44.3,disney,36,156.7599945,,,,,
18:13.9,disney,36,156.7599945,,,,,
23:43.8,disney,34,156.7599945,,,,,
29:15.9,disney,35,156.7599945,,,,,
34:46.8,disney,36,159.9546051,,,,,
40:16.4,disney,36,159.6799927,,,,,
45:46.6,disney,34,158.9600067,,,,,
52:11.4,disney,35,158.9299011,,,,,
57:44.0,disney,30,158.5299072,,,,,
