Date,Name,Articles,Stock_Price,Pos_Words,Neg_Words,YT_Vids
49:05.4,dogecoin,6,0.169730335,,,
01:54.2,dogecoin,4,0.16957128,,,
07:11.1,dogecoin,3,0.169595182,,,
13:42.9,dogecoin,2,0.169588819,,,
20:17.2,dogecoin,4,0.169384092,,,
26:45.2,dogecoin,4,0.169389099,,,
32:13.2,dogecoin,4,0.169725865,,,
37:41.0,dogecoin,3,0.169908479,,,
50:45.1,dogecoin,3,0.170110837,,,
57:22.8,dogecoin,3,0.170110837,,,
02:49.3,dogecoin,2,0.170110837,,,
08:17.7,dogecoin,2,0.170110837,,,
20:09.1,dogecoin,1,0.170110837,,,
33:00.7,dogecoin,1,0.170110837,,,
38:29.2,dogecoin,2,0.170110837,,,
43:57.0,dogecoin,2,0.170110837,,,
50:21.0,dogecoin,2,0.170110837,,,
55:48.5,dogecoin,2,0.170110837,,,
07:41.5,dogecoin,2,nan,,,
13:09.4,dogecoin,2,nan,,,
19:49.5,dogecoin,1,nan,,,
29:34.2,dogecoin,1,nan,,,
36:16.7,dogecoin,0,nan,,,
41:47.7,dogecoin,0,nan,,,
47:15.2,dogecoin,0,nan,,,
57:36.1,dogecoin,0,nan,,,
04:19.4,dogecoin,0,nan,,,
12:30.8,dogecoin,0,nan,,,
38:19.6,dogecoin,0,nan,,,
44:44.0,dogecoin,0,nan,,,
57:44.4,dogecoin,1,nan,,,
04:12.0,dogecoin,1,nan,,,
24:33.1,dogecoin,0,0.169060946,,,
30:00.5,dogecoin,0,0.169364348,,,
41:50.5,dogecoin,1,0.169359431,,,
47:17.6,dogecoin,1,0.169566527,,,
52:45.4,dogecoin,2,0.169636294,,,
58:13.9,dogecoin,2,0.169496983,,,
03:41.4,dogecoin,2,0.16946806,,,
09:10.3,dogecoin,2,0.169264227,,,
20:55.1,dogecoin,3,0.169441089,,,
26:26.2,dogecoin,4,0.169722602,,,
31:56.2,dogecoin,5,0.169713557,,,
39:53.9,dogecoin,4,0.16997315,,,
45:21.0,dogecoin,3,0.170065567,,,
50:47.9,dogecoin,3,0.170067936,,,
56:15.3,dogecoin,3,0.170124844,,,
01:45.4,dogecoin,3,0.169934437,,,
08:29.1,dogecoin,3,0.169669524,,,
15:12.0,dogecoin,1,0.169692531,,,
20:39.1,dogecoin,1,0.169695228,,,
26:07.3,dogecoin,0,0.169736773,,,
31:35.8,dogecoin,0,0.169797257,,,
37:08.6,dogecoin,1,0.169986352,,,
43:52.5,dogecoin,2,0.169752285,,,
49:21.1,dogecoin,2,0.169676885,,,
54:51.5,dogecoin,2,0.169569641,,,
00:19.3,dogecoin,2,0.16950509,,,
09:26.1,dogecoin,2,0.169535369,,,
17:47.6,dogecoin,1,0.169716045,,,
25:31.3,dogecoin,2,0.170083225,,,
32:01.3,dogecoin,2,0.170240253,,,
38:25.8,dogecoin,3,0.170025647,,,
45:03.6,dogecoin,4,0.169884175,,,
56:48.9,dogecoin,2,0.169825807,,,
02:16.6,dogecoin,3,0.170061067,,,
07:45.3,dogecoin,4,0.170106143,,,
26:47.6,dogecoin,3,0.170250878,,,
32:17.9,dogecoin,3,0.17043139,,,
