Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
11,519.6599731,3,0,20,0,20,0
9,519.6599731,2,0,20,0,20,0
6,519.6599731,1,0,20,0,20,0
6,519.6599731,2,0,20,0,20,0
5,519.6599731,2,0,20,0,20,0
6,519.6599731,3,0,20,0,20,0
6,519.6599731,2,0,20,0,20,0
6,519.6599731,3,0,20,0,20,0
6,519.6599731,3,0,20,1,20,0
5,519.6599731,3,0,20,0,20,0
5,519.6599731,3,0,20,0,20,0
4,519.6599731,2,0,20,0,20,0
2,519.6599731,1,0,20,0,20,0
3,519.6599731,1,0,20,0,20,0
3,519.6599731,1,0,20,0,20,0
4,519.6599731,0,0,20,0,20,0
4,519.6599731,0,0,20,0,20,0
4,519.6599731,0,0,20,0,20,0
4,519.6599731,0,0,20,2,20,0
4,519.6599731,0,0,20,2,20,0
4,519.6599731,0,0,20,2,20,0
3,519.6599731,1,0,20,2,20,0
2,519.6599731,1,0,20,5,20,0
2,519.6599731,1,0,20,3,20,0
2,519.6599731,1,0,20,4,20,0
2,519.6599731,1,0,20,4,20,0
2,519.6599731,1,0,20,5,20,0
2,519.6599731,1,0,20,5,20,0
1,519.6599731,0,0,20,3,20,0
1,519.6599731,0,0,20,4,20,0
2,519.6599731,0,0,20,2,20,0
2,519.6599731,0,0,20,2,20,0
3,519.6599731,1,0,20,2,20,0
4,519.6599731,1,0,20,2,20,0
4,519.6599731,1,0,20,1,20,0
5,519.6599731,1,0,20,1,20,0
7,519.6599731,1,0,20,1,20,0
7,519.6599731,2,0,20,0,20,0
7,519.6599731,2,0,20,0,20,0
7,519.6599731,2,0,20,0,20,0
9,519.6599731,2,0,20,2,20,0
7,519.6599731,1,0,20,2,20,0
8,519.6599731,2,0,20,4,20,0
4,519.6599731,2,0,20,2,20,0
5,519.6599731,2,0,20,4,20,0
5,519.6599731,2,0,20,4,20,0
5,519.6599731,2,0,20,3,20,0
5,519.6599731,2,0,20,3,20,0
2,519.6599731,0,0,20,1,20,0
3,519.6599731,1,0,20,2,20,0
4,519.6599731,1,0,20,1,20,0
3,519.6599731,1,0,20,1,20,0
5,519.6599731,2,0,20,1,20,0
5,519.6599731,1,0,20,4,20,0
5,519.6599731,2,0,20,2,20,0
4,519.6599731,1,0,20,3,20,0
4,519.6599731,1,0,20,3,20,0
3,519.6599731,0,0,20,4,20,0
3,519.6599731,0,0,20,3,20,0
3,519.6599731,1,0,20,3,20,0
3,519.6599731,1,0,20,3,20,0
3,519.6599731,0,0,20,3,20,0
3,519.6599731,0,0,20,2,20,0
3,519.6599731,0,0,20,3,20,0
2,519.6599731,0,0,18,0,18,0
1,519.6599731,0,0,13,0,13,0
2,519.6599731,0,0,20,3,20,0
2,519.6599731,0,0,20,3,20,0
1,519.6599731,0,0,20,3,20,0
2,519.6599731,0,0,20,3,20,0
3,519.6599731,0,0,20,3,20,0
3,519.6599731,0,0,20,3,20,0
1,519.6599731,0,0,20,2,20,0
1,519.6599731,0,0,20,1,20,0
3,519.6599731,0,0,20,2,20,0
2,519.6599731,0,0,20,2,20,0
6,519.6599731,3,0,20,2,20,0
5,519.6599731,3,0,20,1,20,0
5,519.6599731,1,0,20,1,20,0
4,519.6599731,1,0,20,0,20,0
5,519.6599731,1,0,20,0,20,0
4,519.6599731,2,0,20,1,20,0
4,519.6599731,1,0,20,1,20,0
5,519.6599731,1,0,20,1,20,0
5,519.6599731,1,0,20,1,20,0
3,519.6599731,1,0,20,1,20,0
3,519.6599731,1,0,20,1,20,0
3,519.6599731,1,0,20,0,20,0
5,519.6599731,0,0,20,0,20,0
4,519.6599731,1,0,20,0,20,0
6,519.6599731,1,0,20,0,20,0
5,519.6599731,1,0,20,1,20,0
6,519.6599731,1,0,20,2,20,0
6,519.6599731,1,0,20,3,20,0
7,519.6599731,1,0,20,3,20,0
11,519.6599731,2,0,20,5,20,0
11,519.6599731,1,1,20,5,20,0
11,519.6599731,1,1,20,5,20,0
11,519.6599731,1,1,20,5,20,0
10,519.6599731,1,1,20,2,20,0
9,519.6599731,1,1,20,3,20,0
6,519.6599731,1,1,20,2,20,0
6,519.6599731,0,1,20,2,20,0
5,519.6599731,0,1,20,0,20,0
9,519.6599731,0,1,20,0,20,0
9,519.6599731,0,0,20,0,20,0
11,519.6599731,1,0,20,0,20,0
10,507.1600037,1,0,20,2,20,-12.49996948
10,509.1149902,1,0,20,3,20,1.954986572
13,504.8599854,2,0,20,3,20,-4.255004883
6,505.5650024,1,0,20,3,20,0.70501709
5,505.0499878,2,0,20,3,20,-0.515014648
5,507.1900024,2,0,20,3,20,2.140014648
7,507.4899902,2,0,20,1,20,0.299987793
7,504.5,2,0,20,0,20,-2.989990234
6,507.980011,1,0,20,0,20,3.480010986
6,506.0950012,1,0,20,1,20,-1.885009766
8,506.7200012,2,0,20,1,20,0.625
8,503.25,1,0,20,1,20,-3.470001221
10,503.9500122,1,0,20,0,20,0.700012207
8,503.25,1,1,20,1,20,-0.700012207
12,501.6300049,2,1,20,1,20,-1.619995117
12,505.0050049,2,2,20,1,20,3.375
13,504.0299988,3,2,23,1,23,-0.975006104
8,506.1900024,2,2,20,1,20,2.160003662
7,504.6000061,2,1,20,1,20,-1.589996338
4,502.1600037,0,0,20,2,20,-2.440002441
5,504.0450134,1,1,20,1,20,1.885009766
5,500.9249878,1,1,20,1,20,-3.120025635
8,501.6799927,1,1,20,3,20,0.755004883
6,501.4399109,1,1,20,1,20,-0.240081787
7,502.2900085,3,1,20,1,20,0.850097656
4,502.6000061,3,0,20,1,20,0.309997559
5,503.4400024,3,0,20,1,20,0.839996338
6,502.5100098,3,0,20,0,20,-0.929992676
7,504.8200073,2,0,20,0,20,2.309997559
6,505.980011,2,0,20,0,20,1.160003662
11,508.3500061,3,0,20,0,20,2.369995117
10,507.5650024,3,0,20,0,20,-0.785003662
10,509.8599854,1,0,20,0,20,2.29498291
11,510.4700012,1,0,20,0,20,0.610015869
9,509.9400024,1,0,20,0,20,-0.529998779
7,509.565094,1,0,20,0,20,-0.374908447
7,511.1000061,1,0,20,0,20,1.534912109
5,511.730011,1,0,20,0,20,0.630004883
6,510.8200073,0,0,20,0,20,-0.910003662
8,508.2572021,0,0,20,0,20,-2.562805176
7,509.6900024,0,0,20,0,20,1.432800293
5,506.9450073,0,0,20,0,20,-2.744995117
6,505.9200134,1,0,20,0,20,-1.024993896
7,506.1700134,2,0,20,0,20,0.25
7,503.0101013,2,0,20,0,20,-3.159912109
5,502.7200012,2,0,20,0,20,-0.290100098
