Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
1,120.3700027,0,0,19,0,19,0
0,120.3700027,0,0,20,0,20,0
1,120.3700027,0,0,12,0,12,0
1,120.3700027,0,0,16,0,16,0
1,120.3700027,0,0,16,0,16,0
1,120.3700027,0,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
1,120.3700027,0,0,20,0,20,0
1,120.3700027,0,0,20,0,20,0
3,120.3700027,0,0,20,0,20,0
4,120.3700027,1,0,20,0,20,0
4,120.3700027,1,0,20,1,20,0
2,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
2,120.3700027,0,0,20,0,20,0
3,120.3700027,0,0,20,0,20,0
3,120.3700027,0,0,20,0,20,0
4,120.3700027,0,0,20,0,20,0
2,120.3700027,0,0,20,0,20,0
1,120.3700027,0,0,20,0,20,0
1,120.3700027,0,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
2,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
7,120.3700027,1,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
8,120.3700027,1,0,20,0,20,0
8,120.3700027,1,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
5,120.3700027,0,0,20,0,20,0
5,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
9,120.3700027,0,0,20,0,20,0
10,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
8,120.3700027,0,0,20,0,20,0
5,120.3700027,1,0,20,0,20,0
5,120.3700027,1,0,20,0,20,0
3,120.3700027,1,0,20,0,20,0
4,120.3700027,1,0,20,0,20,0
4,120.3700027,1,0,20,0,20,0
5,120.3700027,1,0,20,0,20,0
8,120.3700027,1,0,20,0,20,0
8,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
6,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
7,120.3700027,1,0,20,0,20,0
9,120.3700027,1,0,20,0,20,0
9,120.3700027,1,0,20,0,20,0
11,120.3700027,1,0,20,1,20,0
12,120.3700027,1,0,20,0,20,0
10,120.3700027,1,0,20,1,20,0
9,120.3700027,0,0,20,1,20,0
9,120.3700027,0,0,20,1,20,0
8,120.3700027,0,0,20,1,20,0
5,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
5,120.3700027,0,0,20,0,20,0
6,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
7,120.3700027,0,0,20,0,20,0
6,120.3700027,0,0,20,0,20,0
7,120.3700027,1,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
5,120.3700027,1,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
7,120.3700027,1,0,20,0,20,0
9,120.3700027,1,0,20,0,20,0
5,120.3700027,0,0,20,0,20,0
4,120.3700027,0,0,20,0,20,0
5,120.3700027,0,0,20,0,20,0
4,120.3700027,0,0,20,0,20,0
5,120.3700027,1,0,20,0,20,0
5,120.3700027,2,0,20,0,20,0
4,120.3700027,2,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
5,120.3700027,2,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
6,120.3700027,2,0,20,0,20,0
6,120.3700027,1,0,20,0,20,0
6,120.3700027,0,1,20,0,20,0
6,120.3700027,0,1,20,0,20,0
7,120.3700027,1,1,20,0,20,0
10,120.3700027,1,1,20,0,20,0
10,120.3700027,1,1,20,0,20,0
11,120.3700027,1,1,20,0,20,0
10,119.6100006,1,1,20,0,20,-0.760002136
8,121.6278992,1,1,20,0,20,2.01789856
7,120.5,1,1,20,0,20,-1.12789917
5,119.5599976,0,0,20,0,20,-0.940002441
3,118.8899994,0,0,20,0,20,-0.669998169
5,119.6947021,0,0,20,0,20,0.804702759
4,119.7998962,0,0,20,0,20,0.105194092
4,119.6100006,0,0,20,0,20,-0.18989563
5,119.2099991,0,0,20,0,20,-0.400001526
4,119.3600006,0,0,20,0,20,0.150001526
4,119.2699966,0,0,20,0,20,-0.090003967
4,119.4499969,1,0,20,0,20,0.180000305
4,119.5500031,1,0,20,0,20,0.100006104
3,118.3799973,1,0,20,0,20,-1.170005798
3,119.0400009,1,0,20,0,20,0.660003662
1,119.0749969,1,0,20,0,20,0.034996033
1,119.2649994,1,0,20,0,20,0.190002441
2,118.75,1,0,20,0,20,-0.51499939
2,118.7200012,1,0,20,4,20,-0.029998779
4,118.7300034,1,0,20,4,20,0.010002136
4,118.8499985,1,0,20,0,20,0.119995117
4,118.8700027,1,0,20,0,20,0.020004272
4,118.6600037,1,0,20,0,20,-0.209999084
3,118.5299988,0,0,20,0,20,-0.130004883
4,118.3199997,0,0,20,0,20,-0.209999084
3,118.7600021,0,0,20,0,20,0.440002441
2,118.8499985,0,0,20,0,20,0.089996338
2,118.9499969,0,0,20,0,20,0.099998474
4,118.8600006,0,0,20,0,20,-0.089996338
4,118.9550018,1,0,20,1,20,0.095001221
4,118.8799973,1,0,20,1,20,-0.075004578
5,119.3399963,1,0,20,1,20,0.459999084
5,118.9100037,1,0,20,1,20,-0.429992676
6,119.3949966,1,0,20,1,20,0.484992981
6,119.6100006,1,0,19,1,19,0.215003967
6,119.9400024,1,0,20,1,20,0.330001831
