Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
18,2890.879883,8,1,20,0,20,0
21,2890.879883,6,2,20,0,20,0
19,2890.879883,3,1,20,0,20,0
19,2890.879883,4,1,20,0,20,0
20,2890.879883,5,0,20,0,20,0
20,2890.879883,5,0,20,0,20,0
18,2890.879883,4,0,20,0,20,0
18,2890.879883,3,0,20,0,20,0
14,2890.879883,2,0,20,0,20,0
24,2890.879883,5,0,20,0,20,0
21,2890.879883,6,0,20,0,20,0
18,2890.879883,5,0,20,0,20,0
19,2890.879883,5,0,20,0,20,0
19,2890.879883,5,0,20,0,20,0
16,2890.879883,3,0,20,0,20,0
16,2890.879883,3,0,20,0,20,0
14,2890.879883,4,0,20,0,20,0
15,2890.879883,3,0,20,1,20,0
25,2890.879883,4,1,20,1,20,0
20,2890.879883,2,1,20,1,20,0
17,2890.879883,3,1,20,1,20,0
18,2890.879883,3,1,20,0,20,0
18,2890.879883,5,1,20,0,20,0
17,2890.879883,5,1,20,0,20,0
24,2890.879883,5,1,20,0,20,0
19,2890.879883,4,0,20,0,20,0
19,2890.879883,5,0,20,0,20,0
24,2890.879883,6,1,20,0,20,0
20,2890.879883,5,0,20,0,20,0
19,2890.879883,4,0,20,0,20,0
19,2890.879883,4,0,20,0,20,0
19,2890.879883,1,0,20,0,20,0
25,2890.879883,3,2,20,0,20,0
28,2890.879883,3,2,20,0,20,0
29,2890.879883,3,2,20,1,20,0
20,2890.879883,2,0,20,1,20,0
21,2890.879883,2,0,20,2,20,0
23,2890.879883,2,0,20,1,20,0
15,2890.879883,1,0,20,1,20,0
13,2890.879883,1,0,20,1,20,0
28,2890.879883,3,0,20,1,20,0
30,2890.879883,3,0,20,0,20,0
24,2890.879883,4,2,20,1,20,0
21,2890.879883,5,0,20,0,20,0
18,2890.879883,2,0,20,2,20,0
20,2890.879883,2,0,20,0,20,0
19,2890.879883,3,0,20,0,20,0
19,2890.879883,1,0,20,1,20,0
22,2890.879883,0,0,20,1,20,0
18,2890.879883,0,0,20,1,20,0
14,2890.879883,1,0,20,1,20,0
13,2890.879883,1,0,20,2,20,0
18,2890.879883,2,0,20,2,20,0
28,2890.879883,3,0,20,2,20,0
22,2890.879883,3,0,20,1,20,0
19,2890.879883,5,1,20,1,20,0
16,2890.879883,5,1,20,1,20,0
15,2890.879883,5,1,20,0,20,0
14,2890.879883,4,1,20,0,20,0
8,2890.879883,2,0,20,0,20,0
19,2890.879883,2,2,20,0,20,0
22,2890.879883,3,3,20,0,20,0
15,2890.879883,3,3,20,0,20,0
16,2890.879883,3,3,20,0,20,0
18,2890.879883,3,3,20,0,20,0
17,2890.879883,6,3,20,0,20,0
14,2890.879883,3,3,20,0,20,0
21,2890.879883,5,2,20,0,20,0
15,2890.879883,3,0,20,0,20,0
12,2890.879883,2,0,20,0,20,0
13,2890.879883,3,0,20,0,20,0
