Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
30,161.6199951,5,2,20,1,20,0
36,161.6199951,6,2,20,1,20,0
33,161.6199951,6,1,20,0,20,0
32,161.6199951,5,2,20,0,20,0
27,161.6199951,5,2,20,0,20,0
30,161.6199951,5,1,20,0,20,0
28,161.6199951,3,1,20,0,20,0
29,161.6199951,3,1,20,0,20,0
40,161.6199951,4,2,20,1,20,0
40,161.6199951,6,0,20,1,20,0
41,161.6199951,6,0,20,0,20,0
34,161.6199951,6,0,20,0,20,0
29,161.6199951,5,0,20,0,20,0
26,161.6199951,3,0,20,0,20,0
25,161.6199951,3,0,20,0,20,0
22,161.6199951,2,0,20,0,20,0
19,161.6199951,3,0,20,0,20,0
21,161.6199951,2,0,20,1,20,0
23,161.6199951,2,0,20,0,20,0
22,161.6199951,2,0,20,0,20,0
21,161.6199951,2,2,20,0,20,0
17,161.6199951,2,2,20,0,20,0
18,161.6199951,2,2,20,0,20,0
18,161.6199951,3,3,20,0,20,0
22,161.6199951,2,3,20,0,20,0
20,161.6199951,2,3,20,0,20,0
17,161.6199951,1,3,20,0,20,0
13,161.6199951,1,1,20,0,20,0
12,161.6199951,0,1,20,0,20,0
18,161.6199951,2,0,20,1,20,0
21,161.6199951,4,0,20,1,20,0
20,161.6199951,4,0,20,1,20,0
22,161.6199951,4,0,20,1,20,0
20,161.6199951,2,0,20,1,20,0
21,161.6199951,2,0,20,1,20,0
19,161.6199951,2,0,20,1,20,0
18,161.6199951,3,2,20,0,20,0
17,161.6199951,3,2,20,0,20,0
18,161.6199951,3,2,20,0,20,0
19,161.6199951,4,3,20,0,20,0
23,161.6199951,5,4,20,0,20,0
19,161.6199951,5,2,20,0,20,0
21,161.6199951,7,2,20,0,20,0
24,161.6199951,5,2,20,0,20,0
23,161.6199951,3,1,20,0,20,0
25,161.6199951,3,1,20,0,20,0
25,161.6199951,2,0,20,0,20,0
23,161.6199951,3,1,20,0,20,0
21,161.6199951,3,1,20,0,20,0
21,161.6199951,2,1,20,0,20,0
21,161.6199951,3,1,20,0,20,0
23,161.6199951,2,2,20,0,20,0
23,161.6199951,2,2,20,0,20,0
28,161.6199951,6,1,20,0,20,0
26,161.6199951,6,2,20,0,20,0
19,161.6199951,5,1,20,0,20,0
19,161.6199951,3,0,20,0,20,0
16,161.6199951,3,0,20,0,20,0
14,161.6199951,3,0,20,1,20,0
16,161.6199951,1,0,20,1,20,0
15,161.6199951,0,0,20,1,20,0
15,161.6199951,0,0,20,0,20,0
11,161.6199951,1,0,20,1,20,0
14,161.6199951,3,0,20,0,20,0
15,161.6199951,4,0,20,0,20,0
16,161.6199951,4,0,20,0,20,0
22,161.6199951,5,0,20,0,20,0
20,161.6199951,3,0,20,0,20,0
22,161.6199951,5,0,20,0,20,0
20,161.6199951,3,0,20,0,20,0
18,161.6199951,2,0,20,0,20,0
16,161.6199951,3,2,20,0,20,0
16,161.6199951,0,1,20,0,20,0
11,161.6199951,1,1,20,0,20,0
17,161.6199951,2,2,20,0,20,0
17,161.6199951,2,3,20,0,20,0
15,161.6199951,2,3,20,0,20,0
13,161.6199951,2,2,20,1,20,0
14,161.6199951,0,3,20,1,20,0
11,161.6199951,0,1,20,1,20,0
13,161.6199951,1,0,20,1,20,0
26,161.6199951,5,1,20,1,20,0
30,161.6199951,5,2,20,0,20,0
30,161.6199951,6,3,20,0,20,0
30,161.6199951,5,3,20,0,20,0
28,161.6199951,4,2,20,0,20,0
23,161.6199951,1,2,20,1,20,0
24,161.6199951,2,3,20,1,20,0
33,161.6199951,0,3,20,1,20,0
33,161.6199951,2,0,20,1,20,0
27,161.6199951,2,0,20,1,20,0
28,161.6199951,7,0,20,1,20,0
26,161.6199951,7,1,20,1,20,0
27,161.6199951,7,1,20,1,20,0
29,161.6199951,6,0,20,0,20,0
44,161.6199951,8,1,20,0,20,0
36,161.6199951,6,3,20,0,20,0
32,161.6199951,4,1,20,0,20,0
34,161.6199951,4,2,20,0,20,0
29,161.6199951,4,2,20,0,20,0
27,161.6199951,3,1,20,0,20,0
45,161.6199951,8,5,20,1,20,0
41,161.6199951,7,3,20,0,20,0
38,161.6199951,6,3,20,0,20,0
33,158.8399963,6,3,20,0,20,-2.779998779
29,157.9400024,4,2,20,0,20,-0.899993896
26,157.8200073,5,1,20,0,20,-0.119995117
44,157.5850067,5,1,20,0,20,-0.23500061
37,157.4100037,8,0,20,1,20,-0.175003052
30,157.5899963,10,1,20,1,20,0.179992676
31,158.3999939,11,1,20,1,20,0.809997559
25,158.6885986,6,1,20,1,20,0.288604736
25,158.6999969,4,1,20,1,20,0.011398315
28,159.5800018,5,1,20,1,20,0.880004883
31,158.8699951,3,1,20,1,20,-0.710006714
46,158.4149933,5,0,20,0,20,-0.455001831
36,158.1799927,4,0,20,0,20,-0.23500061
40,158.3200073,5,2,20,0,20,0.140014648
34,157.7299957,4,2,20,1,20,-0.590011597
31,157.9100037,3,4,20,1,20,0.180007935
28,157.3500061,4,2,20,1,20,-0.559997559
40,158.1999969,7,4,20,1,20,0.849990845
40,158.1999969,7,1,20,1,20,0
31,158.5800018,5,1,20,0,20,0.380004883
26,158.5099945,4,2,20,0,20,-0.070007324
