Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
8,456901,1,1,20,0,20,0
5,456901,0,1,20,0,20,0
7,456901,1,1,20,0,20,0
8,456901,1,1,20,0,20,0
7,456901,1,1,20,0,20,0
8,456901,1,2,20,0,20,0
8,456901,1,1,20,0,20,0
6,456901,0,1,20,0,20,0
6,456901,0,1,20,0,20,0
3,456901,0,1,16,0,16,0
3,456901,0,1,16,0,16,0
3,456901,0,1,17,0,17,0
3,456901,0,0,13,0,13,0
3,456901,0,0,15,0,15,0
2,456901,0,0,13,0,13,0
2,456901,0,0,13,0,13,0
1,456901,0,0,11,0,11,0
2,456901,0,0,5,0,5,0
2,456901,0,0,5,0,5,0
3,456901,0,0,7,0,7,0
4,456901,1,0,17,0,17,0
4,456901,0,0,20,0,20,0
4,456901,0,0,20,0,20,0
5,456901,1,0,20,0,20,0
5,456901,2,0,20,0,20,0
3,456901,2,0,20,0,20,0
3,456901,1,1,20,0,20,0
3,456901,1,1,20,0,20,0
6,456901,1,1,3,0,3,0
7,456901,1,1,3,0,3,0
7,456901,0,1,6,0,6,0
7,456901,0,1,7,0,7,0
6,456901,0,1,7,0,7,0
8,456901,0,1,7,0,7,0
9,456901,0,1,7,0,7,0
9,456901,0,1,5,0,5,0
8,456901,0,1,6,0,6,0
8,456901,0,1,5,0,5,0
7,456901,0,1,4,0,4,0
5,456901,0,1,4,0,4,0
6,456901,0,1,5,0,5,0
5,456901,0,0,5,0,5,0
9,456901,1,0,6,0,6,0
9,456901,1,0,7,0,7,0
9,456901,1,0,7,0,7,0
12,456901,1,0,5,0,5,0
12,456901,1,0,4,0,4,0
7,456901,1,0,3,0,3,0
6,456901,1,1,2,0,2,0
7,456901,0,1,2,0,2,0
8,456901,0,1,2,0,2,0
4,456901,0,1,2,0,2,0
4,456901,0,1,4,0,4,0
4,456901,0,1,6,0,6,0
4,456901,0,0,10,0,10,0
3,456901,0,0,9,0,9,0
7,456901,0,0,11,0,11,0
6,456901,0,0,20,0,20,0
7,456901,0,0,20,0,20,0
7,456901,0,0,20,0,20,0
7,456901,0,0,17,0,17,0
6,456901,0,0,15,0,15,0
6,456901,0,0,17,0,17,0
2,456901,0,0,19,0,19,0
1,456901,0,0,7,0,7,0
0,456901,0,0,6,0,6,0
1,456901,0,0,6,0,6,0
1,456901,0,0,6,0,6,0
2,456901,0,0,7,0,7,0
2,456901,0,0,7,0,7,0
2,456901,0,0,6,0,6,0
3,456901,0,0,3,0,3,0
4,456901,0,0,3,0,3,0
6,456901,0,0,3,0,3,0
8,456901,0,0,4,0,4,0
10,456901,3,1,7,0,7,0
12,456901,3,3,6,0,6,0
14,456901,4,3,6,0,6,0
14,456901,5,3,13,0,13,0
13,456901,4,2,13,0,13,0
12,456901,5,2,15,0,15,0
13,456901,4,2,15,0,15,0
15,456901,3,2,14,0,14,0
12,456901,3,0,14,0,14,0
14,456901,2,0,16,0,16,0
17,456901,2,0,10,0,10,0
17,456901,2,0,9,0,9,0
15,456901,2,0,9,0,9,0
17,456901,2,0,5,0,5,0
17,456901,2,1,5,0,5,0
15,456901,2,1,6,0,6,0
16,456901,2,1,5,0,5,0
15,456901,1,1,4,0,4,0
19,456901,0,1,9,0,9,0
18,456901,0,1,11,0,11,0
17,456901,0,1,12,0,12,0
19,456901,0,0,14,0,14,0
14,456901,0,0,18,0,18,0
13,456901,0,0,17,0,17,0
15,456901,1,0,20,0,20,0
15,456901,1,0,20,0,20,0
