Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
23,97.69000244,0,3,20,1,20,0
26,97.69000244,1,3,20,1,20,0
24,97.69000244,1,3,20,1,20,0
23,97.69000244,1,2,20,1,20,0
23,97.69000244,1,2,20,1,20,0
25,97.69000244,2,1,20,3,20,0
20,97.69000244,1,1,20,3,20,0
20,97.69000244,1,1,20,0,20,0
20,97.69000244,2,3,21,0,21,0
16,97.69000244,1,0,20,0,20,0
21,97.69000244,2,1,20,0,20,0
16,97.69000244,3,2,20,0,20,0
13,97.69000244,2,1,20,0,20,0
12,97.69000244,1,1,20,0,20,0
12,97.69000244,1,0,20,0,20,0
12,97.69000244,3,0,20,0,20,0
16,97.69000244,3,0,20,0,20,0
14,97.69000244,1,0,20,0,20,0
18,97.69000244,1,1,20,0,20,0
20,97.69000244,2,1,20,0,20,0
22,97.69000244,2,1,20,0,20,0
22,97.69000244,1,1,20,0,20,0
29,97.69000244,3,1,20,0,20,0
25,97.69000244,3,1,20,0,20,0
27,97.69000244,3,2,20,0,20,0
24,97.69000244,1,2,20,0,20,0
21,97.69000244,1,2,20,0,20,0
19,97.69000244,1,1,20,0,20,0
21,97.69000244,1,1,20,0,20,0
20,97.69000244,1,2,20,1,20,0
18,97.69000244,0,0,20,0,20,0
26,97.69000244,2,0,20,1,20,0
34,97.69000244,2,0,20,0,20,0
30,97.69000244,3,0,20,2,20,0
28,97.69000244,3,0,20,0,20,0
30,97.69000244,3,0,20,0,20,0
31,97.69000244,3,0,20,1,20,0
27,97.69000244,2,0,20,1,20,0
25,97.69000244,2,0,20,1,20,0
25,97.69000244,2,0,20,0,20,0
23,97.69000244,2,0,20,0,20,0
28,97.69000244,4,0,20,1,20,0
28,97.69000244,3,0,20,0,20,0
27,97.69000244,3,0,20,1,20,0
25,97.69000244,3,0,20,0,20,0
18,97.69000244,3,0,20,1,20,0
26,97.69000244,4,0,20,0,20,0
21,97.69000244,5,0,20,0,20,0
