Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
12,29.97999954,3,0,20,0,20,0
16,29.97999954,4,1,20,0,20,0
19,29.97999954,3,3,20,0,20,0
19,29.97999954,3,3,20,0,20,0
18,29.97999954,2,3,20,0,20,0
18,29.97999954,1,1,20,0,20,0
17,29.97999954,0,1,20,0,20,0
16,29.97999954,0,1,20,0,20,0
19,29.97999954,0,1,20,0,20,0
20,29.97999954,0,0,20,0,20,0
15,29.97999954,0,0,20,0,20,0
16,29.97999954,1,0,20,0,20,0
15,29.97999954,1,0,20,0,20,0
16,29.97999954,0,0,20,0,20,0
16,29.97999954,2,1,20,0,20,0
15,29.97999954,2,1,20,0,20,0
11,29.97999954,2,1,20,0,20,0
10,29.97999954,2,1,20,1,20,0
16,29.97999954,4,2,20,0,20,0
14,29.97999954,2,1,20,0,20,0
13,29.97999954,2,1,20,0,20,0
12,29.97999954,2,0,20,0,20,0
6,29.97999954,1,0,20,0,20,0
9,29.97999954,0,0,20,0,20,0
11,29.97999954,0,0,20,0,20,0
10,29.97999954,0,1,20,0,20,0
11,29.97999954,0,1,20,0,20,0
13,29.97999954,0,1,20,0,20,0
14,29.97999954,0,1,20,0,20,0
13,29.97999954,0,1,20,0,20,0
12,29.97999954,0,1,20,0,20,0
12,29.97999954,0,1,20,0,20,0
15,29.97999954,0,0,20,0,20,0
16,29.97999954,0,1,20,0,20,0
14,29.97999954,0,1,20,0,20,0
15,29.97999954,0,0,20,0,20,0
14,29.97999954,0,1,20,0,20,0
12,29.97999954,1,1,20,0,20,0
15,29.97999954,1,1,20,0,20,0
15,29.97999954,1,1,20,0,20,0
22,29.97999954,1,1,20,0,20,0
19,29.97999954,3,1,20,0,20,0
16,29.97999954,3,1,20,0,20,0
16,29.97999954,2,1,20,0,20,0
15,29.97999954,2,1,20,0,20,0
13,29.97999954,2,1,20,0,20,0
12,29.97999954,2,1,20,0,20,0
13,29.97999954,1,1,20,0,20,0
10,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
5,29.97999954,0,0,20,0,20,0
6,29.97999954,0,0,20,0,20,0
7,29.97999954,0,1,20,0,20,0
8,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
9,29.97999954,2,1,20,0,20,0
9,29.97999954,2,0,20,0,20,0
9,29.97999954,2,0,20,0,20,0
6,29.97999954,2,0,20,0,20,0
6,29.97999954,0,0,20,0,20,0
9,29.97999954,0,1,20,0,20,0
10,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
10,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
13,29.97999954,0,1,20,0,20,0
11,29.97999954,0,1,20,0,20,0
8,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
8,29.97999954,0,1,20,0,20,0
9,29.97999954,0,1,20,0,20,0
11,29.97999954,0,1,20,0,20,0
12,29.97999954,0,1,20,0,20,0
21,29.97999954,1,1,20,0,20,0
19,29.97999954,1,1,20,0,20,0
17,29.97999954,1,1,20,0,20,0
16,29.97999954,1,2,20,0,20,0
16,29.97999954,1,2,20,1,20,0
18,29.97999954,1,3,20,0,20,0
16,29.97999954,0,3,20,0,20,0
20,29.97999954,0,3,20,0,20,0
24,29.97999954,1,3,20,0,20,0
21,29.97999954,2,2,20,0,20,0
21,29.97999954,2,2,20,0,20,0
21,29.97999954,2,2,20,0,20,0
19,29.97999954,3,2,20,0,20,0
18,29.97999954,5,2,20,0,20,0
23,29.97999954,4,2,20,0,20,0
21,29.97999954,4,4,20,0,20,0
23,29.97999954,4,4,20,0,20,0
23,29.97999954,3,3,20,0,20,0
20,29.97999954,3,2,20,0,20,0
19,29.97999954,3,2,20,0,20,0
15,29.97999954,2,2,20,0,20,0
21,29.97999954,0,3,20,0,20,0
19,29.97999954,0,2,20,1,20,0
17,29.97999954,0,4,20,1,20,0
15,29.97999954,1,4,20,1,20,0
16,29.97999954,0,4,20,1,20,0
11,29.97999954,1,2,20,1,20,0
12,29.97999954,1,2,20,0,20,0
12,29.97999954,1,1,20,1,20,0
12,29.97999954,1,1,20,0,20,0
17,29.97999954,2,1,20,0,20,0
16,29.97999954,3,1,20,0,20,0
16,29.97999954,3,0,20,0,20,0
18,30.17000008,2,1,20,0,20,0.190000534
18,30.04999924,1,1,20,0,20,-0.120000839
21,30.00499916,1,1,20,0,20,-0.045000076
