Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
5,56.90000153,2,0,15,0,15,0
5,56.90000153,2,0,15,0,15,0
4,56.90000153,0,0,13,0,13,0
3,56.90000153,0,0,14,0,14,0
2,56.90000153,0,0,15,0,15,0
3,56.90000153,1,0,15,0,15,0
3,56.90000153,1,0,12,0,12,0
2,56.90000153,1,0,11,0,11,0
3,56.90000153,1,0,13,0,13,0
3,56.90000153,2,0,16,0,16,0
4,56.90000153,2,0,16,0,16,0
3,56.90000153,2,0,16,0,16,0
6,56.90000153,2,0,14,0,14,0
6,56.90000153,2,0,14,0,14,0
6,56.90000153,2,0,13,0,13,0
6,56.90000153,1,0,13,0,13,0
6,56.90000153,1,0,12,0,12,0
6,56.90000153,2,0,8,0,8,0
5,56.90000153,1,0,8,0,8,0
5,56.90000153,0,0,9,0,9,0
2,56.90000153,1,0,16,0,16,0
6,56.90000153,1,0,15,0,15,0
7,56.90000153,1,0,15,0,15,0
7,56.90000153,0,0,19,0,19,0
6,56.90000153,0,0,17,0,17,0
6,56.90000153,0,0,14,0,14,0
6,56.90000153,0,0,20,0,20,0
6,56.90000153,0,0,16,0,16,0
4,56.90000153,0,0,20,0,20,0
3,56.90000153,0,0,18,0,18,0
3,56.90000153,0,0,15,0,15,0
9,56.90000153,1,0,13,0,13,0
9,56.90000153,1,0,15,0,15,0
13,56.90000153,2,0,13,0,13,0
12,56.90000153,2,0,14,0,14,0
17,56.90000153,3,0,16,0,16,0
12,56.90000153,2,0,16,0,16,0
12,56.90000153,2,0,17,0,17,0
15,56.90000153,3,0,17,0,17,0
16,56.90000153,3,0,20,0,20,0
16,56.90000153,3,0,20,0,20,0
13,56.90000153,1,0,20,0,20,0
10,56.90000153,1,0,19,0,19,0
11,56.90000153,1,1,20,0,20,0
11,56.90000153,4,0,20,1,20,0
13,56.90000153,4,1,20,1,20,0
15,56.90000153,6,1,14,1,14,0
11,56.90000153,7,1,16,1,16,0
11,56.90000153,7,1,18,1,18,0
8,56.90000153,7,1,16,1,16,0
9,56.90000153,4,0,14,1,14,0
7,56.90000153,2,0,12,0,12,0
12,56.90000153,4,0,7,0,7,0
16,56.90000153,5,0,10,0,10,0
15,56.90000153,5,0,12,0,12,0
13,56.90000153,4,0,10,0,10,0
21,56.90000153,7,0,8,0,8,0
17,56.90000153,7,0,7,0,7,0
15,56.90000153,6,0,7,0,7,0
14,56.90000153,6,0,6,0,6,0
16,56.90000153,8,0,10,0,10,0
14,56.90000153,7,0,12,0,12,0
10,56.90000153,6,0,13,0,13,0
10,56.90000153,6,0,15,0,15,0
11,56.90000153,5,0,15,0,15,0
7,56.90000153,1,0,16,0,16,0
9,56.90000153,1,1,15,0,15,0
8,56.90000153,1,1,14,0,14,0
6,56.90000153,1,1,12,0,12,0
6,56.90000153,1,1,10,0,10,0
7,56.90000153,1,1,9,0,9,0
9,56.90000153,3,1,10,0,10,0
10,56.90000153,3,1,15,0,15,0
6,56.90000153,3,0,20,0,20,0
5,56.90000153,2,0,20,0,20,0
10,56.90000153,5,0,20,0,20,0
13,56.90000153,6,0,20,2,20,0
14,56.90000153,5,0,20,2,20,0
14,56.90000153,4,0,20,2,20,0
13,56.90000153,4,0,17,2,17,0
18,56.90000153,5,0,12,0,12,0
22,56.90000153,6,0,12,0,12,0
15,56.90000153,2,0,12,0,12,0
13,56.90000153,1,0,11,0,11,0
