Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
2,59.95999908,0,0,20,0,20,0
4,59.95999908,1,0,20,0,20,0
4,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
4,59.95999908,1,0,20,0,20,0
3,59.95999908,1,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,1,0,20,0,20,0
2,59.95999908,1,0,20,0,20,0
2,59.95999908,1,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
1,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
5,59.95999908,0,0,20,0,20,0
5,59.95999908,0,0,20,0,20,0
5,59.95999908,0,0,20,0,20,0
6,59.95999908,0,0,20,0,20,0
6,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
2,59.95999908,0,1,20,0,20,0
3,59.95999908,0,1,20,0,20,0
2,59.95999908,0,1,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
6,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
3,59.95999908,1,0,20,0,20,0
3,59.95999908,1,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
2,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
4,59.95999908,1,0,20,0,20,0
6,59.95999908,1,0,20,0,20,0
8,59.95999908,1,0,20,0,20,0
9,59.95999908,1,0,20,0,20,0
9,59.95999908,1,1,20,0,20,0
8,59.95999908,0,1,20,0,20,0
8,59.95999908,0,1,20,0,20,0
5,59.95999908,0,0,20,0,20,0
4,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
3,59.95999908,0,0,20,0,20,0
7,59.95999908,0,0,20,0,20,0
11,59.95999908,1,0,20,0,20,0
11,59.95999908,2,0,20,0,20,0
11,59.95999908,2,0,20,0,20,0
12,59.95999908,2,0,20,0,20,0
12,59.95999908,2,0,21,0,21,0
7,59.95999908,2,0,20,0,20,0
6,59.95999908,2,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
5,59.95999908,1,0,20,0,20,0
7,59.95999908,3,0,20,0,20,0
8,59.95999908,3,0,20,0,20,0
8,59.95999908,3,0,20,0,20,0
7,59.95999908,2,0,20,0,20,0
6,59.95999908,2,0,20,0,20,0
7,59.95999908,3,0,20,0,20,0
8,59.95999908,3,0,20,0,20,0
6,59.95999908,1,0,20,0,20,0
7,59.95999908,1,0,20,0,20,0
10,59.95999908,1,0,20,0,20,0
13,59.95999908,1,0,20,0,20,0
15,59.95999908,2,0,20,0,20,0
