Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
8,488.8999939,3,0,20,0,20,0
8,488.8999939,3,0,20,0,20,0
8,488.8999939,2,0,20,0,20,0
5,488.8999939,0,0,20,1,20,0
4,488.8999939,0,0,18,1,18,0
6,488.8999939,0,0,18,1,18,0
6,488.8999939,1,0,17,1,17,0
4,488.8999939,1,0,13,0,13,0
3,488.8999939,1,0,15,0,15,0
3,488.8999939,1,0,20,0,20,0
3,488.8999939,1,0,20,0,20,0
3,488.8999939,1,0,20,0,20,0
3,488.8999939,1,0,20,0,20,0
2,488.8999939,1,0,20,1,20,0
0,488.8999939,0,0,20,1,20,0
0,488.8999939,0,0,18,1,18,0
0,488.8999939,0,0,10,1,10,0
0,488.8999939,0,0,12,1,12,0
0,488.8999939,0,0,11,1,11,0
0,488.8999939,0,0,11,0,11,0
0,488.8999939,0,0,15,0,15,0
1,488.8999939,0,0,15,0,15,0
0,488.8999939,0,0,16,0,16,0
0,488.8999939,0,0,18,0,18,0
2,488.8999939,0,0,17,0,17,0
1,488.8999939,0,0,15,0,15,0
2,488.8999939,0,0,20,0,20,0
2,488.8999939,0,0,16,0,16,0
2,488.8999939,0,0,18,0,18,0
2,488.8999939,0,0,13,0,13,0
1,488.8999939,0,1,13,0,13,0
0,488.8999939,0,0,12,0,12,0
0,488.8999939,0,0,12,0,12,0
0,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,12,0,12,0
3,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,10,0,10,0
4,488.8999939,0,0,8,0,8,0
4,488.8999939,0,0,8,0,8,0
4,488.8999939,0,0,9,0,9,0
2,488.8999939,0,0,7,0,7,0
2,488.8999939,0,0,7,0,7,0
3,488.8999939,0,0,9,0,9,0
2,488.8999939,0,0,10,0,10,0
1,488.8999939,0,0,10,0,10,0
1,488.8999939,0,0,12,0,12,0
1,488.8999939,0,0,11,0,11,0
1,488.8999939,0,0,8,0,8,0
1,488.8999939,0,0,7,0,7,0
1,488.8999939,0,0,12,0,12,0
1,488.8999939,0,0,12,0,12,0
0,488.8999939,0,0,11,0,11,0
0,488.8999939,0,0,10,0,10,0
0,488.8999939,0,0,10,0,10,0
0,488.8999939,0,0,12,0,12,0
1,488.8999939,0,0,14,0,14,0
2,488.8999939,0,0,12,0,12,0
1,488.8999939,0,0,12,0,12,0
2,488.8999939,0,0,14,0,14,0
2,488.8999939,0,0,13,0,13,0
2,488.8999939,0,0,14,0,14,0
2,488.8999939,0,0,12,0,12,0
3,488.8999939,0,1,8,0,8,0
2,488.8999939,0,1,6,0,6,0
1,488.8999939,0,1,5,0,5,0
2,488.8999939,1,1,3,0,3,0
2,488.8999939,1,1,5,0,5,0
2,488.8999939,1,1,5,0,5,0
2,488.8999939,1,1,9,0,9,0
1,488.8999939,1,0,10,1,10,0
1,488.8999939,0,0,8,0,8,0
2,488.8999939,0,0,10,0,10,0
2,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,10,0,10,0
3,488.8999939,0,0,10,0,10,0
3,488.8999939,0,0,6,0,6,0
4,488.8999939,0,1,7,0,7,0
4,488.8999939,0,1,9,0,9,0
4,488.8999939,0,1,5,0,5,0
3,488.8999939,0,1,6,0,6,0
3,488.8999939,0,1,7,0,7,0
4,488.8999939,0,1,8,0,8,0
3,488.8999939,0,1,10,0,10,0
2,488.8999939,0,0,10,0,10,0
2,488.8999939,0,0,8,0,8,0
2,488.8999939,0,0,8,0,8,0
3,488.8999939,0,0,8,0,8,0
3,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,8,0,8,0
3,488.8999939,0,0,11,0,11,0
1,488.8999939,0,0,11,0,11,0
2,488.8999939,0,0,10,0,10,0
2,488.8999939,0,0,11,0,11,0
6,488.8999939,0,0,17,0,17,0
7,488.8999939,0,1,17,0,17,0
5,488.8999939,0,1,17,0,17,0
5,488.8999939,0,1,16,0,16,0
5,488.8999939,0,1,14,0,14,0
6,488.8999939,0,1,16,0,16,0
6,488.8999939,0,1,17,0,17,0
6,488.8999939,0,1,20,0,20,0
3,488.8999939,1,1,17,0,17,0
4,488.8999939,1,0,15,0,15,0
5,488.8999939,1,0,17,0,17,0
5,479.1849976,1,0,17,0,17,-9.714996338
5,477.3500061,1,0,20,0,20,-1.834991455
4,474.9100037,1,0,17,0,17,-2.440002441
4,476.0849915,1,0,17,0,17,1.174987793
2,476.7072144,0,0,20,0,20,0.6222229
2,478.1199951,0,0,16,0,16,1.412780762
2,477.9349976,0,0,17,0,17,-0.184997559
3,476.1950073,1,0,18,0,18,-1.739990234
5,477.5700073,1,0,20,0,20,1.375
6,476.6600037,1,0,20,0,20,-0.910003662
9,474.5100098,3,0,14,0,14,-2.149993896
11,474.0499878,4,0,20,0,20,-0.460021973
9,475.105011,3,1,20,0,20,1.055023193
12,472.3699951,2,1,19,0,19,-2.735015869
11,473.4400024,2,2,18,0,18,1.070007324
11,473.1950073,2,2,15,0,15,-0.244995117
15,476.0299988,3,3,20,1,20,2.834991455
13,476.2999878,2,2,19,1,19,0.269989014
9,477.0599976,2,2,19,1,19,0.760009766
8,475.9549866,2,2,18,1,18,-1.105010986
11,477.4700012,3,1,16,1,16,1.515014648
10,476.0028076,3,0,16,1,16,-1.467193604
7,474.480011,1,0,17,1,17,-1.522796631
9,474.9115906,1,0,12,0,12,0.43157959
8,475.9750061,1,0,10,0,10,1.063415527
8,476.6549988,1,0,9,0,9,0.679992676
8,477.3999939,1,0,8,0,8,0.744995117
8,477.1400146,1,0,10,0,10,-0.259979248
7,477.3999939,0,0,9,0,9,0.259979248
6,477.9393005,0,0,10,0,10,0.539306641
8,478.1000061,1,1,12,0,12,0.160705566
10,477.5700073,2,1,10,0,10,-0.529998779
9,480.0762024,2,1,8,0,8,2.506195068
10,479.8200073,2,1,13,0,13,-0.256195068
10,478.8599854,4,1,13,0,13,-0.960021973
8,478.8999939,3,0,16,0,16,0.040008545
9,480.5400085,3,0,17,0,17,1.640014648
9,480.5,3,0,14,0,14,-0.040008545
7,481.25,2,0,18,0,18,0.75
