Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
4,0.137558132,0,0,20,2,20,0
4,0.137783572,0,0,20,2,20,0.00022544
5,0.137489349,0,0,20,3,20,-0.000294223
4,0.137356699,0,0,20,3,20,-0.00013265
4,0.138270676,0,0,20,1,20,0.000913978
3,0.139975816,0,0,20,2,20,0.00170514
3,0.139842585,0,0,20,1,20,-0.000133231
1,0.139480546,0,0,20,0,20,-0.000362039
0,0.138387144,0,0,20,0,20,-0.001093403
0,0.138158441,0,0,20,1,20,-0.000228703
0,0.138225526,0,0,20,3,20,6.71E-05
0,0.137307793,0,0,20,2,20,-0.000917733
0,0.137050986,0,0,20,2,20,-0.000256807
1,0.137077391,0,0,20,1,20,2.64E-05
1,0.136652514,0,0,20,1,20,-0.000424877
1,0.136321172,0,0,20,1,20,-0.000331342
1,0.136207536,0,0,20,1,20,-0.000113636
1,0.136175618,0,0,20,1,20,-3.19E-05
2,0.136195198,0,0,20,2,20,1.96E-05
2,0.136271015,0,0,20,3,20,7.58E-05
4,0.136356682,1,0,20,2,20,8.57E-05
4,0.136399105,1,0,20,4,20,4.24E-05
5,0.136622563,1,0,20,2,20,0.000223458
5,0.136770159,1,0,20,3,20,0.000147596
4,0.136519462,1,0,20,1,20,-0.000250697
4,0.136418208,1,0,20,1,20,-0.000101253
4,0.136395693,2,0,20,1,20,-2.25E-05
3,0.136420533,2,0,20,0,20,2.48E-05
2,0.136672512,2,0,20,0,20,0.000251979
2,0.136660561,1,0,20,0,20,-1.20E-05
2,0.136583433,1,0,20,0,20,-7.71E-05
2,0.136686087,1,0,20,0,20,0.000102654
3,0.136458442,1,0,20,0,20,-0.000227645
4,0.136294559,0,0,20,0,20,-0.000163883
6,0.136344954,0,0,20,0,20,5.04E-05
5,0.135856599,0,0,20,0,20,-0.000488356
6,0.135500833,0,0,20,0,20,-0.000355765
7,0.135141909,0,0,20,0,20,-0.000358924
7,0.13473472,0,0,20,0,20,-0.000407189
9,0.134722859,2,0,20,1,20,-1.19E-05
6,0.134808794,0,0,20,1,20,8.59E-05
6,0.134649411,0,0,20,1,20,-0.000159383
5,0.134577423,0,0,20,1,20,-7.20E-05
5,0.134338796,2,0,20,1,20,-0.000238627
5,0.134395882,2,0,20,1,20,5.71E-05
4,0.134419188,2,0,20,1,20,2.33E-05
3,0.134451464,0,0,20,0,20,3.23E-05
4,0.134227544,0,0,20,0,20,-0.00022392
5,0.134146497,0,1,20,0,20,-8.10E-05
5,0.134126231,0,0,20,0,20,-2.03E-05
4,0.133928746,0,0,20,0,20,-0.000197485
