Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
21,2607.439941,4,0,20,0,20,0
32,2607.439941,3,0,20,0,20,0
30,2607.439941,3,0,20,0,20,0
28,2607.439941,2,0,20,0,20,0
26,2607.439941,2,0,20,0,20,0
26,2607.439941,2,0,20,0,20,0
20,2607.439941,1,0,20,0,20,0
18,2607.439941,0,0,20,0,20,0
13,2607.439941,0,0,20,0,20,0
18,2607.439941,0,0,20,1,20,0
15,2607.439941,0,0,20,1,20,0
20,2607.439941,2,0,20,1,20,0
14,2607.439941,1,0,20,0,20,0
16,2607.439941,2,0,20,0,20,0
11,2607.439941,2,0,20,0,20,0
7,2607.439941,2,0,20,0,20,0
6,2607.439941,1,0,20,0,20,0
8,2607.439941,1,1,20,0,20,0
13,2607.439941,3,1,20,0,20,0
12,2607.439941,2,1,20,0,20,0
16,2607.439941,2,1,20,0,20,0
15,2607.439941,1,1,20,0,20,0
14,2607.439941,1,0,20,0,20,0
16,2607.439941,1,0,20,0,20,0
16,2607.439941,1,0,20,0,20,0
19,2607.439941,1,0,20,0,20,0
17,2607.439941,1,0,20,0,20,0
20,2607.439941,1,0,20,0,20,0
20,2607.439941,1,0,20,0,20,0
22,2607.439941,1,0,20,0,20,0
19,2607.439941,1,0,20,2,20,0
16,2607.439941,0,0,20,1,20,0
23,2607.439941,3,0,20,1,20,0
17,2607.439941,0,1,21,1,21,0
17,2607.439941,0,0,20,1,20,0
16,2607.439941,0,0,20,1,20,0
20,2607.439941,1,0,20,1,20,0
19,2607.439941,1,0,20,1,20,0
17,2607.439941,1,0,20,0,20,0
18,2607.439941,2,1,20,0,20,0
19,2607.439941,1,0,20,0,20,0
21,2607.439941,1,0,20,0,20,0
19,2607.439941,1,0,20,0,20,0
20,2607.439941,1,0,20,0,20,0
15,2607.439941,1,0,20,0,20,0
19,2607.439941,1,0,20,0,20,0
15,2607.439941,1,0,20,0,20,0
17,2607.439941,2,0,20,0,20,0
20,2607.439941,2,0,20,0,20,0
18,2607.439941,2,0,20,0,20,0
19,2607.439941,3,0,20,0,20,0
19,2607.439941,2,0,20,0,20,0
15,2607.439941,2,0,20,0,20,0
16,2607.439941,1,0,20,0,20,0
13,2607.439941,1,0,20,0,20,0
15,2607.439941,1,0,20,0,20,0
13,2607.439941,0,0,20,0,20,0
11,2607.439941,0,0,20,0,20,0
11,2607.439941,0,0,20,0,20,0
9,2607.439941,0,0,20,0,20,0
11,2607.439941,0,0,20,0,20,0
12,2607.439941,0,0,20,0,20,0
16,2607.439941,2,1,20,0,20,0
21,2607.439941,3,1,20,2,20,0
20,2607.439941,3,1,20,0,20,0
15,2607.439941,3,1,20,0,20,0
17,2607.439941,4,2,20,1,20,0
16,2607.439941,2,1,20,0,20,0
14,2607.439941,2,1,20,1,20,0
24,2607.439941,5,1,20,1,20,0
23,2607.439941,4,1,20,2,20,0
24,2607.439941,5,1,20,2,20,0
21,2607.439941,5,1,20,1,20,0
19,2607.439941,5,0,20,0,20,0
18,2607.439941,3,0,20,0,20,0
19,2607.439941,2,0,20,0,20,0
15,2607.439941,0,0,20,0,20,0
16,2607.439941,0,0,20,0,20,0
15,2607.439941,1,0,20,0,20,0
14,2607.439941,1,0,20,0,20,0
17,2607.439941,1,0,20,0,20,0
15,2607.439941,2,0,20,0,20,0
14,2607.439941,1,0,20,0,20,0
29,2607.439941,5,0,20,0,20,0
25,2607.439941,3,0,20,0,20,0
26,2607.439941,4,0,20,0,20,0
24,2607.439941,3,1,20,0,20,0
17,2607.439941,0,0,20,0,20,0
19,2607.439941,0,0,20,0,20,0
23,2607.439941,1,0,20,0,20,0
24,2607.439941,2,1,20,0,20,0
22,2607.439941,2,1,20,0,20,0
22,2607.439941,1,0,20,0,20,0
23,2607.439941,1,1,20,0,20,0
24,2607.439941,1,1,20,0,20,0
24,2607.439941,2,1,20,0,20,0
33,2607.439941,6,4,20,0,20,0
25,2607.439941,2,2,20,0,20,0
22,2607.439941,1,2,20,0,20,0
17,2607.439941,1,1,20,0,20,0
17,2607.439941,2,1,20,0,20,0
21,2607.439941,2,1,20,0,20,0
16,2607.439941,1,2,20,0,20,0
15,2607.439941,2,2,20,0,20,0
17,2607.439941,1,2,20,0,20,0
21,2607.439941,1,2,20,0,20,0
22,2555.419922,1,3,20,1,20,-52.02001953
20,2556.610107,1,3,20,1,20,1.190185547
21,2540.870117,1,1,20,1,20,-15.73999023
32,2537.97998,1,2,20,1,20,-2.890136719
28,2545,1,2,20,1,20,7.020019531
21,2553.215088,0,3,20,1,20,8.215087891
19,2563.800049,1,1,20,0,20,10.58496094
22,2563.919922,2,2,20,1,20,0.119873047
24,2551.77002,1,2,20,1,20,-12.14990234
