Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
9,51.93999863,2,0,20,0,20,0
14,51.93999863,2,1,20,1,20,0
17,51.93999863,2,1,20,1,20,0
16,51.93999863,3,0,20,1,20,0
12,51.93999863,1,0,20,1,20,0
12,51.93999863,1,0,20,1,20,0
10,51.93999863,0,0,20,1,20,0
11,51.93999863,0,0,20,0,20,0
10,51.93999863,1,0,20,0,20,0
10,51.93999863,1,0,20,0,20,0
10,51.93999863,1,0,20,0,20,0
8,51.93999863,1,0,20,0,20,0
7,51.93999863,2,0,20,0,20,0
5,51.93999863,1,0,20,0,20,0
3,51.93999863,1,0,20,0,20,0
4,51.93999863,2,0,20,0,20,0
3,51.93999863,2,0,20,0,20,0
4,51.93999863,2,0,20,0,20,0
3,51.93999863,2,0,20,0,20,0
4,51.93999863,2,0,20,0,20,0
5,51.93999863,1,0,20,0,20,0
8,51.93999863,1,0,20,0,20,0
8,51.93999863,0,0,20,0,20,0
8,51.93999863,0,0,20,0,20,0
13,51.93999863,0,0,20,1,20,0
11,51.93999863,0,0,20,1,20,0
11,51.93999863,0,0,20,1,20,0
10,51.93999863,0,0,20,1,20,0
11,51.93999863,0,0,20,1,20,0
9,51.93999863,0,0,20,3,20,0
10,51.93999863,0,0,20,1,20,0
9,51.93999863,0,0,20,1,20,0
12,51.93999863,0,0,20,1,20,0
12,51.93999863,0,0,20,1,20,0
14,51.93999863,1,0,20,1,20,0
12,51.93999863,2,0,20,1,20,0
9,51.93999863,2,0,20,1,20,0
10,51.93999863,3,0,20,1,20,0
8,51.93999863,2,0,20,1,20,0
12,51.93999863,2,0,20,1,20,0
12,51.93999863,3,0,20,0,20,0
9,51.93999863,3,0,20,0,20,0
4,51.93999863,1,0,20,0,20,0
3,51.93999863,1,0,20,0,20,0
4,51.93999863,1,0,20,0,20,0
6,51.93999863,1,0,20,0,20,0
9,51.93999863,1,0,20,0,20,0
7,51.93999863,0,0,20,0,20,0
8,51.93999863,0,1,20,0,20,0
9,51.93999863,0,1,20,0,20,0
10,51.93999863,0,1,20,0,20,0
7,51.93999863,0,1,20,0,20,0
7,51.93999863,0,1,20,0,20,0
10,51.93999863,0,1,20,0,20,0
9,51.93999863,0,0,20,0,20,0
10,51.93999863,0,0,20,0,20,0
6,51.93999863,0,0,20,0,20,0
5,51.93999863,0,0,20,0,20,0
6,51.93999863,0,0,20,0,20,0
7,51.93999863,1,0,20,0,20,0
21,51.93999863,4,0,20,0,20,0
26,51.93999863,5,1,20,0,20,0
