Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
10,308.7099915,0,0,20,0,20,0
12,308.7099915,1,0,20,0,20,0
14,308.7099915,2,0,20,0,20,0
11,308.7099915,2,0,20,0,20,0
7,308.7099915,1,0,20,0,20,0
5,308.7099915,1,0,20,1,20,0
5,308.7099915,2,0,20,0,20,0
5,308.7099915,2,0,20,0,20,0
7,308.7099915,2,0,20,1,20,0
7,308.7099915,1,0,20,0,20,0
10,308.7099915,0,0,20,0,20,0
7,308.7099915,1,0,20,0,20,0
7,308.7099915,1,0,20,0,20,0
7,308.7099915,0,1,20,1,20,0
7,308.7099915,0,1,20,0,20,0
8,308.7099915,1,1,20,0,20,0
7,308.7099915,1,1,20,0,20,0
7,308.7099915,1,1,20,0,20,0
7,308.7099915,1,1,20,0,20,0
7,308.7099915,0,2,20,0,20,0
5,308.7099915,0,1,20,0,20,0
5,308.7099915,0,1,20,0,20,0
5,308.7099915,0,1,20,0,20,0
6,308.7099915,0,1,20,0,20,0
7,308.7099915,0,1,20,0,20,0
7,308.7099915,0,0,20,0,20,0
6,308.7099915,0,0,20,0,20,0
7,308.7099915,0,0,20,0,20,0
7,308.7099915,0,0,20,2,20,0
8,308.7099915,1,0,20,2,20,0
8,308.7099915,0,0,20,0,20,0
15,308.7099915,0,0,20,0,20,0
13,308.7099915,0,0,20,0,20,0
13,308.7099915,0,0,20,0,20,0
15,308.7099915,0,0,20,0,20,0
12,308.7099915,0,0,20,0,20,0
12,308.7099915,0,0,20,0,20,0
9,308.7099915,0,0,20,0,20,0
8,308.7099915,0,0,20,0,20,0
10,308.7099915,0,0,20,0,20,0
10,308.7099915,0,0,20,0,20,0
12,308.7099915,0,0,20,0,20,0
14,308.7099915,0,0,20,0,20,0
12,308.7099915,0,0,20,0,20,0
11,308.7099915,0,0,20,0,20,0
11,308.7099915,0,0,20,0,20,0
14,308.7099915,2,0,20,0,20,0
18,308.7099915,1,0,20,0,20,0
20,308.7099915,2,0,20,0,20,0
20,308.7099915,1,0,20,0,20,0
20,308.7099915,2,0,20,0,20,0
19,308.7099915,2,0,20,0,20,0
21,308.7099915,2,0,20,0,20,0
21,308.7099915,3,0,20,0,20,0
18,308.7099915,4,0,20,0,20,0
17,308.7099915,3,0,20,0,20,0
17,308.7099915,3,0,20,0,20,0
21,308.7099915,3,0,20,0,20,0
18,308.7099915,1,0,20,0,20,0
21,308.7099915,0,0,20,1,20,0
22,308.7099915,1,0,20,1,20,0
19,308.7099915,1,0,20,1,20,0
