Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
11,296.3699951,4,0,20,0,20,0
24,296.3699951,6,0,20,0,20,0
23,296.3699951,7,0,20,0,20,0
19,296.3699951,6,0,20,0,20,0
19,296.3699951,6,0,20,0,20,0
17,296.3699951,5,0,20,0,20,0
17,296.3699951,3,0,20,0,20,0
12,296.3699951,1,0,20,0,20,0
16,296.3699951,1,0,20,0,20,0
29,296.3699951,0,0,20,0,20,0
21,296.3699951,0,0,20,0,20,0
20,296.3699951,0,1,20,0,20,0
21,296.3699951,0,0,20,0,20,0
16,296.3699951,0,1,20,0,20,0
13,296.3699951,0,1,20,0,20,0
12,296.3699951,2,1,20,0,20,0
9,296.3699951,2,1,20,0,20,0
10,296.3699951,2,1,20,0,20,0
19,296.3699951,2,1,20,0,20,0
19,296.3699951,2,1,20,0,20,0
16,296.3699951,2,1,20,0,20,0
14,296.3699951,3,1,20,0,20,0
14,296.3699951,2,1,20,0,20,0
12,296.3699951,1,1,20,0,20,0
12,296.3699951,1,1,20,0,20,0
19,296.3699951,1,1,20,0,20,0
17,296.3699951,2,0,20,1,20,0
13,296.3699951,1,0,20,0,20,0
9,296.3699951,1,0,20,0,20,0
8,296.3699951,2,0,20,2,20,0
22,296.3699951,2,1,20,1,20,0
19,296.3699951,3,1,20,1,20,0
12,296.3699951,2,0,20,2,20,0
12,296.3699951,2,0,20,0,20,0
16,296.3699951,3,0,20,0,20,0
15,296.3699951,3,0,20,1,20,0
12,296.3699951,2,0,20,1,20,0
12,296.3699951,2,0,20,1,20,0
22,296.3699951,2,0,20,2,20,0
29,296.3699951,4,0,20,2,20,0
28,296.3699951,4,0,20,3,20,0
15,296.3699951,3,0,20,3,20,0
13,296.3699951,2,0,20,3,20,0
14,296.3699951,2,1,20,2,20,0
17,296.3699951,4,1,20,2,20,0
22,296.3699951,3,1,20,2,20,0
16,296.3699951,2,1,20,0,20,0
16,296.3699951,2,0,20,0,20,0
18,296.3699951,2,0,20,0,20,0
18,296.3699951,0,0,20,0,20,0
17,296.3699951,0,0,20,1,20,0
17,296.3699951,0,0,20,2,20,0
15,296.3699951,0,0,20,1,20,0
17,296.3699951,0,0,20,2,20,0
14,296.3699951,0,0,20,2,20,0
17,296.3699951,0,1,20,1,20,0
15,296.3699951,0,1,20,2,20,0
12,296.3699951,0,1,20,2,20,0
15,296.3699951,1,1,20,1,20,0
18,296.3699951,3,2,20,0,20,0
16,296.3699951,2,2,20,0,20,0
18,296.3699951,2,2,20,0,20,0
20,296.3699951,3,1,20,0,20,0
17,296.3699951,2,1,20,0,20,0
15,296.3699951,1,1,20,0,20,0
20,296.3699951,1,1,20,0,20,0
18,296.3699951,1,0,20,0,20,0
16,296.3699951,2,0,20,0,20,0
13,296.3699951,3,0,20,0,20,0
12,296.3699951,3,0,20,0,20,0
14,296.3699951,5,2,20,0,20,0
13,296.3699951,4,2,20,0,20,0
13,296.3699951,4,2,20,0,20,0
15,296.3699951,3,2,20,0,20,0
20,296.3699951,3,2,20,0,20,0
22,296.3699951,4,2,20,0,20,0
19,296.3699951,4,0,20,0,20,0
19,296.3699951,5,0,20,0,20,0
18,296.3699951,5,0,20,0,20,0
21,296.3699951,5,0,20,0,20,0
21,296.3699951,6,0,20,1,20,0
25,296.3699951,5,0,20,0,20,0
25,296.3699951,2,0,20,0,20,0
27,296.3699951,3,0,20,0,20,0
25,296.3699951,3,0,20,0,20,0
26,296.3699951,3,0,20,0,20,0
25,296.3699951,2,0,20,1,20,0
20,296.3699951,3,0,20,1,20,0
24,296.3699951,2,0,20,2,20,0
20,296.3699951,1,0,20,0,20,0
19,296.3699951,0,0,20,0,20,0
20,296.3699951,0,0,20,0,20,0
21,296.3699951,1,0,20,0,20,0
19,296.3699951,2,0,20,0,20,0
27,296.3699951,4,0,20,0,20,0
29,296.3699951,2,0,20,1,20,0
30,296.3699951,2,1,20,1,20,0
27,296.3699951,2,0,20,1,20,0
22,296.3699951,3,1,20,1,20,0
24,296.3699951,4,0,20,1,20,0
20,296.3699951,4,0,20,1,20,0
18,296.3699951,2,1,20,1,20,0
32,296.3699951,3,3,20,0,20,0
36,296.3699951,3,3,20,0,20,0
36,296.3699951,3,3,20,0,20,0
30,292.1799927,1,3,20,1,20,-4.190002441
30,293.2000122,1,2,20,1,20,1.020019531
30,289.5400085,1,2,20,1,20,-3.660003662
30,287.9299927,0,2,20,1,20,-1.610015869
23,287.6300049,0,1,20,1,20,-0.299987793
21,289.053894,0,0,20,1,20,1.42388916
22,288.6330872,1,0,20,1,20,-0.420806885
22,289.7099915,1,0,20,0,20,1.076904297
21,288.2799988,2,1,20,0,20,-1.429992676
20,289.8999939,2,1,20,0,20,1.619995117
21,288.9700012,2,1,20,0,20,-0.929992676
34,287.6199951,2,2,20,0,20,-1.350006104
33,287.7000122,4,4,20,0,20,0.08001709
24,285.9899902,2,3,20,0,20,-1.710021973
24,286.0799866,4,1,20,2,20,0.089996338
22,287.4299927,5,0,20,1,20,1.350006104
26,287.2049866,5,2,20,1,20,-0.225006104
29,287.5700073,4,4,20,1,20,0.365020752
23,287.6549988,3,3,20,1,20,0.084991455
21,287.4899902,3,3,20,1,20,-0.165008545
19,287.8699951,6,3,20,1,20,0.380004883
16,287.740387,2,3,20,1,20,-0.129608154
15,287.9699097,2,3,20,1,20,0.229522705
21,287.8299866,2,1,20,0,20,-0.139923096
19,288.2650146,2,0,20,0,20,0.435028076
20,288.2850037,1,1,20,0,20,0.019989014
15,290.3586121,1,1,20,0,20,2.073608398
16,290.0681152,1,1,20,0,20,-0.290496826
20,291.3299866,1,1,20,0,20,1.261871338
24,292.0100098,1,1,20,0,20,0.680023193
22,291.9700012,1,1,20,0,20,-0.040008545
31,291.6099854,2,2,20,0,20,-0.360015869
30,292.2792053,2,2,20,0,20,0.669219971
29,293.6849976,2,2,20,0,20,1.405792236
26,293.5020142,1,2,20,0,20,-0.182983398
24,292.8150024,2,2,20,0,20,-0.687011719
22,294.0400085,2,2,20,0,20,1.225006104
20,294.5700073,1,2,20,0,20,0.529998779
28,294.2399902,1,2,20,0,20,-0.33001709
23,293.4299927,2,1,20,0,20,-0.809997559
22,293.5,2,0,20,0,20,0.070007324
14,292.3200073,1,0,20,0,20,-1.179992676
15,290.4501953,1,0,20,0,20,-1.869812012
14,290.8599854,0,0,20,0,20,0.409790039
14,289.2999878,1,0,20,0,20,-1.559997559
17,288.4899902,1,0,20,0,20,-0.809997559
21,288.4899902,0,0,20,0,20,0
17,288.4899902,1,0,20,0,20,0
8,288.4899902,0,0,20,0,20,0
8,288.4899902,0,0,20,0,20,0
8,288.4899902,0,0,20,0,20,0
10,288.4899902,1,0,20,0,20,0
7,288.4899902,0,0,20,0,20,0
6,288.4899902,0,0,20,0,20,0
7,288.4899902,0,0,20,0,20,0
7,288.4899902,1,0,20,0,20,0
6,288.4899902,1,0,20,0,20,0
5,288.4899902,0,0,20,0,20,0
12,288.4899902,1,0,20,0,20,0
11,288.4899902,1,0,20,0,20,0
12,288.4899902,1,0,20,0,20,0
11,288.4899902,0,0,20,0,20,0
11,288.4899902,0,0,20,0,20,0
14,288.4899902,1,0,20,0,20,0
14,288.4899902,2,0,20,0,20,0
25,288.4899902,2,0,20,0,20,0
22,288.4899902,1,0,20,0,20,0
22,288.4899902,2,0,20,0,20,0
16,288.4899902,1,0,20,0,20,0
17,288.4899902,1,0,20,0,20,0
13,288.4899902,1,0,20,0,20,0
9,288.4899902,2,0,20,0,20,0
9,288.4899902,2,0,20,0,20,0
9,288.4899902,1,0,20,1,20,0
13,288.4899902,0,0,20,1,20,0
15,288.4899902,2,1,20,1,20,0
11,288.4899902,1,1,20,1,20,0
12,288.4899902,1,1,20,1,20,0
14,288.4899902,1,1,20,1,20,0
10,288.4899902,1,2,20,1,20,0
12,288.4899902,1,2,20,0,20,0
18,288.4899902,2,3,20,0,20,0
14,288.4899902,2,2,20,0,20,0
17,288.4899902,1,1,20,0,20,0
20,288.4899902,2,0,20,0,20,0
18,288.4899902,2,0,20,0,20,0
16,288.4899902,4,0,20,1,20,0
16,288.4899902,4,0,20,1,20,0
17,288.4899902,1,0,20,1,20,0
17,288.4899902,3,0,20,1,20,0
14,288.4899902,3,0,20,1,20,0
16,288.4899902,2,0,20,1,20,0
15,288.4899902,2,0,20,1,20,0
15,288.4899902,0,0,20,2,20,0
11,288.4899902,0,0,20,2,20,0
9,288.4899902,0,0,20,1,20,0
12,288.4899902,0,0,20,1,20,0
10,288.4899902,3,0,20,2,20,0
13,288.4899902,4,0,20,2,20,0
13,288.4899902,4,0,20,1,20,0
12,288.4899902,4,0,20,1,20,0
16,288.4899902,4,0,20,1,20,0
10,288.4899902,4,0,20,0,20,0
14,288.4899902,4,0,20,0,20,0
14,288.4899902,4,0,20,0,20,0
22,288.4899902,5,0,20,0,20,0
17,288.4899902,3,0,20,0,20,0
15,288.4899902,5,0,20,0,20,0
15,288.4899902,4,0,20,0,20,0
23,288.4899902,4,1,20,0,20,0
23,288.4899902,4,0,20,0,20,0
16,288.4899902,4,0,20,0,20,0
13,288.4899902,2,0,20,0,20,0
14,288.4899902,2,0,20,1,20,0
13,288.4899902,1,0,20,1,20,0
11,288.4899902,1,0,20,1,20,0
16,288.4899902,4,1,20,1,20,0
11,288.4899902,3,1,20,1,20,0
10,288.4899902,2,1,20,1,20,0
10,288.4899902,2,0,20,1,20,0
12,288.4899902,3,0,20,0,20,0
12,288.4899902,3,1,20,0,20,0
12,288.4899902,3,1,20,0,20,0
17,288.4899902,2,2,20,0,20,0
17,288.4899902,3,1,20,0,20,0
16,288.4899902,3,1,20,0,20,0
11,288.4899902,3,1,20,0,20,0
12,288.4899902,4,0,20,0,20,0
13,288.4899902,5,0,20,0,20,0
