Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
6,98.08000183,0,0,5,1,5,0
4,98.08000183,0,0,8,1,8,0
5,98.08000183,0,0,7,0,7,0
5,98.08000183,0,0,5,0,5,0
6,98.08000183,0,0,5,0,5,0
7,98.08000183,0,0,5,0,5,0
7,98.08000183,0,1,5,0,5,0
6,98.08000183,0,1,5,0,5,0
6,98.08000183,0,1,5,0,5,0
5,98.08000183,0,1,4,0,4,0
4,98.08000183,0,1,3,0,3,0
4,98.08000183,0,1,3,0,3,0
6,98.08000183,0,1,3,0,3,0
5,98.08000183,0,1,4,0,4,0
4,98.08000183,0,0,4,0,4,0
4,98.08000183,0,0,4,0,4,0
4,98.08000183,0,0,4,0,4,0
5,98.08000183,0,0,5,0,5,0
5,98.08000183,0,0,3,0,3,0
5,98.08000183,0,0,3,0,3,0
6,98.08000183,0,1,4,0,4,0
7,98.08000183,0,1,3,0,3,0
6,98.08000183,0,1,4,0,4,0
4,98.08000183,0,0,4,0,4,0
4,98.08000183,1,0,3,0,3,0
4,98.08000183,1,1,2,0,2,0
4,98.08000183,1,1,2,0,2,0
3,98.08000183,1,0,1,0,1,0
3,98.08000183,1,0,0,0,0,0
5,98.08000183,1,0,1,0,1,0
4,98.08000183,0,0,1,0,1,0
4,98.08000183,0,0,2,0,2,0
6,98.08000183,0,0,2,0,2,0
6,98.08000183,0,0,2,0,2,0
2,98.08000183,0,0,2,0,2,0
4,98.08000183,0,1,3,0,3,0
5,98.08000183,0,1,3,0,3,0
6,98.08000183,0,1,3,0,3,0
5,98.08000183,0,0,2,0,2,0
8,98.08000183,1,0,2,0,2,0
10,98.08000183,1,0,2,0,2,0
11,98.08000183,1,0,2,0,2,0
12,98.08000183,1,0,1,0,1,0
9,98.08000183,1,0,1,0,1,0
8,98.08000183,1,0,0,0,0,0
8,98.08000183,3,0,0,0,0,0
5,98.08000183,2,0,1,0,1,0
5,98.08000183,2,0,2,0,2,0
6,98.08000183,2,0,3,0,3,0
9,98.08000183,2,1,3,0,3,0
16,98.08000183,3,0,3,0,3,0
13,98.08000183,1,0,2,0,2,0
16,98.08000183,1,0,2,0,2,0
14,98.08000183,1,0,1,0,1,0
15,98.08000183,1,0,1,0,1,0
19,98.08000183,1,0,1,0,1,0
15,98.08000183,1,0,0,0,0,0
18,98.08000183,0,1,0,0,0,0
16,98.08000183,0,1,0,0,0,0
15,98.08000183,0,1,0,0,0,0
16,98.08000183,0,1,1,0,1,0
20,98.08000183,0,1,2,0,2,0
18,98.08000183,1,1,3,0,3,0
23,98.08000183,2,0,4,0,4,0
18,98.08000183,2,0,4,0,4,0
17,98.08000183,2,0,4,0,4,0
16,98.08000183,2,0,4,0,4,0
18,98.08000183,2,0,4,0,4,0
17,98.08000183,1,0,3,0,3,0
20,98.08000183,1,0,3,0,3,0
22,98.08000183,1,0,4,0,4,0
16,98.08000183,0,0,3,0,3,0
16,98.08000183,0,0,3,0,3,0
17,98.08000183,0,0,4,0,4,0
16,98.08000183,0,0,3,0,3,0
15,98.08000183,0,0,3,0,3,0
9,98.08000183,0,0,3,0,3,0
6,98.08000183,0,0,1,0,1,0
11,98.08000183,2,0,1,0,1,0
11,98.08000183,2,0,1,0,1,0
16,98.08000183,2,0,1,0,1,0
18,98.08000183,2,0,1,0,1,0
21,98.08000183,3,0,2,0,2,0
26,98.08000183,2,1,2,0,2,0
40,98.08000183,2,1,3,0,3,0
34,98.08000183,0,1,4,0,4,0
40,98.08000183,1,1,4,0,4,0
34,98.08000183,2,1,5,0,5,0
37,98.08000183,3,1,5,0,5,0
38,98.08000183,4,1,5,0,5,0
35,98.08000183,3,0,4,0,4,0
42,98.08000183,5,0,4,0,4,0
41,98.08000183,6,0,3,0,3,0
38,98.08000183,4,0,3,0,3,0
46,98.08000183,3,0,2,0,2,0
47,98.08000183,1,0,2,0,2,0
47,98.08000183,2,0,2,0,2,0
34,98.08000183,1,0,4,0,4,0
28,98.08000183,1,0,4,0,4,0
26,98.08000183,1,0,3,0,3,0
24,98.08000183,1,0,2,0,2,0
27,98.08000183,0,0,2,0,2,0
20,98.08000183,0,0,2,0,2,0
28,98.08000183,0,0,1,0,1,0
31,98.08000183,0,1,4,0,4,0
32,98.08000183,1,1,6,0,6,0
34,98.08000183,1,1,7,0,7,0
23,96.43000031,1,1,7,0,7,-1.650001526
23,96.375,3,1,6,0,6,-0.055000305
22,96.02999878,3,1,6,0,6,-0.345001221
23,96.02500153,3,1,4,0,4,-0.004997253
25,95.15000153,3,0,2,0,2,-0.875
26,96.16999817,2,2,2,0,2,1.019996643
34,96.33499908,1,3,1,0,1,0.165000916
