Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
23,387.1499939,5,0,20,0,20,0
27,387.1499939,4,0,20,0,20,0
21,387.1499939,4,0,20,0,20,0
24,387.1499939,4,0,20,0,20,0
21,387.1499939,2,0,20,0,20,0
19,387.1499939,1,0,20,0,20,0
20,387.1499939,2,0,20,0,20,0
16,387.1499939,1,0,20,0,20,0
20,387.1499939,1,0,20,0,20,0
27,387.1499939,7,0,20,1,20,0
30,387.1499939,7,0,20,1,20,0
27,387.1499939,6,0,20,1,20,0
22,387.1499939,6,0,20,1,20,0
22,387.1499939,5,0,20,0,20,0
22,387.1499939,3,0,20,0,20,0
23,387.1499939,4,0,20,0,20,0
20,387.1499939,3,0,20,1,20,0
27,387.1499939,3,2,20,0,20,0
26,387.1499939,2,2,20,0,20,0
22,387.1499939,3,2,20,0,20,0
22,387.1499939,5,1,20,0,20,0
16,387.1499939,3,1,20,0,20,0
19,387.1499939,4,1,20,0,20,0
18,387.1499939,4,1,20,0,20,0
23,387.1499939,5,0,20,0,20,0
24,387.1499939,4,0,20,0,20,0
23,387.1499939,2,0,20,0,20,0
22,387.1499939,3,2,20,0,20,0
19,387.1499939,2,2,20,0,20,0
14,387.1499939,2,2,20,0,20,0
11,387.1499939,1,2,20,0,20,0
9,387.1499939,0,1,20,0,20,0
15,387.1499939,1,2,20,0,20,0
16,387.1499939,2,2,20,0,20,0
14,387.1499939,2,2,20,0,20,0
13,387.1499939,1,2,20,0,20,0
17,387.1499939,1,2,20,0,20,0
18,387.1499939,1,1,20,0,20,0
18,387.1499939,1,1,20,0,20,0
19,387.1499939,2,1,20,0,20,0
24,387.1499939,4,2,20,0,20,0
20,387.1499939,3,1,20,0,20,0
16,387.1499939,3,1,20,0,20,0
18,387.1499939,3,2,20,0,20,0
17,387.1499939,3,3,20,0,20,0
22,387.1499939,3,2,20,0,20,0
22,387.1499939,4,2,20,0,20,0
21,387.1499939,6,2,20,0,20,0
19,387.1499939,5,1,20,0,20,0
17,387.1499939,6,1,20,0,20,0
