Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
6,233.7200012,4,0,20,0,20,0
9,233.7200012,4,1,20,0,20,0
10,233.7200012,6,1,20,0,20,0
11,233.7200012,5,0,20,0,20,0
11,233.7200012,4,0,20,0,20,0
9,233.7200012,2,0,20,0,20,0
6,233.7200012,0,0,20,0,20,0
6,233.7200012,0,0,20,0,20,0
7,233.7200012,0,0,20,0,20,0
5,233.7200012,0,0,20,0,20,0
8,233.7200012,0,0,20,1,20,0
9,233.7200012,1,0,20,0,20,0
7,233.7200012,1,0,20,1,20,0
9,233.7200012,2,0,20,1,20,0
9,233.7200012,2,0,20,0,20,0
8,233.7200012,2,0,20,0,20,0
7,233.7200012,2,0,20,2,20,0
7,233.7200012,2,0,20,2,20,0
7,233.7200012,2,0,20,2,20,0
6,233.7200012,1,0,20,2,20,0
4,233.7200012,1,0,20,2,20,0
4,233.7200012,1,0,20,2,20,0
4,233.7200012,1,1,20,2,20,0
4,233.7200012,1,1,20,0,20,0
4,233.7200012,1,1,20,0,20,0
6,233.7200012,1,1,20,0,20,0
7,233.7200012,1,1,20,0,20,0
5,233.7200012,0,0,20,0,20,0
6,233.7200012,0,0,20,0,20,0
8,233.7200012,1,0,20,0,20,0
7,233.7200012,0,0,20,0,20,0
7,233.7200012,0,0,20,0,20,0
4,233.7200012,0,1,20,0,20,0
5,233.7200012,0,1,20,0,20,0
5,233.7200012,0,1,0,0,0,0
4,233.7200012,0,1,20,0,20,0
5,233.7200012,1,1,20,0,20,0
8,233.7200012,2,1,20,0,20,0
10,233.7200012,4,1,20,0,20,0
10,233.7200012,5,0,20,0,20,0
12,233.7200012,5,0,20,0,20,0
12,233.7200012,5,0,20,0,20,0
11,233.7200012,4,0,20,0,20,0
8,233.7200012,4,0,20,0,20,0
6,233.7200012,2,0,20,0,20,0
9,233.7200012,2,0,20,0,20,0
9,233.7200012,2,0,20,0,20,0
8,233.7200012,1,0,20,0,20,0
9,233.7200012,3,0,20,0,20,0
10,233.7200012,2,0,20,1,20,0
11,233.7200012,2,0,20,1,20,0
10,233.7200012,2,0,20,1,20,0
11,233.7200012,2,0,20,1,20,0
13,233.7200012,3,0,20,0,20,0
10,233.7200012,1,0,20,1,20,0
9,233.7200012,1,0,20,0,20,0
8,233.7200012,1,0,20,0,20,0
7,233.7200012,1,0,20,0,20,0
8,233.7200012,1,0,20,0,20,0
8,233.7200012,1,0,20,0,20,0
6,233.7200012,0,0,20,0,20,0
10,233.7200012,5,0,20,0,20,0
11,233.7200012,5,0,20,0,20,0
11,233.7200012,5,0,20,0,20,0
11,233.7200012,5,0,20,0,20,0
10,233.7200012,6,0,20,0,20,0
10,233.7200012,6,0,20,0,20,0
8,233.7200012,2,0,20,0,20,0
6,233.7200012,1,0,20,0,20,0
3,233.7200012,0,0,20,0,20,0
4,233.7200012,1,0,20,0,20,0
5,233.7200012,1,0,20,0,20,0
7,233.7200012,2,0,20,0,20,0
11,233.7200012,3,1,20,0,20,0
8,233.7200012,2,1,20,0,20,0
9,233.7200012,2,1,20,0,20,0
12,233.7200012,2,1,20,0,20,0
