Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
1,161.3000031,0,0,20,2,20,0
3,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,1,20,0
5,161.3000031,0,1,20,0,20,0
4,161.3000031,0,1,20,0,20,0
8,161.3000031,0,1,20,0,20,0
9,161.3000031,0,1,20,0,20,0
11,161.3000031,0,1,20,0,20,0
13,161.3000031,1,1,20,0,20,0
12,161.3000031,1,0,20,0,20,0
11,161.3000031,1,0,20,0,20,0
9,161.3000031,0,0,20,0,20,0
5,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
4,161.3000031,0,0,20,0,20,0
4,161.3000031,0,0,20,0,20,0
4,161.3000031,0,0,20,0,20,0
4,161.3000031,0,0,20,0,20,0
4,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,2,20,0
6,161.3000031,0,0,20,1,20,0
6,161.3000031,0,0,20,0,20,0
6,161.3000031,0,0,20,1,20,0
6,161.3000031,0,0,20,1,20,0
5,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,0,20,0
3,161.3000031,0,0,20,0,20,0
2,161.3000031,0,0,20,1,20,0
1,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,1,20,0
5,161.3000031,1,0,20,1,20,0
5,161.3000031,1,0,20,0,20,0
6,161.3000031,2,0,20,1,20,0
4,161.3000031,1,0,20,1,20,0
4,161.3000031,1,0,20,1,20,0
2,161.3000031,1,0,20,0,20,0
2,161.3000031,0,0,20,2,20,0
1,161.3000031,0,0,20,1,20,0
3,161.3000031,0,0,20,1,20,0
6,161.3000031,0,0,20,0,20,0
7,161.3000031,1,0,20,2,20,0
8,161.3000031,1,0,20,0,20,0
7,161.3000031,1,0,20,0,20,0
9,161.3000031,1,0,20,0,20,0
7,161.3000031,1,0,20,0,20,0
7,161.3000031,1,1,20,0,20,0
8,161.3000031,0,1,20,0,20,0
13,161.3000031,0,1,20,0,20,0
12,161.3000031,0,1,20,0,20,0
7,161.3000031,0,1,20,0,20,0
6,161.3000031,0,0,20,0,20,0
6,161.3000031,0,0,20,0,20,0
10,161.3000031,0,0,20,0,20,0
9,161.3000031,0,0,20,0,20,0
11,161.3000031,0,0,20,0,20,0
11,161.3000031,0,0,20,0,20,0
12,161.3000031,0,0,20,0,20,0
11,161.3000031,0,0,20,0,20,0
10,161.3000031,0,0,20,0,20,0
8,161.3000031,0,0,20,0,20,0
8,161.3000031,0,0,20,0,20,0
8,161.3000031,0,0,20,0,20,0
9,161.3000031,0,0,20,0,20,0
10,161.3000031,0,0,20,0,20,0
13,161.3000031,0,0,20,0,20,0
14,161.3000031,1,0,20,0,20,0
14,161.3000031,1,0,20,0,20,0
17,161.3000031,1,0,20,1,20,0
18,161.3000031,1,0,20,0,20,0
19,161.3000031,1,0,20,0,20,0
15,161.3000031,1,0,20,0,20,0
13,161.3000031,0,0,20,0,20,0
8,161.3000031,0,0,20,0,20,0
9,161.3000031,0,1,20,0,20,0
21,161.3000031,0,1,20,0,20,0
27,161.3000031,0,1,20,0,20,0
20,161.3000031,0,1,20,0,20,0
18,161.3000031,0,1,20,0,20,0
16,161.3000031,0,2,20,0,20,0
15,161.3000031,0,1,20,0,20,0
28,161.3000031,2,1,20,0,20,0
33,161.3000031,2,1,20,0,20,0
26,161.3000031,2,1,20,0,20,0
24,161.3000031,2,1,20,0,20,0
21,161.3000031,2,0,20,0,20,0
19,161.3000031,2,0,20,0,20,0
15,161.3000031,0,0,20,0,20,0
15,161.3000031,0,0,20,0,20,0
18,161.3000031,1,0,20,2,20,0
16,161.3000031,0,0,20,2,20,0
12,160.6199951,0,1,20,0,20,-0.680007935
15,160.0399933,0,1,20,0,20,-0.580001831
18,158.9949951,3,1,20,0,20,-1.044998169
35,158.7599945,3,2,20,0,20,-0.23500061
29,158.4700012,3,1,20,0,20,-0.289993286
21,158.5099945,4,0,20,0,20,0.039993286
17,159.1100006,4,0,20,0,20,0.600006104
12,159.25,4,0,20,0,20,0.13999939
11,159.3200073,2,0,20,0,20,0.070007324
10,159.4700012,1,0,20,0,20,0.149993896
6,159.3000031,1,0,20,0,20,-0.169998169
14,159,2,1,20,0,20,-0.300003052
13,158.8450012,2,1,20,0,20,-0.154998779
12,159.3999939,1,1,20,0,20,0.554992676
13,159.3699951,1,1,20,0,20,-0.029998779
13,159.0700073,1,1,20,0,20,-0.299987793
12,158.6799927,1,1,20,0,20,-0.390014648
15,159.2149963,1,1,20,0,20,0.535003662
16,159.4199982,0,1,20,0,20,0.205001831
15,159.5800018,0,1,20,0,20,0.160003662
12,159.4149933,1,1,20,0,20,-0.165008545
10,159.0899963,1,0,20,0,20,-0.324996948
8,159.0099945,1,0,20,0,20,-0.080001831
9,158.8099976,1,0,20,0,20,-0.199996948
12,158.9199982,1,0,20,0,20,0.11000061
8,158.6880035,1,0,20,1,20,-0.231994629
7,158.6790924,1,0,20,1,20,-0.008911133
6,159.0200043,0,0,20,0,20,0.340911865
6,159.2299957,0,0,20,0,20,0.209991455
8,159.4299927,0,0,20,0,20,0.199996948
7,159.3000031,0,0,20,0,20,-0.129989624
7,159.5200043,0,0,20,0,20,0.220001221
10,159.8500061,0,0,20,0,20,0.330001831
12,159.4400024,0,0,20,0,20,-0.410003662
10,159.7700043,0,0,20,0,20,0.330001831
5,159.5399933,0,0,20,0,20,-0.230010986
4,159.75,0,0,20,0,20,0.210006714
6,159.7599945,0,0,20,0,20,0.009994507
9,159.8000031,0,0,20,0,20,0.040008545
17,159.8200073,0,1,20,0,20,0.020004272
17,159.6699982,0,1,20,0,20,-0.150009155
19,159.3950043,1,1,20,0,20,-0.274993896
16,159.2467957,1,1,20,0,20,-0.148208618
13,159.4100037,0,1,20,0,20,0.163208008
12,159.2200012,0,1,20,0,20,-0.190002441
14,159.5700073,1,1,20,0,20,0.350006104
7,159.5700073,1,1,20,0,20,0
7,159.5599976,0,1,20,0,20,-0.010009766
7,159.5399933,0,1,20,0,20,-0.020004272
8,159.5399933,1,1,20,0,20,0
8,159.5399933,1,1,8,0,8,0
7,159.5399933,1,0,10,0,10,0
6,159.5399933,1,0,10,0,10,0
9,159.5399933,1,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
5,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
10,159.5399933,0,0,20,1,20,0
6,159.5399933,0,0,20,1,20,0
5,159.5399933,0,0,20,1,20,0
4,159.5399933,1,0,20,0,20,0
2,159.5399933,1,0,20,0,20,0
3,159.5399933,1,0,20,0,20,0
4,159.5399933,1,0,20,0,20,0
2,159.5399933,1,0,20,0,20,0
3,159.5399933,1,0,20,0,20,0
7,159.5399933,1,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,18,0,18,0
4,159.5399933,0,0,18,0,18,0
4,159.5399933,0,0,20,0,20,0
6,159.5399933,0,1,20,0,20,0
4,159.5399933,0,1,20,0,20,0
3,159.5399933,0,1,20,0,20,0
4,159.5399933,0,2,20,0,20,0
4,159.5399933,0,2,20,0,20,0
5,159.5399933,0,2,20,0,20,0
6,159.5399933,0,2,20,0,20,0
4,159.5399933,0,2,20,1,20,0
4,159.5399933,1,1,20,1,20,0
6,159.5399933,1,1,20,0,20,0
5,159.5399933,0,0,20,1,20,0
4,159.5399933,0,0,20,1,20,0
4,159.5399933,0,0,20,1,20,0
5,159.5399933,0,0,20,0,20,0
4,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
4,159.5399933,0,0,20,0,20,0
4,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
5,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
8,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
9,159.5399933,0,0,20,0,20,0
10,159.5399933,0,0,20,0,20,0
9,159.5399933,0,0,20,2,20,0
11,159.5399933,1,0,20,2,20,0
12,159.5399933,1,0,20,2,20,0
12,159.5399933,1,0,20,2,20,0
6,159.5399933,1,0,20,3,20,0
6,159.5399933,1,0,20,0,20,0
5,159.5399933,1,0,20,0,20,0
4,159.5399933,1,0,20,0,20,0
5,159.5399933,0,0,20,0,20,0
13,159.5399933,0,0,20,0,20,0
13,159.5399933,0,0,20,0,20,0
15,159.5399933,0,0,20,0,20,0
13,159.5399933,0,0,20,0,20,0
16,159.5399933,0,0,20,0,20,0
16,159.5399933,0,0,20,0,20,0
20,159.5399933,1,0,20,0,20,0
12,159.5399933,1,0,20,0,20,0
11,159.5399933,1,0,20,0,20,0
13,159.5399933,3,0,20,0,20,0
11,159.5399933,2,0,20,0,20,0
5,159.5399933,1,0,20,0,20,0
4,159.5399933,1,0,20,0,20,0
2,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
5,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
3,159.5399933,0,0,20,0,20,0
6,159.5399933,0,0,20,0,20,0
7,159.5399933,0,0,20,0,20,0
11,159.5399933,0,0,20,0,20,0
11,159.5399933,1,0,20,0,20,0
14,159.5399933,1,0,20,0,20,0
14,159.5399933,1,0,20,0,20,0
15,159.5399933,1,0,20,0,20,0
12,159.5399933,2,0,20,0,20,0
10,159.5399933,2,0,20,0,20,0
7,159.5399933,1,0,20,0,20,0
7,159.5399933,1,0,20,0,20,0
8,159.5399933,1,0,20,0,20,0
8,159.5399933,2,0,20,0,20,0
8,159.5399933,1,0,20,0,20,0
7,159.5399933,1,0,20,0,20,0
7,159.5399933,1,0,20,0,20,0
11,159.5399933,1,0,20,0,20,0
18,159.5399933,1,0,20,0,20,0
18,159.5399933,1,0,20,0,20,0
19,159.5399933,3,0,20,0,20,0
22,159.5399933,3,0,20,0,20,0
20,159.5399933,3,0,20,0,20,0
17,159.5399933,3,0,20,0,20,0
20,159.5399933,3,0,20,1,20,0
20,159.5399933,2,0,20,0,20,0
18,159.5399933,2,0,20,0,20,0
19,159.5399933,1,2,20,0,20,0
24,159.5399933,1,2,20,0,20,0
23,159.5399933,1,3,20,0,20,0
26,159.5399933,1,3,20,0,20,0
30,159.5399933,2,2,20,0,20,0
28,159.5399933,1,0,20,0,20,0
23,159.5399933,2,0,20,0,20,0
22,157.1300049,2,0,20,0,20,-2.409988403
14,157.8200073,2,0,20,0,20,0.690002441
16,159.2599945,2,0,20,0,20,1.439987183
10,159.1699982,1,0,20,0,20,-0.089996338
17,159.1000061,0,0,20,0,20,-0.069992065
16,158.5778961,1,1,20,0,20,-0.522109985
13,158.2299957,0,1,20,0,20,-0.347900391
10,158.1967926,0,1,20,0,20,-0.033203125
9,158.1300049,2,1,20,0,20,-0.06678772
