Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
44,48,5,2,20,0,20,0
66,48,6,4,20,0,20,0
65,48,7,5,20,0,20,0
78,48,8,5,20,0,20,0
64,48,8,4,20,0,20,0
65,48,7,5,20,0,20,0
72,48,6,5,20,0,20,0
60,48,5,3,20,0,20,0
64,48,6,2,20,0,20,0
74,48,8,2,20,0,20,0
82,48,5,3,20,0,20,0
87,48,4,4,20,0,20,0
65,48,2,2,20,0,20,0
34,48,2,2,20,0,20,0
22,48,1,2,20,0,20,0
20,48,1,2,20,0,20,0
14,48,1,1,20,0,20,0
42,48,1,1,20,0,20,0
55,48,1,1,20,0,20,0
47,48,3,2,20,0,20,0
38,48,1,2,20,0,20,0
60,48,3,5,20,0,20,0
46,48,2,4,20,0,20,0
54,48,3,4,20,0,20,0
81,48,3,4,20,0,20,0
47,48,1,2,20,0,20,0
25,48,0,1,20,0,20,0
12,48,0,1,20,0,20,0
13,48,0,0,20,0,20,0
13,48,2,0,20,0,20,0
13,48,2,2,20,0,20,0
15,48,2,2,20,0,20,0
22,48,3,2,20,0,20,0
17,48,3,2,20,0,20,0
13,48,2,2,20,0,20,0
15,48,2,2,20,0,20,0
10,48,2,2,20,0,20,0
13,48,2,2,20,0,20,0
11,48,1,0,20,0,20,0
9,48,1,0,20,0,20,0
43,48,3,1,20,0,20,0
67,48,2,0,20,0,20,0
82,48,2,0,20,0,20,0
35,48,3,1,20,0,20,0
28,48,2,1,20,0,20,0
28,48,4,1,20,0,20,0
27,48,4,1,20,0,20,0
47,48,6,4,20,0,20,0
42,48,4,4,20,0,20,0
68,48,4,3,20,0,20,0
71,48,6,1,20,0,20,0
38,48,3,0,20,0,20,0
32,48,2,0,20,0,20,0
25,48,2,0,20,0,20,0
64,48,3,2,20,0,20,0
35,48,2,1,20,0,20,0
35,48,2,1,20,0,20,0
34,48,1,0,20,0,20,0
36,48,0,0,20,0,20,0
16,48,0,0,20,0,20,0
18,48,1,0,20,0,20,0
27,48,2,0,20,0,20,0
32,48,2,0,20,0,20,0
58,48,7,1,20,0,20,0
31,48,3,0,20,0,20,0
68,48,5,1,20,1,20,0
75,48,6,4,20,1,20,0
80,48,5,3,20,1,20,0
55,48,1,2,20,1,20,0
82,48,2,2,20,1,20,0
79,48,1,2,20,0,20,0
81,48,1,2,20,1,20,0
76,48,1,2,20,1,20,0
65,48,2,2,20,0,20,0
31,48,0,1,20,0,20,0
30,48,2,2,20,0,20,0
22,48,2,2,20,0,20,0
23,48,2,2,20,0,20,0
29,48,2,2,20,0,20,0
38,48,4,2,21,0,21,0
37,48,5,2,20,0,20,0
41,48,9,2,20,0,20,0
45,48,9,2,20,0,20,0
45,48,6,4,20,0,20,0
42,48,5,3,20,0,20,0
40,48,4,3,20,0,20,0
33,48,5,3,20,0,20,0
33,48,3,1,20,0,20,0
45,48,4,2,20,1,20,0
45,48,3,2,20,2,20,0
41,48,3,1,20,2,20,0
42,48,5,0,20,2,20,0
42,48,5,0,20,2,20,0
41,48,7,0,20,2,20,0
37,48,6,0,20,2,20,0
44,48,6,0,20,1,20,0
46,48,6,1,20,1,20,0
47,48,6,1,20,0,20,0
43,48,4,2,20,0,20,0
40,48,2,2,20,0,20,0
43,48,2,2,20,2,20,0
43,48,3,2,20,2,20,0
39,48,1,2,20,2,20,0
48,48,4,3,20,0,20,0
47,48,3,4,20,0,20,0
38,48,3,2,20,0,20,0
39,48.11970139,3,2,20,0,20,0.119701385
42,48.11999893,5,2,20,0,20,0.000297546
46,48.00999832,4,1,20,0,20,-0.11000061
41,47.90409851,3,1,20,0,20,-0.105899811
51,47.79999924,4,1,20,0,20,-0.104099274
65,48.02000046,3,1,20,1,20,0.220001221
62,48.15000153,2,1,20,1,20,0.130001068
61,48.32500076,2,1,20,1,20,0.174999237
56,48.40000153,2,1,20,1,20,0.075000763
54,48.52000046,2,2,20,1,20,0.119998932
46,48.66500092,2,2,20,1,20,0.145000458
68,48.56499863,5,3,20,0,20,-0.100002289
66,48.84000015,5,1,20,0,20,0.275001526
47,48.72990036,4,2,20,0,20,-0.110099792
43,48.91999817,6,1,20,0,20,0.190097809
40,48.97999954,5,1,20,0,20,0.060001373
57,49.04000092,8,1,20,0,20,0.060001373
46,49.02209854,9,2,20,0,20,-0.017902374
36,49.15999985,9,2,20,0,20,0.137901306
38,49.20999908,7,2,20,0,20,0.049999237
