Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
19,930,3,1,20,0,20,0
27,930,2,0,20,0,20,0
23,930,1,0,20,0,20,0
23,930,1,0,20,0,20,0
23,930,1,0,20,0,20,0
21,930,1,0,20,0,20,0
21,930,1,1,20,0,20,0
17,930,0,1,20,0,20,0
16,930,0,1,20,0,20,0
22,930,2,1,20,0,20,0
21,930,3,1,20,0,20,0
20,930,3,1,20,0,20,0
17,930,2,1,20,0,20,0
15,930,2,1,20,0,20,0
12,930,2,0,20,0,20,0
12,930,2,0,20,0,20,0
13,930,1,0,20,0,20,0
11,930,1,0,20,0,20,0
10,930,0,0,20,0,20,0
11,930,1,0,20,0,20,0
13,930,1,1,20,0,20,0
15,930,1,1,20,0,20,0
15,930,1,1,20,0,20,0
15,930,2,1,20,0,20,0
15,930,2,1,20,0,20,0
14,930,2,1,20,1,20,0
14,930,2,0,20,1,20,0
15,930,1,0,20,1,20,0
15,930,1,0,20,1,20,0
12,930,1,0,20,1,20,0
9,930,1,0,20,1,20,0
9,930,0,1,20,1,20,0
10,930,0,2,20,0,20,0
12,930,0,1,20,0,20,0
12,930,0,1,20,0,20,0
10,930,1,0,20,0,20,0
10,930,1,0,20,0,20,0
9,930,1,0,20,0,20,0
9,930,1,0,20,0,20,0
11,930,1,0,20,0,20,0
9,930,1,0,20,0,20,0
13,930,2,1,20,0,20,0
13,930,3,1,20,0,20,0
15,930,3,1,20,0,20,0
16,930,3,1,20,0,20,0
16,930,3,0,20,0,20,0
14,930,2,0,20,0,20,0
17,930,1,0,20,0,20,0
15,930,3,0,20,0,20,0
15,930,1,1,20,0,20,0
14,930,2,1,20,0,20,0
15,930,2,1,20,0,20,0
15,930,4,0,20,0,20,0
14,930,4,0,20,0,20,0
19,930,4,0,20,0,20,0
19,930,4,0,20,0,20,0
18,930,4,0,20,0,20,0
18,930,3,0,20,0,20,0
15,930,1,0,20,0,20,0
13,930,1,0,20,0,20,0
12,930,1,0,20,0,20,0
14,930,2,0,20,0,20,0
13,930,2,0,20,0,20,0
14,930,2,0,20,0,20,0
10,930,0,0,20,0,20,0
7,930,0,0,20,0,20,0
7,930,1,0,20,0,20,0
9,930,2,0,20,0,20,0
9,930,2,0,20,0,20,0
12,930,2,0,20,0,20,0
9,930,2,0,20,0,20,0
11,930,4,1,20,0,20,0
13,930,4,1,20,0,20,0
13,930,4,1,20,0,20,0
13,930,3,1,20,0,20,0
12,930,3,1,20,0,20,0
16,930,2,1,20,0,20,0
15,930,2,0,20,0,20,0
14,930,2,1,20,0,20,0
13,930,3,1,20,0,20,0
15,930,3,1,20,0,20,0
14,930,3,1,20,0,20,0
13,930,3,1,20,0,20,0
20,930,3,2,20,0,20,0
22,930,4,2,20,0,20,0
18,930,3,2,20,0,20,0
17,930,2,2,20,0,20,0
18,930,1,3,20,0,20,0
15,930,1,2,20,0,20,0
22,930,2,3,20,0,20,0
22,930,3,3,20,0,20,0
23,930,3,3,20,0,20,0
21,930,3,2,20,0,20,0
18,930,2,1,20,0,20,0
21,930,2,1,20,0,20,0
18,930,1,1,20,0,20,0
25,930,3,2,20,0,20,0
21,930,4,1,20,0,20,0
23,930,3,1,20,0,20,0
21,930,2,1,20,0,20,0
17,930,0,1,20,0,20,0
15,930,0,0,20,0,20,0
12,930,0,0,20,0,20,0
12,930,0,0,20,0,20,0
19,930,1,0,20,0,20,0
17,930,2,0,20,0,20,0
15,920.3325195,2,0,20,0,20,-9.667480469
13,927.5,2,0,20,0,20,7.167480469
14,907.9699707,2,0,20,0,20,-19.5300293
16,917.0999756,2,0,20,0,20,9.130004883
24,913.5300293,2,0,20,0,20,-3.569946289
23,920.6450195,2,0,20,0,20,7.114990234
24,916.0800171,2,0,20,1,20,-4.565002441
28,923.960022,3,0,20,1,20,7.880004883
29,916.2612305,3,1,20,1,20,-7.698791504
23,924.6300049,2,1,20,1,20,8.368774414
21,924.210022,2,0,20,1,20,-0.41998291
27,921.9547729,1,0,20,1,20,-2.255249023
25,913.6599731,1,1,20,1,20,-8.294799805
28,918.2199707,1,1,20,0,20,4.559997559
20,911.0100098,3,3,20,0,20,-7.209960938
26,913.2600098,4,4,20,0,20,2.25
27,911.8898926,2,3,20,0,20,-1.370117188
25,909.2299805,2,2,20,0,20,-2.659912109
24,910.3430176,1,1,20,0,20,1.113037109
21,906.960022,2,2,20,0,20,-3.382995605
18,909.9998779,1,2,20,0,20,3.039855957
20,908.8449707,2,1,20,0,20,-1.154907227
20,907.6350098,3,1,20,0,20,-1.209960938
29,907.7199707,6,1,20,0,20,0.084960938
24,912.3410034,6,0,20,0,20,4.621032715
29,914.7800293,7,1,20,0,20,2.439025879
29,921.9699707,6,1,20,0,20,7.189941406
29,920.9000244,6,1,20,0,20,-1.069946289
29,923.8200073,7,1,20,0,20,2.91998291
23,927.8900146,4,1,20,0,20,4.070007324
23,928.664978,4,0,20,0,20,0.774963379
30,923.0200195,4,0,20,0,20,-5.644958496
23,925.0300293,3,0,20,0,20,2.010009766
19,935.414978,3,0,20,0,20,10.38494873
21,943.5900269,2,1,20,0,20,8.175048828
18,940.8300171,1,1,20,0,20,-2.760009766
14,944.6799927,1,1,20,0,20,3.849975586
14,942.210083,1,2,20,3,20,-2.469909668
25,945.0250244,2,2,20,0,20,2.814941406
19,938.1199951,1,1,20,0,20,-6.905029297
18,935.5549927,0,1,20,0,20,-2.565002441
23,931.2000122,2,0,20,0,20,-4.354980469
19,927.3150024,2,0,20,0,20,-3.885009766
20,919.4299927,2,0,20,0,20,-7.885009766
23,918.4000244,1,0,20,0,20,-1.029968262
20,918.4000244,1,0,20,0,20,0
21,918.4000244,1,0,20,0,20,0
19,918.4000244,1,0,20,0,20,0
18,918.4000244,1,0,20,0,20,0
18,918.4000244,4,0,20,0,20,0
18,918.4000244,4,1,20,0,20,0
23,918.4000244,3,1,20,0,20,0
26,918.4000244,3,2,20,0,20,0
26,918.4000244,1,2,20,0,20,0
24,918.4000244,1,2,20,0,20,0
19,918.4000244,0,2,20,0,20,0
18,918.4000244,0,2,20,0,20,0
15,918.4000244,0,2,20,0,20,0
31,918.4000244,2,1,20,0,20,0
30,918.4000244,3,0,20,1,20,0
24,918.4000244,2,0,20,1,20,0
19,918.4000244,1,0,20,1,20,0
14,918.4000244,1,0,20,1,20,0
13,918.4000244,1,0,20,1,20,0
14,918.4000244,1,0,20,1,20,0
19,918.4000244,1,0,20,1,20,0
25,918.4000244,1,1,20,0,20,0
23,918.4000244,1,2,20,0,20,0
22,918.4000244,1,2,20,0,20,0
21,918.4000244,1,1,20,0,20,0
18,918.4000244,0,1,20,0,20,0
23,918.4000244,0,2,20,0,20,0
21,918.4000244,0,2,20,0,20,0
20,918.4000244,0,3,20,0,20,0
21,918.4000244,0,1,20,0,20,0
21,918.4000244,1,1,20,0,20,0
18,918.4000244,2,1,20,0,20,0
15,918.4000244,2,1,20,0,20,0
10,918.4000244,2,1,20,1,20,0
7,918.4000244,2,1,20,1,20,0
6,918.4000244,1,1,20,1,20,0
12,918.4000244,2,1,20,1,20,0
6,918.4000244,1,1,20,1,20,0
7,918.4000244,0,1,20,0,20,0
14,918.4000244,3,0,20,1,20,0
12,918.4000244,3,0,20,0,20,0
11,918.4000244,4,0,20,0,20,0
12,918.4000244,4,0,20,0,20,0
14,918.4000244,4,0,20,0,20,0
14,918.4000244,4,0,20,0,20,0
13,918.4000244,3,1,20,0,20,0
11,918.4000244,1,2,20,2,20,0
14,918.4000244,0,2,20,2,20,0
15,918.4000244,0,2,20,0,20,0
18,918.4000244,0,2,20,0,20,0
16,918.4000244,0,2,20,2,20,0
20,918.4000244,1,1,20,0,20,0
16,918.4000244,1,1,20,0,20,0
17,918.4000244,1,1,20,0,20,0
15,918.4000244,1,1,20,0,20,0
18,918.4000244,0,1,20,0,20,0
16,918.4000244,0,1,20,0,20,0
23,918.4000244,1,1,20,0,20,0
20,918.4000244,2,0,20,0,20,0
20,918.4000244,1,0,20,0,20,0
20,918.4000244,2,0,20,0,20,0
19,918.4000244,1,1,20,0,20,0
17,918.4000244,1,2,20,0,20,0
14,918.4000244,1,2,20,0,20,0
17,918.4000244,2,2,20,0,20,0
20,918.4000244,2,4,20,0,20,0
16,918.4000244,4,3,20,0,20,0
18,918.4000244,5,3,20,0,20,0
19,918.4000244,5,2,20,1,20,0
17,918.4000244,4,1,20,1,20,0
16,918.4000244,4,0,20,1,20,0
12,918.4000244,3,0,20,2,20,0
11,918.4000244,3,0,20,0,20,0
11,918.4000244,2,0,20,0,20,0
8,918.4000244,2,0,20,0,20,0
8,918.4000244,2,0,20,0,20,0
10,918.4000244,2,1,20,0,20,0
18,918.4000244,2,1,20,0,20,0
18,918.4000244,1,1,20,0,20,0
15,918.4000244,2,0,20,0,20,0
8,918.4000244,1,0,20,0,20,0
10,918.4000244,2,0,20,0,20,0
10,918.4000244,1,0,20,0,20,0
12,918.4000244,1,0,20,0,20,0
14,918.4000244,1,0,20,0,20,0
17,918.4000244,1,1,20,0,20,0
14,918.4000244,2,2,20,0,20,0
12,918.4000244,1,1,20,0,20,0
12,918.4000244,1,1,20,0,20,0
11,918.4000244,1,1,20,0,20,0
12,918.4000244,1,1,20,0,20,0
23,918.4000244,1,2,20,0,20,0
16,918.4000244,0,2,20,0,20,0
19,918.4000244,0,2,20,0,20,0
22,918.4000244,0,2,20,0,20,0
24,918.4000244,0,2,20,0,20,0
22,918.4000244,0,2,21,0,21,0
19,918.4000244,0,1,20,0,20,0
22,918.4000244,0,0,20,0,20,0
20,918.4000244,0,1,20,0,20,0
16,918.4000244,0,1,20,0,20,0
11,918.4000244,0,1,20,0,20,0
13,918.4000244,0,2,20,0,20,0
13,918.4000244,0,1,20,1,20,0
15,918.4000244,0,1,20,1,20,0
21,918.4000244,2,0,20,1,20,0
23,918.4000244,3,0,20,0,20,0
24,918.4000244,3,0,20,0,20,0
23,918.4000244,2,0,20,0,20,0
20,918.4000244,2,0,20,1,20,0
19,918.4000244,2,0,20,1,20,0
20,918.4000244,2,0,20,1,20,0
28,918.4000244,5,1,20,1,20,0
24,918.4000244,4,2,20,1,20,0
29,918.4000244,1,1,20,1,20,0
22,918.4000244,2,1,20,1,20,0
25,918.4000244,5,1,20,0,20,0
27,918.4000244,4,1,20,0,20,0
25,918.4000244,3,1,20,0,20,0
17,918.4000244,5,2,20,0,20,0
16,918.4000244,4,2,20,0,20,0
16,943.8300171,2,2,20,0,20,25.42999268
15,944.3699951,3,1,20,0,20,0.539978027
15,951.3729858,3,1,20,0,20,7.002990723
19,961.4299927,5,2,20,0,20,10.05700684
20,950.6600952,3,0,20,0,20,-10.76989746
15,948.0750122,3,0,20,0,20,-2.585083008
19,947.9984741,2,0,20,0,20,-0.076538086
16,941.6900024,1,0,20,0,20,-6.30847168
18,942.1375122,1,1,23,0,23,0.447509766
35,939.0601196,5,2,20,0,20,-3.077392578
31,945.7299194,4,2,20,0,20,6.669799805
31,948.7449951,4,3,20,0,20,3.015075684
30,950.6799927,5,3,20,0,20,1.934997559
27,950.5300293,6,2,20,0,20,-0.149963379
30,951.289978,6,2,20,0,20,0.75994873
29,953,6,1,20,0,20,1.710021973
29,952.5999756,6,1,20,0,20,-0.400024414
25,956.699585,5,0,20,1,20,4.099609375
28,954.210022,5,0,20,1,20,-2.489562988
28,955.3220215,4,0,20,0,20,1.111999512
25,952.772583,3,0,20,0,20,-2.549438477
26,956.0900269,3,1,20,0,20,3.317443848
24,955.5120239,4,1,20,0,20,-0.57800293
26,961.1149902,3,1,20,1,20,5.602966309
27,960.5900269,3,1,20,1,20,-0.524963379
30,955.2399292,3,4,20,1,20,-5.350097656
26,958.5280151,2,4,20,1,20,3.288085938
25,958.2399902,3,4,20,1,20,-0.288024902
22,959.1900024,3,4,20,1,20,0.950012207
22,956.265686,4,4,20,2,20,-2.924316406
20,956.7199707,3,4,20,1,20,0.454284668
13,958.3599854,2,4,20,1,20,1.640014648
14,962.5200195,1,4,20,0,20,4.16003418
16,975.3870239,2,2,20,0,20,12.86700439
