Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
3,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
2,575.7999878,0,0,0,0,0,0
2,575.7999878,0,0,0,0,0,0
0,575.7999878,0,0,0,0,0,0
1,575.7999878,0,0,0,0,0,0
1,575.7999878,0,0,0,0,0,0
2,575.7999878,0,0,0,0,0,0
4,575.7999878,0,0,0,0,0,0
4,575.7999878,0,0,0,0,0,0
5,575.7999878,0,0,0,0,0,0
5,575.7999878,0,0,0,0,0,0
4,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
4,575.7999878,1,0,0,0,0,0
2,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
3,575.7999878,0,0,0,0,0,0
5,575.7999878,1,0,0,0,0,0
5,575.7999878,1,0,0,0,0,0
8,575.7999878,1,0,0,0,0,0
8,575.7999878,0,0,0,0,0,0
8,575.7999878,0,0,0,0,0,0
7,575.7999878,0,0,0,0,0,0
6,575.7999878,0,0,0,0,0,0
4,575.7999878,0,0,0,0,0,0
5,575.7999878,0,0,0,0,0,0
9,575.7999878,2,1,0,0,0,0
8,575.7999878,2,1,1,0,1,0
9,575.7999878,2,1,1,0,1,0
9,575.7999878,2,1,1,0,1,0
11,575.7999878,2,1,1,0,1,0
12,575.7999878,3,1,1,0,1,0
13,575.7999878,3,1,1,0,1,0
10,575.7999878,2,1,1,0,1,0
8,575.7999878,1,0,1,0,1,0
10,575.7999878,1,0,1,0,1,0
9,575.7999878,1,0,0,0,0,0
10,575.7999878,1,0,1,0,1,0
8,575.7999878,1,0,1,0,1,0
8,575.7999878,0,0,1,0,1,0
8,575.7999878,0,0,1,0,1,0
7,575.7999878,1,0,1,0,1,0
8,575.7999878,2,0,1,0,1,0
8,575.7999878,2,0,2,0,2,0
9,575.7999878,2,0,1,0,1,0
7,575.7999878,2,0,1,0,1,0
8,575.7999878,2,0,1,0,1,0
6,575.7999878,1,0,1,0,1,0
7,575.7999878,0,0,1,0,1,0
5,575.7999878,0,0,1,0,1,0
6,575.7999878,2,0,0,0,0,0
6,575.7999878,2,0,0,0,0,0
8,575.7999878,4,1,0,0,0,0
11,575.7999878,9,1,0,0,0,0
13,575.7999878,9,2,0,0,0,0
12,575.7999878,9,2,0,0,0,0
12,575.7999878,7,1,1,0,1,0
11,575.7999878,7,1,1,0,1,0
10,575.7999878,7,1,0,0,0,0
8,575.7999878,1,1,0,0,0,0
10,575.7999878,0,1,0,0,0,0
9,575.7999878,0,0,0,0,0,0
