Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
18,35.06000137,2,2,20,0,20,0
35,35.06000137,4,2,20,0,20,0
31,35.06000137,4,2,20,0,20,0
28,35.06000137,2,4,20,0,20,0
26,35.06000137,2,4,20,0,20,0
20,35.06000137,2,2,20,0,20,0
17,35.06000137,2,1,20,0,20,0
18,35.06000137,4,0,20,1,20,0
38,35.06000137,6,2,20,1,20,0
34,35.06000137,5,2,20,1,20,0
31,35.06000137,3,1,20,1,20,0
27,35.06000137,3,1,20,2,20,0
24,35.06000137,3,2,20,2,20,0
24,35.06000137,2,2,20,3,20,0
18,35.06000137,0,1,20,2,20,0
19,35.06000137,0,4,20,2,20,0
17,35.06000137,1,4,20,1,20,0
35,35.06000137,2,5,20,1,20,0
32,35.06000137,2,4,20,1,20,0
27,35.06000137,1,2,20,2,20,0
25,35.06000137,2,3,20,0,20,0
22,35.06000137,0,3,20,0,20,0
16,35.06000137,0,2,20,1,20,0
12,35.06000137,0,1,20,1,20,0
28,35.06000137,2,1,20,1,20,0
27,35.06000137,3,1,20,1,20,0
24,35.06000137,2,1,20,0,20,0
23,35.06000137,3,2,20,1,20,0
26,35.06000137,3,4,20,2,20,0
26,35.06000137,3,4,20,0,20,0
22,35.06000137,2,4,20,0,20,0
36,35.06000137,2,2,20,1,20,0
37,35.06000137,1,2,20,0,20,0
38,35.06000137,1,2,20,0,20,0
33,35.06000137,2,0,20,1,20,0
20,35.06000137,1,0,20,1,20,0
23,35.06000137,0,0,20,0,20,0
18,35.06000137,0,0,20,0,20,0
13,35.06000137,1,0,20,0,20,0
38,35.06000137,3,3,20,0,20,0
31,35.06000137,3,1,20,0,20,0
33,35.06000137,4,1,20,0,20,0
31,35.06000137,4,0,20,0,20,0
26,35.06000137,7,0,20,0,20,0
21,35.06000137,6,0,20,0,20,0
18,35.06000137,4,0,20,0,20,0
32,35.06000137,6,0,20,0,20,0
27,35.06000137,4,0,20,0,20,0
25,35.06000137,3,0,20,0,20,0
21,35.06000137,3,0,20,0,20,0
22,35.06000137,2,1,20,0,20,0
20,35.06000137,1,0,20,0,20,0
19,35.06000137,1,0,20,0,20,0
34,35.06000137,2,2,20,0,20,0
31,35.06000137,3,1,20,0,20,0
22,35.06000137,2,0,20,0,20,0
21,35.06000137,1,1,20,0,20,0
23,35.06000137,2,3,20,0,20,0
22,35.06000137,4,3,20,0,20,0
28,35.06000137,5,3,20,0,20,0
27,35.06000137,6,5,20,0,20,0
22,35.06000137,6,4,20,2,20,0
20,35.06000137,6,1,20,0,20,0
18,35.06000137,7,1,20,1,20,0
20,35.06000137,5,1,20,0,20,0
45,35.06000137,9,2,20,0,20,0
42,35.06000137,7,3,20,0,20,0
38,35.06000137,3,1,20,1,20,0
35,35.06000137,3,1,20,1,20,0
32,35.06000137,4,3,20,0,20,0
34,35.06000137,3,3,20,0,20,0
25,35.06000137,2,1,20,1,20,0
17,35.06000137,3,2,20,0,20,0
33,35.06000137,1,3,20,0,20,0
34,35.06000137,2,2,20,2,20,0
29,35.06000137,3,1,20,0,20,0
20,35.06000137,3,0,20,0,20,0
22,35.06000137,2,0,20,0,20,0
24,35.06000137,3,0,20,1,20,0
39,35.06000137,5,0,20,0,20,0
29,35.06000137,4,0,20,1,20,0
20,35.06000137,3,0,20,1,20,0
20,35.06000137,5,0,20,1,20,0
19,35.06000137,4,0,20,1,20,0
16,35.06000137,4,0,20,1,20,0
17,35.06000137,6,0,20,1,20,0
48,35.06000137,12,1,20,2,20,0
39,35.06000137,5,1,20,3,20,0
33,35.06000137,4,1,20,1,20,0
31,35.06000137,4,1,20,0,20,0
27,35.06000137,5,1,20,0,20,0
27,35.06000137,3,1,20,0,20,0
21,35.06000137,1,0,20,1,20,0
29,35.06000137,0,0,20,0,20,0
31,35.06000137,1,1,20,0,20,0
32,35.06000137,4,2,20,0,20,0
28,35.06000137,2,0,20,0,20,0
27,35.06000137,3,0,20,0,20,0
25,35.06000137,2,2,20,0,20,0
27,35.06000137,3,2,20,0,20,0
25,35.06000137,3,2,20,0,20,0
22,35.06000137,4,3,20,0,20,0
22,35.06000137,5,2,20,1,20,0
25,35.06000137,4,1,20,1,20,0
19,35.06000137,4,1,20,1,20,0
16,34.08000183,4,0,20,1,20,-0.979999542
12,34.33499908,3,0,20,1,20,0.254997253
14,33.95000076,1,0,20,0,20,-0.384998322
18,33.95000076,2,0,20,0,20,0
35,33.70740128,6,1,20,0,20,-0.242599487
27,34.11000061,4,1,20,0,20,0.402599335
25,34.08000183,2,2,20,0,20,-0.029998779
24,34.28499985,2,2,20,0,20,0.204998016
23,34.09999847,1,2,20,0,20,-0.185001373
27,34.28499985,0,2,20,0,20,0.185001373
29,34.13000107,1,2,20,0,20,-0.154998779
38,34.09960175,5,4,20,0,20,-0.030399323
34,34.09999847,2,1,20,0,20,0.000396729
21,33.99000168,1,0,20,0,20,-0.109996796
21,33.91999817,3,0,20,0,20,-0.07000351
44,34.02999878,6,2,20,0,20,0.11000061
43,33.7981987,4,3,20,3,20,-0.231800079
34,33.88230133,4,1,20,1,20,0.084102631
31,33.82500076,4,1,20,1,20,-0.057300568
30,33.80210114,5,1,20,1,20,-0.022899628
39,33.86000061,6,2,20,0,20,0.057899475
33,33.77000046,5,1,20,1,20,-0.090000153
45,33.78499985,7,0,20,0,20,0.01499939
35,33.99990082,7,0,20,0,20,0.21490097
32,34.06499863,8,1,20,0,20,0.065097809
31,34.22000122,7,1,20,1,20,0.155002594
32,34.20999908,6,1,20,1,20,-0.010002136
34,34.27999878,6,2,20,0,20,0.069999695
35,34.35499954,7,3,20,1,20,0.075000763
32,34.54000092,6,3,20,1,20,0.185001373
42,34.36500168,7,3,20,1,20,-0.174999237
41,34.51300049,7,5,20,1,20,0.14799881
34,34.70500183,3,3,20,1,20,0.192001343
28,34.77000046,1,3,20,1,20,0.064998627
25,34.65000153,1,2,20,2,20,-0.119998932
18,34.86000061,2,1,20,0,20,0.209999084
39,34.81000137,6,5,20,2,20,-0.049999237
38,34.59999847,6,4,20,0,20,-0.210002899
32,34.80500031,5,4,20,0,20,0.205001831
34,34.43999863,4,4,20,0,20,-0.365001678
26,34.38499832,4,1,20,0,20,-0.055000305
29,34.43000031,6,1,20,0,20,0.045001984
22,34.32500076,5,1,20,0,20,-0.104999542
23,34.18000031,4,1,20,0,20,-0.145000458
37,34.18000031,4,2,20,0,20,0
36,34.16999817,2,1,20,0,20,-0.010002136
34,34.16999817,3,1,20,1,20,0
32,34.16999817,2,1,20,1,20,0
31,34.16999817,2,1,20,0,20,0
30,34.16999817,2,1,20,0,20,0
30,34.16999817,1,1,20,0,20,0
24,34.16999817,1,1,20,0,20,0
27,34.16999817,1,1,20,0,20,0
21,34.16999817,3,1,20,0,20,0
24,34.16999817,3,0,20,0,20,0
28,34.16999817,4,0,20,0,20,0
28,34.16999817,4,0,20,0,20,0
58,34.16999817,2,0,20,0,20,0
49,34.16999817,4,0,20,0,20,0
37,34.16999817,3,0,20,0,20,0
28,34.16999817,3,0,20,1,20,0
22,34.16999817,3,1,20,0,20,0
22,34.16999817,3,1,20,0,20,0
26,34.16999817,3,3,20,0,20,0
40,34.16999817,4,2,20,0,20,0
35,34.16999817,3,0,20,1,20,0
31,34.16999817,1,0,20,1,20,0
30,34.16999817,2,1,20,1,20,0
33,34.16999817,2,2,20,1,20,0
31,34.16999817,1,4,20,1,20,0
27,34.16999817,1,4,20,1,20,0
22,34.16999817,1,3,20,1,20,0
24,34.16999817,3,2,20,2,20,0
36,34.16999817,5,4,20,0,20,0
32,34.16999817,3,5,20,0,20,0
24,34.16999817,2,3,20,0,20,0
27,34.16999817,1,2,20,1,20,0
22,34.16999817,2,2,20,0,20,0
22,34.16999817,5,3,20,0,20,0
22,34.16999817,4,2,20,0,20,0
30,34.16999817,3,3,20,0,20,0
27,34.16999817,4,4,20,0,20,0
23,34.16999817,4,3,20,2,20,0
19,34.16999817,4,4,20,2,20,0
17,34.16999817,2,2,20,2,20,0
20,34.16999817,2,2,20,2,20,0
18,34.16999817,0,1,20,0,20,0
46,34.16999817,3,3,20,1,20,0
42,34.16999817,3,2,20,0,20,0
36,34.16999817,3,3,20,0,20,0
34,34.16999817,2,2,20,0,20,0
31,34.16999817,0,1,20,1,20,0
20,34.16999817,1,0,20,2,20,0
30,34.16999817,1,0,20,2,20,0
22,34.16999817,2,0,20,2,20,0
43,34.16999817,3,1,20,3,20,0
34,34.16999817,4,2,20,3,20,0
30,34.16999817,1,3,20,1,20,0
35,34.16999817,3,4,20,2,20,0
31,34.16999817,4,4,20,1,20,0
30,34.16999817,3,5,20,0,20,0
53,34.16999817,6,6,20,1,20,0
40,34.16999817,3,5,20,1,20,0
27,34.16999817,1,3,20,1,20,0
24,34.16999817,2,2,20,1,20,0
26,34.16999817,4,2,20,1,20,0
24,34.16999817,3,3,20,1,20,0
23,34.16999817,3,3,20,1,20,0
22,34.16999817,2,4,20,0,20,0
34,34.16999817,5,3,20,0,20,0
33,34.16999817,5,1,20,0,20,0
25,34.16999817,4,1,20,0,20,0
26,34.16999817,5,1,20,0,20,0
22,34.16999817,6,0,20,0,20,0
20,34.16999817,5,1,20,0,20,0
38,34.16999817,5,4,20,0,20,0
36,34.16999817,4,4,20,0,20,0
32,34.16999817,6,3,20,0,20,0
26,34.16999817,6,2,20,0,20,0
22,34.16999817,5,2,20,0,20,0
20,34.16999817,1,3,20,0,20,0
21,34.16999817,1,4,20,0,20,0
40,34.16999817,3,6,20,1,20,0
32,34.16999817,3,5,20,1,20,0
29,34.16999817,2,2,20,0,20,0
28,34.16999817,3,2,20,1,20,0
27,34.16999817,2,1,20,0,20,0
25,34.16999817,2,1,20,0,20,0
34,34.16999817,2,0,20,2,20,0
32,34.16999817,3,0,20,0,20,0
32,34.16999817,5,0,20,2,20,0
36,34.16999817,6,2,20,0,20,0
33,34.16999817,5,2,20,2,20,0
36,34.16999817,6,2,20,0,20,0
38,34.16999817,6,2,20,2,20,0
30,34.16999817,5,1,20,1,20,0
47,34.16999817,5,3,20,1,20,0
39,34.16999817,7,4,20,1,20,0
34,34.16999817,3,3,20,1,20,0
27,34.16999817,3,4,20,1,20,0
25,34.16999817,3,3,20,1,20,0
21,34.16999817,4,3,20,1,20,0
18,34.16999817,3,2,20,0,20,0
29,34.16999817,5,4,20,0,20,0
26,34.16999817,3,3,20,0,20,0
25,34.16999817,1,2,20,0,20,0
26,34.16999817,3,3,20,0,20,0
22,34.16999817,2,3,20,0,20,0
22,34.16999817,2,3,20,0,20,0
46,34.16999817,5,5,20,0,20,0
38,34.16999817,3,4,20,0,20,0
30,34.16999817,2,2,20,0,20,0
23,34.16999817,4,1,20,0,20,0
25,34.16999817,5,1,20,1,20,0
27,34.16999817,4,2,20,0,20,0
22,34.16999817,2,2,20,1,20,0
39,34.16999817,5,1,20,2,20,0
42,34.16999817,3,2,20,0,20,0
30,34.16999817,1,1,20,0,20,0
31,34.16999817,3,1,20,0,20,0
27,34.16999817,1,1,20,0,20,0
25,34.16999817,1,1,20,0,20,0
38,34.16999817,4,2,20,0,20,0
40,34.16999817,3,2,20,0,20,0
34,34.16999817,4,2,20,0,20,0
34,34.97999954,5,3,20,0,20,0.810001373
25,35.04000092,4,3,20,0,20,0.060001373
26,34.84999847,4,3,20,0,20,-0.190002441
32,34.86999893,4,4,20,0,20,0.020000458
46,35.02000046,3,8,20,0,20,0.150001526
38,34.61000061,3,7,20,1,20,-0.409999847
31,34.59000015,3,3,20,0,20,-0.020000458
27,34.56999969,2,2,20,0,20,-0.020000458
21,34.43000031,2,0,20,0,20,-0.13999939
24,34.47000122,2,0,20,0,20,0.040000916
31,34.25,2,3,20,1,20,-0.220001221
23,34.53499985,2,2,20,0,20,0.284999847
23,34.65000153,1,2,20,0,20,0.115001678
23,34.875,2,2,20,0,20,0.224998474
25,34.81000137,5,1,20,0,20,-0.064998627
24,34.95780182,5,1,20,0,20,0.147800446
21,34.81999969,6,1,20,0,20,-0.137802124
20,34.93000031,6,1,20,0,20,0.11000061
37,34.91999817,6,0,20,1,20,-0.010002136
33,34.95000076,6,0,20,0,20,0.030002594
35,34.88999939,7,1,20,1,20,-0.060001373
37,34.85499954,8,2,20,0,20,-0.034999847
40,34.83499908,5,1,20,1,20,-0.020000458
34,34.82500076,3,1,20,0,20,-0.009998322
31,34.99000168,3,0,20,0,20,0.165000916
35,35.02999878,3,3,20,0,20,0.039997101
