Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
14,462.269989,1,1,5,0,5,0
21,462.269989,2,2,20,0,20,0
18,462.269989,2,2,20,0,20,0
18,462.269989,3,2,20,0,20,0
17,462.269989,2,1,20,0,20,0
14,462.269989,1,1,20,0,20,0
16,462.269989,0,2,20,0,20,0
15,462.269989,0,0,20,0,20,0
17,462.269989,1,0,20,0,20,0
23,462.269989,2,2,9,1,9,0
24,462.269989,3,2,10,1,10,0
19,462.269989,1,1,10,1,10,0
21,462.269989,1,1,7,1,7,0
16,462.269989,1,0,11,1,11,0
13,462.269989,1,0,13,1,13,0
16,462.269989,2,0,15,1,15,0
17,462.269989,2,0,13,0,13,0
15,462.269989,3,0,14,0,14,0
21,462.269989,3,1,11,0,11,0
15,462.269989,4,1,14,0,14,0
27,462.269989,3,2,6,0,6,0
26,462.269989,3,2,5,0,5,0
27,462.269989,3,2,4,0,4,0
33,462.269989,3,2,7,0,7,0
28,462.269989,4,2,7,0,7,0
25,462.269989,3,1,9,0,9,0
25,462.269989,2,2,9,0,9,0
23,462.269989,2,2,8,0,8,0
33,462.269989,4,2,6,0,6,0
34,462.269989,3,2,7,0,7,0
42,462.269989,4,2,7,0,7,0
41,462.269989,3,2,4,0,4,0
41,462.269989,3,3,5,0,5,0
38,462.269989,3,3,5,0,5,0
36,462.269989,3,2,5,0,5,0
36,462.269989,2,1,5,0,5,0
24,462.269989,1,2,3,0,3,0
16,462.269989,1,2,2,0,2,0
17,462.269989,1,2,2,0,2,0
25,462.269989,1,2,4,0,4,0
24,462.269989,0,1,4,0,4,0
25,462.269989,0,1,6,0,6,0
21,462.269989,0,2,7,0,7,0
16,462.269989,0,1,8,0,8,0
17,462.269989,0,1,8,0,8,0
19,462.269989,1,1,8,0,8,0
20,462.269989,1,1,9,0,9,0
22,462.269989,1,1,4,0,4,0
21,462.269989,2,2,5,0,5,0
21,462.269989,3,3,5,0,5,0
17,462.269989,2,3,6,0,6,0
13,462.269989,2,3,7,0,7,0
15,462.269989,1,3,7,0,7,0
14,462.269989,1,1,9,0,9,0
17,462.269989,1,2,9,0,9,0
17,462.269989,2,2,9,0,9,0
17,462.269989,2,1,10,0,10,0
15,462.269989,2,1,13,0,13,0
16,462.269989,3,1,12,0,12,0
20,462.269989,2,0,12,0,12,0
25,462.269989,4,0,12,0,12,0
27,462.269989,5,1,13,0,13,0
26,462.269989,4,1,12,0,12,0
36,462.269989,5,1,12,0,12,0
36,462.269989,6,1,7,0,7,0
32,462.269989,4,1,6,0,6,0
40,462.269989,5,1,6,0,6,0
38,462.269989,6,0,4,0,4,0
31,462.269989,6,0,3,0,3,0
26,462.269989,5,0,2,0,2,0
26,462.269989,6,0,2,0,2,0
25,462.269989,5,0,4,0,4,0
24,462.269989,5,0,5,0,5,0
19,462.269989,4,0,7,0,7,0
35,462.269989,1,3,6,0,6,0
34,462.269989,0,3,6,0,6,0
30,462.269989,0,2,5,0,5,0
30,462.269989,0,2,4,0,4,0
34,462.269989,0,2,1,0,1,0
30,462.269989,1,3,1,0,1,0
30,462.269989,1,3,1,0,1,0
34,462.269989,2,2,4,0,4,0
29,462.269989,3,2,5,1,5,0
26,462.269989,3,2,5,1,5,0
24,462.269989,3,2,5,1,5,0
23,462.269989,4,2,7,1,7,0
24,462.269989,3,1,6,1,6,0
33,462.269989,4,2,8,1,8,0
31,462.269989,4,1,5,0,5,0
35,462.269989,4,1,5,0,5,0
37,462.269989,4,1,7,0,7,0
36,462.269989,2,1,7,0,7,0
31,462.269989,0,0,9,0,9,0
30,462.269989,2,0,12,0,12,0
36,462.269989,3,1,15,0,15,0
26,462.269989,3,0,15,0,15,0
21,462.269989,4,0,17,0,17,0
26,462.269989,3,0,16,0,16,0
30,462.269989,4,2,20,1,20,0
28,462.269989,3,1,19,1,19,0
30,462.269989,3,1,14,1,14,0
25,462.269989,3,1,14,1,14,0
26,462.269989,2,1,12,1,12,0
38,462.269989,3,3,11,1,11,0
35,462.269989,1,4,13,1,13,0
34,462.269989,1,3,16,1,16,0
28,453.7650146,1,1,15,1,15,-8.504974365
28,451.7900085,1,1,15,0,15,-1.975006104
29,449.5797119,1,1,17,0,17,-2.210296631
42,450.3699951,4,2,18,0,18,0.790283203
44,449.1300049,10,1,20,0,20,-1.239990234
37,450.2999878,8,1,20,0,20,1.16998291
37,450.1749878,7,1,17,0,17,-0.125
30,452.6000061,7,1,14,0,14,2.425018311
30,453.8399963,7,0,17,0,17,1.239990234
31,454.6300049,7,1,15,0,15,0.790008545
31,453.7600098,8,1,14,0,14,-0.869995117
41,452.6000061,6,2,16,1,16,-1.160003662
31,451.6600037,4,0,14,1,14,-0.940002441
25,453.625,2,1,16,1,16,1.964996338
30,450.5400085,3,2,17,1,17,-3.084991455
25,450.25,1,2,16,1,16,-0.290008545
24,450.1099854,1,3,16,1,16,-0.140014648
41,452.368988,4,5,16,0,16,2.259002686
38,453.1099854,3,3,13,0,13,0.740997314
34,454.0899963,4,1,16,0,16,0.980010986
32,452.9349976,3,2,15,0,15,-1.154998779
33,451.1900024,4,2,17,0,17,-1.744995117
29,452.5549927,3,5,19,0,19,1.364990234
27,451.6589966,3,3,19,0,19,-0.895996094
39,452.5700073,3,3,17,0,17,0.911010742
37,451.4442139,2,3,14,0,14,-1.125793457
33,452.0750122,1,4,12,0,12,0.63079834
37,452.9233093,1,3,11,0,11,0.848297119
34,453.8800049,1,0,12,0,12,0.956695557
33,454.5799866,0,0,11,0,11,0.699981689
35,455.3850098,0,1,7,0,7,0.805023193
31,456.2149963,0,1,6,0,6,0.829986572
42,456.0899963,1,1,8,0,8,-0.125
43,455.6950073,1,2,7,0,7,-0.394989014
38,457.3399963,1,1,11,0,11,1.644989014
34,456.9400024,2,2,8,0,8,-0.399993896
30,456.4700012,2,2,9,0,9,-0.470001221
36,457.8450012,4,1,13,0,13,1.375
32,458.2250061,3,1,15,0,15,0.380004883
46,458.4299927,5,3,16,0,16,0.204986572
44,457.0728149,4,3,15,0,15,-1.357177734
34,457.9985962,3,3,15,0,15,0.92578125
29,456.7950134,1,3,13,0,13,-1.203582764
35,455.8599854,1,3,12,0,12,-0.935028076
31,456.8420105,1,2,16,0,16,0.982025146
27,456.5299988,2,2,12,0,12,-0.312011719
44,456.4200134,3,2,11,0,11,-0.109985352
42,456.4200134,1,3,14,0,14,0
42,456.8399963,1,1,14,0,14,0.41998291
36,456.8399963,1,1,14,0,14,0
33,456.8399963,2,3,19,0,19,0
30,456.8399963,2,3,20,0,20,0
29,456.8399963,1,5,20,0,20,0
21,456.8399963,1,2,18,0,18,0
32,456.8399963,1,3,19,0,19,0
25,456.8399963,1,3,17,0,17,0
19,456.8399963,1,3,19,0,19,0
20,456.8399963,0,3,20,0,20,0
18,456.8399963,1,3,17,0,17,0
18,456.8399963,1,2,15,0,15,0
17,456.8399963,3,0,14,0,14,0
26,456.8399963,3,0,16,0,16,0
26,456.8399963,3,0,11,0,11,0
38,456.8399963,3,0,8,0,8,0
29,456.8399963,2,0,11,0,11,0
24,456.8399963,1,0,11,0,11,0
25,456.8399963,1,0,8,0,8,0
24,456.8399963,1,1,8,0,8,0
38,456.8399963,1,3,7,0,7,0
33,456.8399963,1,2,6,0,6,0
27,456.8399963,1,2,6,0,6,0
30,456.8399963,2,2,6,0,6,0
28,456.8399963,4,2,5,0,5,0
25,456.8399963,4,2,4,0,4,0
27,456.8399963,4,3,5,0,5,0
27,456.8399963,4,3,5,0,5,0
23,456.8399963,3,2,6,0,6,0
39,456.8399963,8,2,5,0,5,0
34,456.8399963,7,2,7,0,7,0
28,456.8399963,5,2,6,0,6,0
22,456.8399963,4,4,7,0,7,0
22,456.8399963,4,4,7,0,7,0
27,456.8399963,5,4,10,0,10,0
26,456.8399963,6,4,10,0,10,0
40,456.8399963,9,5,11,0,11,0
21,456.8399963,3,5,12,0,12,0
26,456.8399963,1,3,11,0,11,0
27,456.8399963,1,3,13,0,13,0
29,456.8399963,1,2,11,0,11,0
17,456.8399963,0,2,7,0,7,0
26,456.8399963,0,2,6,0,6,0
31,456.8399963,1,2,4,0,4,0
26,456.8399963,1,1,6,0,6,0
27,456.8399963,1,1,7,0,7,0
20,456.8399963,1,1,9,0,9,0
20,456.8399963,2,1,10,0,10,0
25,456.8399963,5,1,12,0,12,0
49,456.8399963,7,2,14,0,14,0
27,456.8399963,4,1,12,0,12,0
26,456.8399963,4,1,13,0,13,0
31,456.8399963,5,1,10,0,10,0
48,456.8399963,6,1,13,0,13,0
23,456.8399963,3,1,10,0,10,0
26,456.8399963,3,1,10,0,10,0
33,456.8399963,4,1,14,0,14,0
35,456.8399963,3,1,13,0,13,0
21,456.8399963,2,0,9,0,9,0
43,456.8399963,4,1,9,0,9,0
43,456.8399963,4,1,10,0,10,0
