Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
27,41.38999939,2,1,20,0,20,0
60,41.38999939,2,0,20,0,20,0
46,41.38999939,2,0,20,0,20,0
46,41.38999939,3,0,20,0,20,0
47,41.38999939,5,0,20,0,20,0
41,41.38999939,7,0,20,0,20,0
37,41.38999939,5,0,20,0,20,0
36,41.38999939,4,2,20,0,20,0
32,41.38999939,5,2,20,0,20,0
49,41.38999939,6,4,20,0,20,0
41,41.38999939,6,3,20,0,20,0
43,41.38999939,6,3,20,0,20,0
39,41.38999939,5,1,20,0,20,0
33,41.38999939,5,0,20,0,20,0
34,41.38999939,4,0,20,0,20,0
32,41.38999939,3,0,20,0,20,0
34,41.38999939,6,0,20,0,20,0
29,41.38999939,5,0,20,0,20,0
55,41.38999939,5,0,20,0,20,0
53,41.38999939,4,0,20,1,20,0
38,41.38999939,4,0,20,0,20,0
31,41.38999939,5,0,20,0,20,0
23,41.38999939,3,0,20,0,20,0
20,41.38999939,3,0,20,0,20,0
21,41.38999939,4,0,20,0,20,0
39,41.38999939,6,0,20,0,20,0
31,41.38999939,5,0,20,0,20,0
31,41.38999939,3,0,20,0,20,0
30,41.38999939,4,1,20,0,20,0
33,41.38999939,3,0,20,0,20,0
30,41.38999939,3,0,20,0,20,0
30,41.38999939,3,1,20,0,20,0
58,41.38999939,7,2,20,0,20,0
46,41.38999939,7,1,20,0,20,0
47,41.38999939,7,1,20,0,20,0
43,41.38999939,8,2,20,0,20,0
40,41.38999939,6,2,20,0,20,0
39,41.38999939,3,3,20,0,20,0
34,41.38999939,3,3,20,0,20,0
31,41.38999939,3,2,20,0,20,0
54,41.38999939,8,2,20,0,20,0
53,41.38999939,7,2,20,0,20,0
44,41.38999939,6,2,20,0,20,0
46,41.38999939,5,1,20,0,20,0
48,41.38999939,7,1,20,0,20,0
44,41.38999939,6,2,20,0,20,0
48,41.38999939,8,2,20,0,20,0
48,41.38999939,7,2,20,0,20,0
52,41.38999939,6,4,20,0,20,0
49,41.38999939,6,3,20,0,20,0
47,41.38999939,6,3,20,0,20,0
43,41.38999939,5,3,20,0,20,0
42,41.38999939,5,3,20,0,20,0
36,41.38999939,4,2,20,0,20,0
49,41.38999939,4,3,20,0,20,0
44,41.38999939,3,2,20,0,20,0
48,41.38999939,5,5,20,0,20,0
40,41.38999939,4,2,20,0,20,0
38,41.38999939,2,3,20,0,20,0
38,41.38999939,3,1,20,0,20,0
60,41.38999939,5,2,20,0,20,0
59,41.38999939,3,4,20,0,20,0
61,41.38999939,3,5,20,0,20,0
52,41.38999939,3,4,20,0,20,0
54,41.38999939,3,2,20,0,20,0
53,41.38999939,3,2,20,0,20,0
58,41.38999939,5,2,20,0,20,0
49,41.38999939,5,3,20,0,20,0
59,41.38999939,9,2,20,0,20,0
54,41.38999939,9,1,20,0,20,0
58,41.38999939,10,1,20,0,20,0
58,41.38999939,10,1,20,0,20,0
59,41.38999939,8,3,20,0,20,0
59,41.38999939,7,5,20,0,20,0
72,41.38999939,7,1,20,0,20,0
65,41.38999939,7,1,20,0,20,0
54,41.38999939,6,0,20,1,20,0
50,41.38999939,5,2,20,0,20,0
50,41.38999939,5,2,20,0,20,0
50,41.38999939,4,2,20,1,20,0
50,41.38999939,5,3,20,0,20,0
76,41.38999939,11,1,20,1,20,0
71,41.38999939,10,1,20,1,20,0
62,41.38999939,8,0,20,1,20,0
63,41.38999939,8,1,20,1,20,0
59,41.38999939,10,1,20,1,20,0
54,41.38999939,8,3,20,0,20,0
63,41.38999939,12,3,20,0,20,0
72,41.38999939,9,4,20,0,20,0
67,41.38999939,11,3,20,1,20,0
58,41.38999939,10,3,20,1,20,0
49,41.38999939,8,3,20,0,20,0
48,41.38999939,10,1,20,1,20,0
49,41.38999939,7,2,20,1,20,0
61,41.38999939,8,2,20,0,20,0
57,41.38999939,5,2,20,0,20,0
43,41.38999939,3,2,20,0,20,0
45,41.38999939,3,2,20,0,20,0
39,41.38999939,0,3,20,0,20,0
39,41.38999939,1,2,20,0,20,0
35,41.38999939,0,2,20,0,20,0
58,41.38999939,4,3,20,1,20,0
51,41.38999939,3,2,20,0,20,0
40,41.38999939,4,1,20,0,20,0
33,41.06999969,1,1,20,0,20,-0.319999695
32,41.80500031,1,1,20,0,20,0.73500061
36,41.29999924,3,1,20,0,20,-0.505001068
33,41.04999924,4,0,20,0,20,-0.25
61,40.84000015,6,1,20,0,20,-0.209999084
51,41.29000092,4,4,20,0,20,0.450000763
45,41.18999863,4,1,20,0,20,-0.100002289
36,41.54000092,3,1,20,0,20,0.350002289
34,41.73989868,2,1,20,0,20,0.199897766
45,42,3,1,20,0,20,0.260101318
44,41.90000153,1,3,20,0,20,-0.099998474
82,41.52000046,4,2,20,0,20,-0.380001068
76,41.59000015,7,5,20,0,20,0.069999695
69,41.81169891,8,5,20,0,20,0.221698761
66,41.34000015,7,4,20,0,20,-0.471698761
53,41.59000015,7,3,20,0,20,0.25
46,41.72000122,6,2,20,0,20,0.130001068
70,41.49000168,9,5,20,0,20,-0.229999542
79,41.34009933,7,6,20,0,20,-0.149902344
70,41.31999969,6,6,20,0,20,-0.02009964
57,41.31999969,4,3,20,0,20,0
54,41.29999924,5,1,20,0,20,-0.020000458
51,41.20999908,6,2,20,0,20,-0.090000153
44,41.09999847,4,1,20,0,20,-0.11000061
77,40.93000031,12,11,20,0,20,-0.169998169
59,41.04000092,3,4,20,1,20,0.11000061
56,41.04999924,4,1,20,0,20,0.009998322
56,41.19499969,3,1,20,1,20,0.145000458
52,41.18000031,4,1,20,1,20,-0.01499939
55,41.34000015,5,2,20,1,20,0.159999847
51,41.50019836,5,1,20,1,20,0.160198212
47,41.52000046,5,1,20,1,20,0.019802094
77,41.40499878,12,6,20,1,20,-0.115001678
68,41.58000183,14,2,20,1,20,0.175003052
65,41.68000031,11,3,20,0,20,0.099998474
64,41.77500153,11,3,20,0,20,0.095001221
57,41.70999908,9,2,20,0,20,-0.065002441
50,41.81999969,8,3,20,0,20,0.11000061
60,41.86000061,8,2,20,1,20,0.040000916
78,41.90999985,10,3,20,1,20,0.049999237
73,41.68500137,6,2,20,1,20,-0.224998474
66,41.83000183,7,2,20,1,20,0.145000458
59,41.77999878,5,2,20,1,20,-0.050003052
45,41.65000153,3,0,20,1,20,-0.129997253
44,41.8185997,3,0,20,1,20,0.168598175
42,41.84000015,3,1,20,1,20,0.021400452
69,41.77999878,5,4,20,0,20,-0.060001373
66,41.77999878,7,6,20,0,20,0
56,41.77999878,6,5,20,0,20,0
51,41.77999878,4,6,20,1,20,0
53,41.77999878,5,5,20,1,20,0
50,41.77999878,5,4,20,0,20,0
68,41.77999878,8,7,20,0,20,0
60,41.77999878,6,5,20,0,20,0
50,41.77999878,5,3,20,1,20,0
52,41.77999878,3,3,20,0,20,0
40,41.77999878,1,2,20,0,20,0
38,41.77999878,1,1,20,0,20,0
37,41.77999878,3,1,20,0,20,0
65,41.77999878,6,4,20,0,20,0
54,41.77999878,6,3,20,0,20,0
39,41.77999878,4,2,20,0,20,0
27,41.77999878,4,1,20,1,20,0
24,41.77999878,4,0,20,1,20,0
25,41.77999878,3,1,20,2,20,0
24,41.77999878,2,1,20,2,20,0
61,41.77999878,3,5,20,1,20,0
52,41.77999878,3,4,20,1,20,0
49,41.77999878,1,3,20,1,20,0
44,41.77999878,0,2,20,1,20,0
36,41.77999878,0,2,20,0,20,0
36,41.77999878,1,2,20,0,20,0
38,41.77999878,3,1,20,0,20,0
31,41.77999878,1,2,20,0,20,0
33,41.77999878,2,3,20,0,20,0
56,41.77999878,7,4,20,0,20,0
49,41.77999878,5,5,20,0,20,0
41,41.77999878,5,3,20,0,20,0
28,41.77999878,4,2,20,0,20,0
31,41.77999878,4,2,20,0,20,0
24,41.77999878,3,0,20,0,20,0
38,41.77999878,4,1,20,0,20,0
40,41.77999878,6,1,20,0,20,0
38,41.77999878,5,1,20,0,20,0
34,41.77999878,7,1,20,0,20,0
33,41.77999878,5,1,20,0,20,0
29,41.77999878,5,2,20,0,20,0
27,41.77999878,5,2,20,0,20,0
61,41.77999878,5,5,20,0,20,0
56,41.77999878,7,5,20,0,20,0
48,41.77999878,5,2,20,0,20,0
43,41.77999878,5,3,20,0,20,0
37,41.77999878,2,1,20,0,20,0
30,41.77999878,2,1,20,0,20,0
32,41.77999878,2,1,20,0,20,0
29,41.77999878,3,0,20,0,20,0
51,41.77999878,5,3,20,0,20,0
45,41.77999878,3,2,20,1,20,0
