Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
3,56.20000076,1,1,15,0,15,0
3,56.20000076,0,1,18,0,18,0
3,56.20000076,0,1,15,0,15,0
3,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,18,0,18,0
3,56.20000076,0,0,14,0,14,0
2,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,16,0,16,0
3,56.20000076,0,0,19,0,19,0
3,56.20000076,0,0,20,0,20,0
2,56.20000076,0,0,19,0,19,0
2,56.20000076,0,0,19,0,19,0
2,56.20000076,0,0,15,0,15,0
1,56.20000076,0,0,20,0,20,0
1,56.20000076,0,0,20,0,20,0
1,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,13,0,13,0
2,56.20000076,0,0,20,1,20,0
2,56.20000076,0,0,20,0,20,0
4,56.20000076,0,0,19,1,19,0
4,56.20000076,0,0,20,1,20,0
5,56.20000076,0,0,20,1,20,0
4,56.20000076,0,0,20,1,20,0
4,56.20000076,0,0,20,1,20,0
4,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,20,0,20,0
2,56.20000076,0,0,20,1,20,0
1,56.20000076,0,0,20,1,20,0
1,56.20000076,0,0,20,1,20,0
0,56.20000076,0,0,20,1,20,0
0,56.20000076,0,0,20,1,20,0
0,56.20000076,0,0,20,1,20,0
0,56.20000076,0,0,14,1,14,0
0,56.20000076,0,0,11,1,11,0
0,56.20000076,0,0,10,1,10,0
1,56.20000076,0,0,11,0,11,0
3,56.20000076,1,0,11,0,11,0
4,56.20000076,1,0,12,0,12,0
4,56.20000076,1,0,17,0,17,0
4,56.20000076,1,0,15,0,15,0
3,56.20000076,1,0,17,0,17,0
2,56.20000076,1,0,17,0,17,0
1,56.20000076,0,1,14,0,14,0
1,56.20000076,0,1,12,0,12,0
2,56.20000076,0,1,9,0,9,0
2,56.20000076,0,1,11,0,11,0
2,56.20000076,0,1,8,0,8,0
3,56.20000076,0,1,8,0,8,0
2,56.20000076,0,0,10,0,10,0
2,56.20000076,0,0,12,0,12,0
2,56.20000076,0,0,15,0,15,0
1,56.20000076,0,0,15,0,15,0
2,56.20000076,0,0,12,0,12,0
2,56.20000076,0,0,14,0,14,0
0,56.20000076,0,0,16,0,16,0
1,56.20000076,0,0,16,0,16,0
3,56.20000076,0,0,16,0,16,0
3,56.20000076,0,0,13,0,13,0
3,56.20000076,0,0,16,0,16,0
3,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,20,0,20,0
4,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,20,0,20,0
2,56.20000076,0,0,20,0,20,0
1,56.20000076,0,0,20,0,20,0
1,56.20000076,0,0,20,0,20,0
0,56.20000076,0,0,20,0,20,0
0,56.20000076,0,0,14,0,14,0
0,56.20000076,0,0,16,0,16,0
0,56.20000076,0,0,17,0,17,0
2,56.20000076,1,0,14,0,14,0
2,56.20000076,1,0,15,0,15,0
3,56.20000076,1,0,18,0,18,0
4,56.20000076,1,0,18,0,18,0
3,56.20000076,1,0,19,0,19,0
4,56.20000076,1,0,12,0,12,0
4,56.20000076,0,0,15,0,15,0
4,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,15,0,15,0
4,56.20000076,0,0,13,0,13,0
3,56.20000076,0,0,10,0,10,0
3,56.20000076,0,0,13,0,13,0
2,56.20000076,0,0,18,0,18,0
2,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,19,0,19,0
3,56.20000076,0,0,20,0,20,0
2,56.20000076,0,0,20,0,20,0
3,56.20000076,0,0,21,0,21,0
3,56.20000076,0,0,20,0,20,0
2,56.20000076,0,0,11,0,11,0
2,56.20000076,0,0,16,0,16,0
5,56.20000076,0,0,16,0,16,0
4,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,15,0,15,0
3,56.20000076,0,0,15,0,15,0
4,56.20000076,1,0,15,0,15,0
4,56.20000076,1,0,15,0,15,0
3,56.20000076,1,0,13,0,13,0
2,56.20000076,1,0,16,0,16,0
2,56.20000076,1,0,18,0,18,0
3,56.20000076,1,0,20,0,20,0
3,55.81000137,1,0,21,0,21,-0.38999939
2,54.79000092,0,0,20,0,20,-1.020000458
3,54.23600006,0,0,20,0,20,-0.554000854
4,54.52999878,0,0,20,0,20,0.293998718
3,54.55500031,0,0,20,0,20,0.025001526
4,54.85499954,0,0,20,0,20,0.299999237
4,54.80199814,0,0,20,0,20,-0.053001404
5,54.61600113,0,0,20,0,20,-0.185997009
5,54.70000076,0,0,20,0,20,0.083999634
3,54.61000061,0,0,16,0,16,-0.090000153
3,54.72999954,0,0,11,0,11,0.119998932
4,54.77000046,1,0,10,0,10,0.040000916
3,54.76499939,1,0,11,0,11,-0.005001068
3,54.79000092,1,0,11,0,11,0.025001526
5,54.79000092,0,1,12,0,12,0
7,54.88999939,1,1,12,0,12,0.099998474
7,54.88999939,1,1,11,0,11,0
7,55.00999832,2,1,13,0,13,0.119998932
8,55.0768013,2,1,15,0,15,0.066802979
8,54.91500092,1,2,15,0,15,-0.161800385
7,54.95000076,1,2,14,0,14,0.034999847
6,54.93000031,0,2,13,0,13,-0.020000458
3,54.88499832,0,1,14,1,14,-0.045001984
3,55,0,1,15,1,15,0.115001678
2,55,0,0,15,1,15,0
2,55.1637001,0,0,17,1,17,0.163700104
4,55.1637001,0,0,16,2,16,0
6,55.21549988,0,1,18,2,18,0.051799774
6,55.21549988,0,1,19,2,19,0
5,55.38999939,0,1,20,2,20,0.174499512
7,55.38999939,0,1,17,1,17,0
7,55.45000076,0,1,16,1,16,0.060001373
