Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words,price_change
9,53.31999969,0,0,10,0,10,0
7,53.31999969,0,0,14,0,14,0
6,53.31999969,0,0,16,0,16,0
4,53.31999969,0,0,17,0,17,0
5,53.31999969,0,0,18,0,18,0
6,53.31999969,0,0,19,0,19,0
7,53.31999969,0,0,18,0,18,0
6,53.31999969,0,0,16,0,16,0
5,53.31999969,0,0,17,0,17,0
6,53.31999969,0,0,16,0,16,0
8,53.31999969,0,1,10,0,10,0
4,53.31999969,0,1,10,0,10,0
4,53.31999969,0,1,8,0,8,0
5,53.31999969,0,2,7,0,7,0
5,53.31999969,0,2,7,0,7,0
6,53.31999969,0,2,7,0,7,0
7,53.31999969,0,2,5,0,5,0
7,53.31999969,0,2,6,0,6,0
5,53.31999969,0,1,5,0,5,0
5,53.31999969,0,0,4,0,4,0
4,53.31999969,0,0,5,0,5,0
4,53.31999969,0,0,5,0,5,0
4,53.31999969,0,0,2,0,2,0
3,53.31999969,0,0,1,0,1,0
3,53.31999969,0,0,1,0,1,0
2,53.31999969,1,0,2,0,2,0
4,53.31999969,3,0,2,0,2,0
5,53.31999969,3,0,2,0,2,0
6,53.31999969,3,0,2,0,2,0
6,53.31999969,3,0,2,0,2,0
5,53.31999969,3,0,4,0,4,0
3,53.31999969,2,0,3,0,3,0
3,53.31999969,0,0,5,0,5,0
3,53.31999969,0,1,5,0,5,0
4,53.31999969,0,1,6,0,6,0
5,53.31999969,0,1,9,0,9,0
6,53.31999969,0,1,8,0,8,0
7,53.31999969,0,1,8,0,8,0
7,53.31999969,0,1,8,0,8,0
6,53.31999969,0,0,8,0,8,0
5,53.31999969,0,0,7,0,7,0
4,53.31999969,0,0,8,0,8,0
6,53.31999969,0,0,8,0,8,0
6,53.31999969,0,0,4,0,4,0
2,53.31999969,0,0,4,0,4,0
1,53.31999969,0,0,2,0,2,0
1,53.31999969,0,0,4,0,4,0
1,53.31999969,0,0,4,0,4,0
1,53.31999969,0,0,3,0,3,0
1,53.31999969,0,0,3,0,3,0
1,53.31999969,0,0,4,0,4,0
1,53.31999969,0,0,4,0,4,0
1,53.31999969,0,0,3,0,3,0
1,53.31999969,0,0,4,0,4,0
3,53.31999969,0,0,5,0,5,0
3,53.31999969,0,0,5,0,5,0
8,53.31999969,0,0,5,0,5,0
9,53.31999969,0,0,7,0,7,0
13,53.31999969,0,0,8,0,8,0
13,53.31999969,0,0,6,0,6,0
13,53.31999969,0,0,8,0,8,0
15,53.31999969,0,0,8,0,8,0
16,53.31999969,0,0,9,0,9,0
16,53.31999969,0,0,10,0,10,0
14,53.31999969,0,0,9,0,9,0
11,53.31999969,0,0,9,0,9,0
13,53.31999969,0,0,10,0,10,0
10,53.31999969,0,0,11,0,11,0
9,53.31999969,0,0,9,0,9,0
7,53.31999969,0,0,8,0,8,0
8,53.31999969,0,0,7,0,7,0
8,53.31999969,0,0,6,0,6,0
6,53.31999969,0,1,8,0,8,0
6,53.31999969,0,1,8,0,8,0
6,53.31999969,0,1,8,0,8,0
5,53.31999969,0,1,7,0,7,0
5,53.31999969,0,1,7,0,7,0
3,53.31999969,0,1,6,0,6,0
3,53.31999969,1,1,4,0,4,0
4,53.31999969,2,1,3,0,3,0
3,53.31999969,2,1,3,0,3,0
3,53.31999969,2,1,2,0,2,0
4,53.31999969,2,1,2,0,2,0
4,53.31999969,1,0,3,0,3,0
8,53.31999969,2,2,3,0,3,0
9,53.31999969,2,2,2,0,2,0
7,53.31999969,1,1,1,0,1,0
6,53.31999969,1,0,1,0,1,0
6,53.31999969,1,0,1,0,1,0
10,53.31999969,1,0,3,0,3,0
8,53.31999969,1,0,5,0,5,0
14,53.31999969,0,0,4,0,4,0
16,53.31999969,0,0,4,0,4,0
14,53.31999969,0,0,5,0,5,0
19,53.31999969,0,0,5,0,5,0
22,53.31999969,0,0,7,0,7,0
21,53.31999969,0,0,5,0,5,0
26,53.31999969,0,1,5,0,5,0
20,53.31999969,0,1,7,0,7,0
19,53.31999969,0,1,7,0,7,0
19,53.31999969,0,1,6,0,6,0
22,53.31999969,0,1,10,0,10,0
22,53.31999969,2,1,7,0,7,0
21,53.31999969,2,1,7,0,7,0
21,53.31999969,2,1,6,0,6,0
20,53.31999969,3,1,7,0,7,0
24,53.31999969,4,1,5,0,5,0
24,53.31999969,4,2,4,0,4,0
19,52.34000015,2,2,2,0,2,-0.979999542
19,52.0298996,2,2,3,0,3,-0.310100555
18,51.97499847,1,4,3,0,3,-0.054901123
17,51.68000031,0,3,4,0,4,-0.294998169
18,51.99000168,0,3,5,0,5,0.310001373
21,52.42499924,0,2,6,0,6,0.434997559
21,52.79130173,0,3,9,0,9,0.36630249
22,52.76499939,0,3,10,0,10,-0.026302338
20,53.02000046,0,1,9,0,9,0.255001068
18,52.94499969,0,1,8,0,8,-0.075000763
17,52.95000076,1,1,9,0,9,0.005001068
18,53.34500122,4,1,7,0,7,0.395000458
16,53.04999924,4,0,7,0,7,-0.295001984
16,53.26499939,4,0,11,0,11,0.215000153
15,53.13999939,3,0,11,0,11,-0.125
12,53.29999924,1,0,13,0,13,0.159999847
13,53.22000122,1,0,13,0,13,-0.079998016
11,53.40999985,0,1,14,0,14,0.189998627
10,53.21500015,0,1,14,0,14,-0.194999695
12,53.09000015,1,1,15,0,15,-0.125
17,53.04499817,1,1,15,0,15,-0.045001984
