Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids
31:35.8,trans+global+group+inc,0,0.016899999,,,
43:52.5,trans+global+group+inc,0,0.016899999,,,
49:21.1,trans+global+group+inc,0,0.016899999,,,
54:51.5,trans+global+group+inc,0,0.016899999,,,
09:26.1,trans+global+group+inc,0,0.016899999,,,
45:03.6,trans+global+group+inc,0,0.016899999,,,
56:48.9,trans+global+group+inc,0,0.016899999,,,
02:16.6,trans+global+group+inc,0,0.016899999,,,
26:47.6,trans+global+group+inc,0,0.016899999,,,
57:16.5,trans+global+group+inc,2,0.016899999,,,
02:44.1,trans+global+group+inc,2,0.016899999,,,
17:35.7,trans+global+group+inc,2,0.016899999,,,
24:19.1,trans+global+group+inc,2,0.016899999,,,
29:45.7,trans+global+group+inc,1,0.016899999,,,
56:57.8,trans+global+group+inc,0,0.016899999,,,
17:32.8,trans+global+group+inc,0,0.016899999,,,
24:50.2,trans+global+group+inc,0,0.016899999,,,
36:34.5,trans+global+group+inc,0,0.016899999,,,
44:33.8,trans+global+group+inc,0,0.016899999,,,
51:56.8,trans+global+group+inc,0,0.016899999,,,
09:35.9,trans+global+group+inc,0,0.016899999,,,
23:57.9,trans+global+group+inc,0,0.016899999,,,
35:42.9,trans+global+group+inc,0,0.016899999,,,
41:10.0,trans+global+group+inc,0,0.016899999,,,
46:38.8,trans+global+group+inc,0,0.016899999,,,
52:09.7,trans+global+group+inc,0,0.016899999,,,
00:09.2,trans+global+group+inc,0,0.016899999,,,
27:56.3,trans+global+group+inc,0,0.016899999,,,
34:40.6,trans+global+group+inc,0,0.016899999,,,
41:27.2,trans+global+group+inc,0,0.016899999,,,
46:56.5,trans+global+group+inc,0,0.016899999,,,
52:28.4,trans+global+group+inc,0,0.016899999,,,
57:55.9,trans+global+group+inc,0,0.016899999,,,
05:55.3,trans+global+group+inc,0,0.016899999,,,
13:54.7,trans+global+group+inc,0,0.016899999,,,
21:05.2,trans+global+group+inc,0,0.016899999,,,
48:38.4,trans+global+group+inc,0,0.016899999,,,
54:09.4,trans+global+group+inc,0,0.016899999,,,
59:38.3,trans+global+group+inc,0,0.016899999,,,
12:56.4,trans+global+group+inc,0,0.016899999,,,
18:26.2,trans+global+group+inc,0,0.016899999,,,
23:56.0,trans+global+group+inc,0,0.016899999,,,
35:58.6,trans+global+group+inc,0,0.016899999,,,
42:43.4,trans+global+group+inc,0,0.016899999,,,
49:28.8,trans+global+group+inc,0,0.016899999,,,
54:57.9,trans+global+group+inc,0,0.016899999,,,
02:59.2,trans+global+group+inc,0,0.016899999,,,
08:29.0,trans+global+group+inc,0,0.016899999,,,
15:15.5,trans+global+group+inc,0,0.016899999,,,
30:55.2,trans+global+group+inc,0,0.016899999,,,
36:24.8,trans+global+group+inc,0,0.016899999,,,
56:07.2,trans+global+group+inc,0,0.016899999,,,
01:36.8,trans+global+group+inc,0,0.016899999,,,
07:10.4,trans+global+group+inc,0,0.016899999,,,
12:44.3,trans+global+group+inc,0,0.016899999,,,
18:13.9,trans+global+group+inc,0,0.016899999,,,
23:43.8,trans+global+group+inc,0,0.016899999,,,
29:15.9,trans+global+group+inc,0,0.016899999,,,
34:46.8,trans+global+group+inc,0,0.016899999,,,
40:16.4,trans+global+group+inc,0,0.016899999,,,
52:11.4,trans+global+group+inc,0,0.0165,,,
04:07.6,trans+global+group+inc,0,0.0163,,,
17:23.6,trans+global+group+inc,0,0.016434999,,,
26:41.2,trans+global+group+inc,0,0.0164,,,
32:13.4,trans+global+group+inc,0,0.0163,,,
38:59.4,trans+global+group+inc,0,0.015900001,,,
44:30.4,trans+global+group+inc,0,0.016070001,,,
51:14.5,trans+global+group+inc,0,0.016035,,,
59:16.3,trans+global+group+inc,0,0.015900001,,,
04:46.3,trans+global+group+inc,0,0.015699999,,,
10:17.1,trans+global+group+inc,0,0.015900001,,,
15:48.5,trans+global+group+inc,0,0.015699999,,,
21:19.5,trans+global+group+inc,1,0.015799999,,,
29:21.7,trans+global+group+inc,1,0.015900001,,,
36:07.9,trans+global+group+inc,1,0.015900001,,,
42:54.2,trans+global+group+inc,1,0.015735,,,
49:39.9,trans+global+group+inc,1,0.015699999,,,
56:24.6,trans+global+group+inc,1,0.01575,,,
03:17.2,trans+global+group+inc,1,0.015900001,,,
15:25.6,trans+global+group+inc,0,0.015900001,,,
40:28.9,trans+global+group+inc,0,0.015900001,,,
47:15.4,trans+global+group+inc,0,0.015900001,,,
00:21.6,trans+global+group+inc,0,0.01585,,,
05:55.3,trans+global+group+inc,0,0.015900001,,,
24:09.1,trans+global+group+inc,0,0.015699999,,,
38:51.9,trans+global+group+inc,0,0.015799999,,,
44:35.2,trans+global+group+inc,0,0.0155,,,
50:05.7,trans+global+group+inc,0,0.0155,,,
58:43.3,trans+global+group+inc,0,0.0155,,,
17:03.4,trans+global+group+inc,0,0.0154,,,
29:05.1,trans+global+group+inc,0,0.015,,,
35:51.6,trans+global+group+inc,0,0.0152,,,
41:21.5,trans+global+group+inc,0,0.0154,,,
46:51.6,trans+global+group+inc,0,0.0154,,,
53:36.1,trans+global+group+inc,0,0.01525,,,
00:23.2,trans+global+group+inc,0,0.0151,,,
07:41.8,trans+global+group+inc,0,0.0151,,,
13:15.4,trans+global+group+inc,0,0.0153,,,
20:02.1,trans+global+group+inc,0,0.0154,,,
25:32.7,trans+global+group+inc,0,0.0152,,,
34:00.6,trans+global+group+inc,0,0.0151,,,
39:30.7,trans+global+group+inc,0,0.01505,,,
51:19.0,trans+global+group+inc,0,0.0152,,,
09:55.3,trans+global+group+inc,0,0.0152,,,
16:18.3,trans+global+group+inc,0,0.0154,,,
23:16.0,trans+global+group+inc,0,0.0154,,,
28:50.7,trans+global+group+inc,1,0.0154,,,
40:46.4,trans+global+group+inc,1,0.0154,,,
52:41.7,trans+global+group+inc,1,0.0154,,,
07:29.6,trans+global+group+inc,1,0.0154,,,
14:15.4,trans+global+group+inc,1,0.0154,,,
19:46.4,trans+global+group+inc,1,0.0154,,,
25:17.6,trans+global+group+inc,0,0.0154,,,
32:04.3,trans+global+group+inc,0,0.0154,,,
37:35.7,trans+global+group+inc,0,0.0154,,,
45:39.6,trans+global+group+inc,1,0.0154,,,
51:10.4,trans+global+group+inc,1,0.0154,,,
16:13.1,trans+global+group+inc,1,0.0154,,,
21:45.1,trans+global+group+inc,1,0.0154,,,
36:26.7,trans+global+group+inc,1,0.0154,,,
43:16.9,trans+global+group+inc,1,0.0154,,,
48:47.5,trans+global+group+inc,0,0.0154,,,
54:22.2,trans+global+group+inc,0,0.0154,,,
06:16.7,trans+global+group+inc,0,0.0154,,,
20:40.9,trans+global+group+inc,0,0.0154,,,
27:11.0,trans+global+group+inc,1,0.0154,,,
39:03.5,trans+global+group+inc,1,0.0154,,,
06:19.6,trans+global+group+inc,1,0.0154,,,
27:29.8,trans+global+group+inc,0,0.0154,,,
33:02.3,trans+global+group+inc,0,0.0154,,,
38:31.4,trans+global+group+inc,0,0.0154,,,
46:30.3,trans+global+group+inc,0,0.0154,,,
59:33.8,trans+global+group+inc,0,0.0154,,,
05:02.1,trans+global+group+inc,0,0.0154,,,
10:30.5,trans+global+group+inc,0,0.0154,,,
22:42.1,trans+global+group+inc,0,0.0154,,,
29:27.8,trans+global+group+inc,0,0.0154,,,
34:56.3,trans+global+group+inc,0,0.0154,,,
40:25.2,trans+global+group+inc,0,0.0154,,,
45:53.8,trans+global+group+inc,0,0.0154,,,
51:21.6,trans+global+group+inc,0,0.0154,,,
56:49.0,trans+global+group+inc,0,0.0154,,,
03:34.8,trans+global+group+inc,0,0.0154,,,
11:34.4,trans+global+group+inc,0,0.0154,,,
17:03.6,trans+global+group+inc,0,0.0154,,,
23:48.5,trans+global+group+inc,0,0.0154,,,
31:49.7,trans+global+group+inc,0,0.0154,,,
37:19.9,trans+global+group+inc,0,0.0154,,,
50:40.4,trans+global+group+inc,0,0.0154,,,
57:28.1,trans+global+group+inc,0,0.0154,,,
02:58.3,trans+global+group+inc,0,0.0154,,,
08:29.3,trans+global+group+inc,0,0.0154,,,
22:03.5,trans+global+group+inc,0,0.0154,,,
27:36.5,trans+global+group+inc,0,0.0154,,,
33:05.8,trans+global+group+inc,0,0.0154,,,
38:38.3,trans+global+group+inc,0,0.0154,,,
44:08.7,trans+global+group+inc,0,0.0154,,,
49:39.0,trans+global+group+inc,0,0.0154,,,
55:14.9,trans+global+group+inc,0,0.0154,,,
02:04.2,trans+global+group+inc,0,0.0154,,,
07:38.4,trans+global+group+inc,0,0.0154,,,
13:11.5,trans+global+group+inc,0,0.0154,,,
18:46.2,trans+global+group+inc,0,0.0154,,,
24:18.2,trans+global+group+inc,0,0.0154,,,
29:48.7,trans+global+group+inc,0,0.0154,,,
35:17.4,trans+global+group+inc,0,0.0154,,,
40:47.3,trans+global+group+inc,0,0.0154,,,
