Company,LR_Acc,LR_Wrong,RF_Acc,RF_Wrong
alibaba,0.511133603,0.266194332,0.673076923,0.140688259
adobe,0.518022657,0.132852729,0.735324408,0.099897013
amazon.xlsx,0.518134715,0.370984456,0.521243523,0.466321244
thermo+fischer,0.518292683,0.179878049,0.717479675,0.139227642
morgan+stanley,0.544342508,0.327217125,0.681957187,0.117227319
dogecoin,0.505449591,0.266835344,0.607045543,0.157648891
bp,0.501564129,0.214807091,0.667361835,0.213764338
berkshire,0.498987854,0.384615385,0.637651822,0.253036437
twitter,0.535934292,0.286447639,0.697125257,0.202258727
cisco,0.50105042,0.296218487,0.710084034,0.159663866
united+healthcare,0.509072581,0.274193548,0.679435484,0.131048387
p+and+g,0.522494888,0.137014315,0.685071575,0.109406953
universal+studios,0.524503311,0.099337748,0.773509934,0.086092715
coca+cola,0.51446281,0.232438017,0.66838843,0.226239669
costco,0.528985507,0.35610766,0.721532091,0.138716356
intel,0.530825496,0.098223615,0.714733542,0.134796238
metaverse,0.51863354,0.203933747,0.702898551,0.128364389
tesla,0.538382805,0.203684749,0.672466735,0.145342886
google,0.486597938,0.342268041,0.691752577,0.125773196
shell,0.53,0.19,0.855,0.05
nvidia,0.521155831,0.303405573,0.722394221,0.122807018
netflix,0.543679342,0.230215827,0.673175745,0.162384378
disney,0.492971888,0.179718876,0.684738956,0.141566265
wells+fargo,0.508298755,0.298755187,0.648340249,0.168049793
microsoft,0.511966701,0.195629553,0.739854318,0.123829344
united,0.53125,0.1875,0.714583333,0.205208333
bitcoin,0.684210526,0,1,0
apple,0.541795666,0.17750258,0.702786378,0.163054696
,,,,
,52%,23%,70%,15%
