company,lr_acc,lr_cf,rf_acc,rf_cf
wells+fargo,0.4139743090696769,0.056052938886726356,0.4054106656286493,0.031529778123783575
alibaba,0.4534815681685196,0.051297054807879855,0.3263116832455627,0.027111371172225472
united,0.6322756472649407,0.035039906560249176,0.8096165076893128,0.03834923106871715
amazon,0.4919087541431078,0.07018912068629363,0.4447260674595438,0.03587443946188341
universal+studios,0.30935251798561153,0.014582928251993,0.49173634065720395,0.012638537818393934
dogecoin,0.5051326748014721,0.26554328878558975,0.6075924849893473,0.15707921750920006
adobe,0.26223435367518033,0.025151101579255215,0.4786508091245857,0.018912068629362448
bitcoin,0.16718446601941747,0.0,0.8574757281553398,0.0
costco,0.5642273258077073,0.06695212144803425,0.40054495912806537,0.026080186843129623
metaverse,0.42678396871945257,0.038514173998044965,0.39296187683284456,0.024242424242424242
twitter,0.4766246362754607,0.05412221144519884,0.6186226964112512,0.038215324927255094
netflix,0.45277885736494367,0.04352895452778857,0.5305091333074232,0.03070345899727944
thermo+fischer,0.32458697764820216,0.03440233236151603,0.3980563654033042,0.02662779397473275
cisco,0.5119766309639727,0.05491723466407011,0.5546251217137294,0.029600778967867575
microsoft,0.5164492894685614,0.03659723574070469,0.46505742651352927,0.023165271559275842
morgan+stanley,0.4459591041869523,0.06251217137293087,0.5197663096397274,0.022395326192794548
nvidia,0.43511154219204656,0.05703200775945684,0.35033947623666345,0.02308438409311348
p+and+g,0.4692367601246106,0.026090342679127725,0.2934190031152648,0.020833333333333332
shell,0.593289371605896,0.0075640031031807605,0.7156710628394104,0.002133436772692009
apple,0.5250972762645915,0.03346303501945525,0.6529182879377432,0.03073929961089494
tesla,0.4572041333593293,0.038798986157145644,0.41567557028660557,0.02768570871514915
google,0.5216715257531584,0.06452866861030127,0.48202137998056366,0.02371234207968902
intel,0.40230109204368175,0.018330733229329172,0.5873634945397815,0.02515600624024961
united+healthcare,0.4446605718731764,0.05290799455358879,0.2723205602022953,0.025286909161641703
berkshire,0.586488060570763,0.07377208309066201,0.380508639099204,0.048728402251989905
bp,0.4921282798833819,0.040038872691933916,0.8040816326530612,0.03984450923226433
coca+cola,0.6522332748195826,0.04388531304856641,0.8301150770431052,0.042715038033937974
